TABLE=077 | AREA=Xã Tân Quan
--- SEQUENCE=7 | SECTION=non-agricultural | PAGES=5203-5279 | LINES=2931 ---
P=5207 | X=0090.100-0124.430 | Y=0478.010-0491.970 | 1.200
P=5207 | X=0090.100-0113.000 | Y=0492.010-0505.970 | 870
P=5207 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 740
P=5207 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 129
P=5207 | X=0090.100-0165.960 | Y=0548.010-0561.970 | Đường số 17
P=5207 | X=0090.100-0170.690 | Y=0562.010-0575.970 | Đường ĐH 04
P=5207 | X=0090.100-0158.330 | Y=0576.010-0589.970 | Đường số 5
P=5207 | X=0090.100-0124.430 | Y=0590.010-0603.970 | 1.200
P=5207 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 870
P=5207 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 740
P=5207 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 130
P=5207 | X=0090.100-0165.960 | Y=0660.010-0673.970 | Đường số 18
P=5207 | X=0090.100-0157.870 | Y=0674.010-0687.970 | Toàn tuyến
P=5207 | X=0090.100-0124.430 | Y=0702.010-0715.970 | 1.200
P=5208 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 870
P=5208 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 740
P=5208 | X=0090.100-0113.000 | Y=0114.010-0127.970 | 131
P=5208 | X=0090.100-0165.960 | Y=0128.010-0141.970 | Đường số 19
P=5208 | X=0090.100-0197.330 | Y=0142.010-0155.970 | Giáp Đường số 58
P=5208 | X=0090.100-0198.250 | Y=0156.010-0169.970 | Giáp Đường ĐH04
P=5208 | X=0090.100-0124.430 | Y=0170.010-0183.970 | 3.400
P=5208 | X=0090.100-0124.430 | Y=0184.010-0197.970 | 2.400
P=5208 | X=0090.100-0124.430 | Y=0198.010-0211.970 | 2.000
P=5208 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 132
P=5208 | X=0090.100-0165.960 | Y=0240.010-0253.970 | Đường số 19
P=5208 | X=0090.100-0198.250 | Y=0254.010-0267.970 | Giáp Đường ĐH04
P=5208 | X=0090.100-0197.330 | Y=0268.010-0281.970 | Giáp Đường số 35
P=5208 | X=0090.100-0124.430 | Y=0282.010-0295.970 | 3.400
P=5208 | X=0090.100-0124.430 | Y=0296.010-0309.970 | 2.400
P=5208 | X=0090.100-0124.430 | Y=0310.010-0323.970 | 2.000
P=5208 | X=0090.100-0113.000 | Y=0338.010-0351.970 | 133
P=5208 | X=0090.100-0165.960 | Y=0352.010-0365.970 | Đường số 19
P=5208 | X=0090.100-0197.330 | Y=0366.010-0379.970 | Giáp Đường số 35
P=5208 | X=0090.100-0193.770 | Y=0380.010-0393.970 | Ngã tư Đường N1
P=5208 | X=0090.100-0124.430 | Y=0394.010-0407.970 | 2.300
P=5208 | X=0090.100-0124.430 | Y=0408.010-0421.970 | 1.600
P=5208 | X=0090.100-0124.430 | Y=0422.010-0435.970 | 1.400
P=5208 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 134
P=5208 | X=0090.100-0165.960 | Y=0464.010-0477.970 | Đường số 19
P=5208 | X=0090.100-0193.770 | Y=0478.010-0491.970 | Ngã tư Đường N1
