TABLE=054 | AREA=Xã Tân An
--- SEQUENCE=2 | SECTION=agricultural | PAGES=192-197 | LINES=389 ---
P=0195 | X=0115.350-0250.830 | Y=0482.350-0493.510 | đường nhựa, bê tông xi măng:
P=0195 | X=0094.250-0346.530 | Y=0499.850-0514.010 | 234 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0195 | X=0445.650-0462.330 | Y=0502.850-0514.010 | 350
P=0195 | X=0505.200-0521.880 | Y=0502.850-0514.010 | 220
P=0195 | X=0115.350-0421.270 | Y=0517.350-0528.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0195 | X=0115.350-0156.930 | Y=0528.850-0540.010 | ≤1.000m.
P=0195 | X=0115.350-0338.200 | Y=0546.350-0557.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0195 | X=0115.350-0412.390 | Y=0564.350-0575.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùng Binh
P=0195 | X=0115.350-0411.300 | Y=0575.850-0587.010 | đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn Cự có hiện trạng là
P=0195 | X=0115.350-0250.830 | Y=0587.350-0598.510 | đường nhựa, bê tông xi măng:
P=0195 | X=0094.250-0110.930 | Y=0593.350-0604.510 | 235
P=0195 | X=0445.650-0462.330 | Y=0593.350-0604.510 | 230
P=0195 | X=0505.200-0521.880 | Y=0593.350-0604.510 | 140
P=0195 | X=0115.350-0400.690 | Y=0604.850-0616.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0195 | X=0115.350-0338.540 | Y=0622.350-0633.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0195 | X=0115.350-0400.260 | Y=0640.350-0651.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0195 | X=0115.350-0406.750 | Y=0651.850-0663.010 | Đường Bùng Binh đoạn từ Đường tỉnh 768 đến Đường Đoàn Văn
P=0195 | X=0115.350-0338.600 | Y=0663.350-0674.510 | Cự có hiện trạng là đường nhựa, bê tông xi măng:
P=0195 | X=0094.250-0110.930 | Y=0669.350-0680.510 | 236
