TABLE=070 | AREA=Xã Lộc Thành
--- SEQUENCE=1 | SECTION=non-agricultural | PAGES=3-5 | LINES=108 ---
P=5734 | X=0090.100-0205.370 | Y=0296.010-0309.970 | Phường Tam Phước
P=5734 | X=0090.100-0124.430 | Y=0310.010-0323.970 | 1.400
P=5734 | X=0090.100-0097.730 | Y=0338.010-0351.970 | 2
P=5734 | X=0090.100-0136.060 | Y=0352.010-0365.970 | Tam An
P=5734 | X=0090.100-0165.430 | Y=0366.010-0379.970 | Xã An Phước
P=5734 | X=0090.100-0124.430 | Y=0380.010-0393.970 | 1.400
P=5734 | X=0090.100-0097.730 | Y=0408.010-0421.970 | 3
P=5734 | X=0090.100-0179.830 | Y=0422.010-0435.970 | Gốm Tân Hạnh
P=5734 | X=0090.100-0167.080 | Y=0436.010-0449.970 | Xã Tân Hạnh
P=5734 | X=0090.100-0124.430 | Y=0450.010-0463.970 | 1.560
P=5734 | X=0090.100-0097.730 | Y=0478.010-0491.970 | 4
P=5734 | X=0090.100-0233.690 | Y=0492.010-0505.970 | Phú Thạnh - Vĩnh Thanh
P=5734 | X=0090.100-0178.560 | Y=0506.010-0519.970 | Xã Nhơn Trạch
P=5734 | X=0090.100-0124.430 | Y=0520.010-0533.970 | 1.575
P=5734 | X=0090.100-0097.730 | Y=0548.010-0561.970 | 5
P=5734 | X=0090.100-0250.360 | Y=0562.010-0575.970 | Vật liệu xây dựng Hố Nai 3
P=5734 | X=0090.100-0178.660 | Y=0576.010-0589.970 | Phường Hố Nai
P=5734 | X=0090.100-0124.430 | Y=0590.010-0603.970 | 1.200
P=5734 | X=0090.100-0097.730 | Y=0618.010-0631.970 | 6
P=5734 | X=0090.100-0146.320 | Y=0632.010-0645.970 | Hưng Lộc
P=5734 | X=0090.100-0164.490 | Y=0646.010-0659.970 | Xã Dầu Giây
P=5734 | X=0090.100-0124.430 | Y=0660.010-0673.970 | 1.000
P=5734 | X=0090.100-0097.730 | Y=0688.010-0701.970 | 7
P=5734 | X=0090.100-0224.990 | Y=0702.010-0715.970 | Thạnh Phú - Thiện Tân
--- SEQUENCE=13 | SECTION=agricultural | PAGES=6032-6032 | LINES=37 ---
P=6032 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 45
P=6032 | X=0090.100-0105.360 | Y=0086.010-0099.970 | 44
P=6032 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 73
P=6032 | X=0090.100-0171.330 | Y=0128.010-0141.970 | Xã Lộc Thạnh
P=6032 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 60
P=6032 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 48
P=6032 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 38
P=6032 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 38
P=6032 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 74
P=6032 | X=0090.100-0173.470 | Y=0226.010-0239.970 | Xã Lộc Quang
P=6032 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 60
P=6032 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 48
P=6032 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 38
P=6032 | X=0090.100-0105.360 | Y=0282.010-0295.970 | 38
P=6032 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 75
P=6032 | X=0090.100-0161.650 | Y=0324.010-0337.970 | Xã Tân Khai
P=6032 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 96
P=6032 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 77
P=6032 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 61
P=6032 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 42
P=6032 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 76
P=6032 | X=0090.100-0167.340 | Y=0422.010-0435.970 | Xã Tân Hưng
P=6032 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 60
P=6032 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 48
P=6032 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 38
P=6032 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 77
P=6032 | X=0090.100-0167.510 | Y=0520.010-0533.970 | Xã Tân Quan
P=6032 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 50
P=6032 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 40
P=6032 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 32
P=6032 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 78
P=6032 | X=0090.100-0165.600 | Y=0618.010-0631.970 | Xã Minh Đức
P=6032 | X=0090.100-0105.360 | Y=0632.010-0645.970 | 50
P=6032 | X=0090.100-0105.360 | Y=0646.010-0659.970 | 40
P=6032 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 32
P=6032 | X=0090.100-0105.360 | Y=0674.010-0687.970 | 32
P=6032 | X=0090.100-0105.360 | Y=0702.010-0715.970 | 79
