TABLE=033 | AREA=Xã Sông Ray
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5766-5771 | LINES=141 ---
P=5769 | X=0090.100-0493.780 | Y=0492.010-0505.970 | Khu tái định cư phục vụ Quốc lộ 1A-đoạn tránh thành phố Biên Hòa
P=5769 | X=0090.100-0198.900 | Y=0506.010-0519.970 | (cũ), xã Bình Minh
P=5769 | X=0090.100-0514.400 | Y=0562.010-0575.970 | Đường song hành đường Võ Nguyên Giáp thuộc xã Bình Minh (qua khu
P=5769 | X=0090.100-0520.120 | Y=0576.010-0589.970 | tái định cư Bình Minh), từ thửa đất số 456, tờ BĐĐC số 29, xã Bình Minh
P=5769 | X=0090.100-0399.240 | Y=0590.010-0603.970 | đến thửa đất số 1154, tờ BĐĐC số 29, xã Bình Minh
P=5769 | X=0090.100-0124.430 | Y=0604.010-0617.970 | 7.500
P=5769 | X=0090.100-0349.900 | Y=0646.010-0659.970 | Đường trục chính khu tái định cư Bình Minh
P=5769 | X=0090.100-0124.430 | Y=0660.010-0673.970 | 5.600
P=5769 | X=0090.100-0197.070 | Y=0702.010-0715.970 | Các đường còn lại
P=5770 | X=0090.100-0124.430 | Y=0072.010-0085.970 | 5.300
P=5770 | X=0090.100-0097.730 | Y=0100.010-0113.970 | 2
P=5770 | X=0090.100-0223.840 | Y=0114.010-0127.970 | Khu tái định cư Hố Nai
P=5770 | X=0090.100-0327.470 | Y=0170.010-0183.970 | Các đường trong Khu tái định cư Hố Nai
P=5770 | X=0090.100-0124.430 | Y=0184.010-0197.970 | 2.500
P=5770 | X=0090.100-0097.730 | Y=0212.010-0225.970 | 3
P=5770 | X=0090.100-0315.280 | Y=0226.010-0239.970 | Khu tái định cư 2,5 và 3,5 ha Bắc Sơn
P=5770 | X=0090.100-0497.230 | Y=0282.010-0295.970 | Đường tỉnh 767 (Đoạn từ ngã 3 Hươu Nai đến Trường Tiểu học Sông
P=5770 | X=0090.100-0119.560 | Y=0296.010-0309.970 | Mây)
P=5770 | X=0090.100-0132.060 | Y=0310.010-0323.970 | 10.900
P=5770 | X=0090.100-0197.070 | Y=0352.010-0365.970 | Các đường còn lại
P=5770 | X=0090.100-0124.430 | Y=0366.010-0379.970 | 7.700
P=5770 | X=0090.100-0178.510 | Y=0408.010-0421.970 | Xã Hưng Thịnh
P=5770 | X=0090.100-0097.730 | Y=0450.010-0463.970 | 1
P=5770 | X=0090.100-0210.550 | Y=0464.010-0477.970 | Khu dân cư Tây Hòa
P=5770 | X=0090.100-0521.400 | Y=0520.010-0533.970 | Đường liên xã Hưng Thịnh - Trảng Bom (từ Quốc lộ 1 đi qua khu tái định
P=5770 | X=0090.100-0263.210 | Y=0534.010-0547.970 | cư ấp An Hoà đến Cầu 1 tấn)
P=5770 | X=0090.100-0124.430 | Y=0548.010-0561.970 | 4.200
P=5770 | X=0090.100-0197.070 | Y=0590.010-0603.970 | Các đường còn lại
P=5770 | X=0090.100-0124.430 | Y=0604.010-0617.970 | 2.100
P=5770 | X=0090.100-0164.490 | Y=0646.010-0659.970 | Xã Dầu Giây
P=5770 | X=0090.100-0097.730 | Y=0688.010-0701.970 | 1
P=5770 | X=0090.100-0393.850 | Y=0702.010-0715.970 | Khu tái định cư Bàu Hàm 2 (thị trấn Dầu Giây (cũ))
P=5771 | X=0090.100-0354.130 | Y=0114.010-0127.970 | Các đường trong Khu tái định cư Bàu Hàm 2
P=5771 | X=0090.100-0124.430 | Y=0128.010-0141.970 | 2.800
P=5771 | X=0090.100-0097.730 | Y=0156.010-0169.970 | 2
P=5771 | X=0090.100-0418.680 | Y=0170.010-0183.970 | Khu dân cư Xóm Hố (các xã Hưng lộc, Bàu Hàm 2 (cũ))
P=5771 | X=0090.100-0312.310 | Y=0226.010-0239.970 | Các đường trong Khu dân cư Xóm Hố
P=5771 | X=0090.100-0124.430 | Y=0240.010-0253.970 | 4.700
P=5771 | X=0090.100-0097.730 | Y=0268.010-0281.970 | 3
P=5771 | X=0090.100-0319.460 | Y=0282.010-0295.970 | Khu tái định cư Thị Trấn Dầu Giây (cũ)
P=5771 | X=0090.100-0423.080 | Y=0338.010-0351.970 | Các đường trong Khu tái định cư Thị Trấn Dầu Giây (cũ)
P=5771 | X=0090.100-0124.430 | Y=0352.010-0365.970 | 4.700
P=5771 | X=0090.100-0097.730 | Y=0380.010-0393.970 | 4
P=5771 | X=0090.100-0356.380 | Y=0394.010-0407.970 | Khu tái định cư giai đoạn 2 xã Hưng Lộc (cũ)
P=5771 | X=0090.100-0460.010 | Y=0450.010-0463.970 | Các đường trong Khu tái định cư giai đoạn 2 xã Hưng Lộc (cũ)
P=5771 | X=0090.100-0124.430 | Y=0464.010-0477.970 | 2.800
P=5771 | X=0090.100-0097.730 | Y=0492.010-0505.970 | 5
P=5771 | X=0090.100-0381.880 | Y=0506.010-0519.970 | Khu dân cư phục vụ tái định cư xã Hưng Lộc (cũ)
P=5771 | X=0090.100-0485.510 | Y=0562.010-0575.970 | Các đường trong Khu dân cư phục vụ tái định cư xã Hưng Lộc (cũ)
P=5771 | X=0090.100-0124.430 | Y=0576.010-0589.970 | 2.800
P=5771 | X=0090.100-0179.340 | Y=0618.010-0631.970 | Xã Thống Nhất
P=5771 | X=0090.100-0097.730 | Y=0660.010-0673.970 | 1
P=5771 | X=0090.100-0277.370 | Y=0674.010-0687.970 | Khu tái định cư xã Phú Túc (cũ)
