TABLE=017 | AREA=Xã Đại Phước
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5761-5762 | LINES=47 ---
P=5854 | X=0090.100-0473.850 | Y=0380.010-0393.970 | Đường Lý Thái Tổ, đoạn Từ Đường Trần Văn Trà đến phà Cát Lái
P=5854 | X=0090.100-0499.250 | Y=0422.010-0435.970 | Các tuyến đường tại Cù Lao Đại Phước (Đường trục trung tâm cù lao
P=5854 | X=0090.100-0154.890 | Y=0436.010-0449.970 | Đại Phước)
P=5854 | X=0090.100-0513.850 | Y=0478.010-0491.970 | Các tuyến đường tại Cù Lao Đại Phước (Các đường D1, D2, D3, D4, A9,
P=5854 | X=0090.100-0118.250 | Y=0492.010-0505.970 | A10)
P=5854 | X=0090.100-0438.490 | Y=0534.010-0547.970 | Các tuyến đường tại Cù Lao Đại Phước (các đường còn lại)
P=5854 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 18
P=5854 | X=0090.100-0165.420 | Y=0576.010-0589.970 | Xã Phước An
P=5854 | X=0090.100-0232.540 | Y=0646.010-0659.970 | Đường Quách Thị Trang
P=5854 | X=0090.100-0203.260 | Y=0660.010-0673.970 | Đường Hà Huy Tập
P=5854 | X=0090.100-0231.090 | Y=0674.010-0687.970 | Giáp ranh xã Đại Phước
P=5855 | X=0090.100-0201.880 | Y=0072.010-0085.970 | Đường Võ Văn Tần
P=5855 | X=0090.100-0186.750 | Y=0086.010-0099.970 | Đường Trần Phú
P=5855 | X=0090.100-0207.280 | Y=0100.010-0113.970 | Đường Hùng Vương
P=5855 | X=0090.100-0203.140 | Y=0142.010-0155.970 | Đường đê Ông Kèo
P=5855 | X=0090.100-0231.090 | Y=0156.010-0169.970 | Giáp ranh xã Đại Phước
P=5855 | X=0090.100-0207.280 | Y=0170.010-0183.970 | Đường Hùng Vương
P=5855 | X=0090.100-0238.740 | Y=0212.010-0225.970 | Đường Phạm Thái Bường
P=5855 | X=0090.100-0207.280 | Y=0226.010-0239.970 | Đường Hùng Vương
P=5855 | X=0090.100-0220.460 | Y=0240.010-0253.970 | Hết ranh xã Phước An
P=5855 | X=0090.100-0311.100 | Y=0282.010-0295.970 | Đường Hùng Vương (Hương lộ 19 cũ)
P=5855 | X=0090.100-0237.480 | Y=0296.010-0309.970 | Ranh giới xã Nhơn Trạch
P=5855 | X=0090.100-0253.000 | Y=0310.010-0323.970 | Cửa hàng xăng dầu An Phú
P=5855 | X=0090.100-0311.100 | Y=0352.010-0365.970 | Đường Hùng Vương (Hương lộ 19 cũ)
P=5855 | X=0090.100-0253.000 | Y=0366.010-0379.970 | Cửa hàng xăng dầu An Phú
P=5855 | X=0090.100-0242.290 | Y=0380.010-0393.970 | Đường Nguyễn Hữu Cảnh
P=5855 | X=0090.100-0311.100 | Y=0422.010-0435.970 | Đường Hùng Vương (Hương lộ 19 cũ)
P=5855 | X=0090.100-0242.290 | Y=0436.010-0449.970 | Đường Nguyễn Hữu Cảnh
P=5855 | X=0090.100-0220.460 | Y=0450.010-0463.970 | Hết ranh xã Phước An
P=5855 | X=0090.100-0474.100 | Y=0492.010-0505.970 | Đường giáp ranh xã Phú Đông-Vĩnh Thanh (đường con Gà Vàng)
P=5855 | X=0090.100-0232.540 | Y=0506.010-0519.970 | Đường Quách Thị Trang
P=5855 | X=0090.100-0207.280 | Y=0520.010-0533.970 | Đường Hùng Vương
P=5855 | X=0090.100-0330.050 | Y=0562.010-0575.970 | Đường Hà Huy Tập (đường Vĩnh Cửu cũ)
P=5855 | X=0090.100-0232.540 | Y=0576.010-0589.970 | Đường Quách Thị Trang
P=5855 | X=0090.100-0207.280 | Y=0590.010-0603.970 | Đường Hùng Vương
P=5855 | X=0090.100-0206.320 | Y=0632.010-0645.970 | Đường ấp Hòa Bình
P=5855 | X=0090.100-0207.280 | Y=0646.010-0659.970 | Đường Hùng Vương
P=5855 | X=0090.100-0232.540 | Y=0660.010-0673.970 | Đường Quách Thị Trang
P=5855 | X=0090.100-0242.290 | Y=0702.010-0715.970 | Đường Nguyễn Hữu Cảnh
P=5856 | X=0090.100-0240.060 | Y=0072.010-0085.970 | Giáp ranh xã Nhơn Trạch
P=5856 | X=0090.100-0207.280 | Y=0086.010-0099.970 | Đường Hùng Vương
P=5856 | X=0090.100-0226.300 | Y=0128.010-0141.970 | Đường Nguyễn Văn Cừ
P=5856 | X=0090.100-0186.750 | Y=0142.010-0155.970 | Đường Trần Phú
P=5856 | X=0090.100-0207.280 | Y=0156.010-0169.970 | Đường Hùng Vương
P=5856 | X=0090.100-0226.300 | Y=0198.010-0211.970 | Đường Nguyễn Văn Cừ
P=5856 | X=0090.100-0207.280 | Y=0212.010-0225.970 | Đường Hùng Vương
P=5856 | X=0090.100-0261.540 | Y=0226.010-0239.970 | Cao tốc Bến Lức Long Thành
P=5856 | X=0090.100-0226.300 | Y=0268.010-0281.970 | Đường Nguyễn Văn Cừ
P=5856 | X=0090.100-0261.540 | Y=0282.010-0295.970 | Cao tốc Bến Lức Long Thành
P=5856 | X=0090.100-0150.250 | Y=0296.010-0309.970 | Giáp sông
P=5856 | X=0090.100-0236.320 | Y=0338.010-0351.970 | Đường Nguyễn Thị Chơn
P=5856 | X=0090.100-0207.280 | Y=0352.010-0365.970 | Đường Hùng Vương
P=5856 | X=0090.100-0253.260 | Y=0366.010-0379.970 | Hết Trường THCS Phước An
P=5856 | X=0090.100-0236.320 | Y=0408.010-0421.970 | Đường Nguyễn Thị Chơn
P=5856 | X=0090.100-0253.260 | Y=0422.010-0435.970 | Hết Trường THCS Phước An
P=5856 | X=0090.100-0223.910 | Y=0436.010-0449.970 | Đường Lê Hồng Phong
P=5856 | X=0090.100-0187.990 | Y=0478.010-0491.970 | Đường Rạch Mới
P=5856 | X=0090.100-0354.670 | Y=0492.010-0505.970 | Đường Hùng Vương (đoạn qua xã Phước An)
P=5856 | X=0090.100-0491.090 | Y=0506.010-0519.970 | Hết ranh thửa đất số 355, tờ BĐĐC số 107 về bên phải và hết ranh
P=5856 | X=0090.100-0438.170 | Y=0520.010-0533.970 | thửa đất số 344, tờ BĐĐC số 107 về bên trái, xã Phước An
P=5856 | X=0090.100-0186.750 | Y=0562.010-0575.970 | Đường Trần Phú
P=5856 | X=0090.100-0240.060 | Y=0576.010-0589.970 | Giáp ranh xã Nhơn Trạch
P=5856 | X=0090.100-0220.460 | Y=0590.010-0603.970 | Hết ranh xã Phước An
P=5856 | X=0090.100-0246.920 | Y=0632.010-0645.970 | Đường Huỳnh Thúc Kháng
P=5856 | X=0090.100-0351.370 | Y=0646.010-0659.970 | Ngã 5 vòng xoay đường vào cảng Phước An
P=5856 | X=0090.100-0207.280 | Y=0660.010-0673.970 | Đường Hùng Vương
P=5856 | X=0090.100-0223.910 | Y=0702.010-0715.970 | Đường Lê Hồng Phong
P=5857 | X=0090.100-0242.290 | Y=0072.010-0085.970 | Đường Nguyễn Hữu Cảnh
P=5857 | X=0090.100-0236.320 | Y=0086.010-0099.970 | Đường Nguyễn Thị Chơn
P=5857 | X=0090.100-0223.910 | Y=0128.010-0141.970 | Đường Lê Hồng Phong
P=5857 | X=0090.100-0236.320 | Y=0142.010-0155.970 | Đường Nguyễn Thị Chơn
P=5857 | X=0090.100-0331.820 | Y=0156.010-0169.970 | Đường D15 khu dân cư HUD Nhơn Trạch
P=5857 | X=0090.100-0223.910 | Y=0198.010-0211.970 | Đường Lê Hồng Phong
P=5857 | X=0090.100-0331.820 | Y=0212.010-0225.970 | Đường D15 khu dân cư HUD Nhơn Trạch
P=5857 | X=0090.100-0214.000 | Y=0226.010-0239.970 | Đường Trường Chinh
P=5857 | X=0090.100-0240.080 | Y=0268.010-0281.970 | Đường ra Cảng Phước An
P=5857 | X=0090.100-0252.280 | Y=0282.010-0295.970 | Vòng xoay đường Trần Phú
P=5857 | X=0090.100-0207.280 | Y=0296.010-0309.970 | Đường Hùng Vương
P=5857 | X=0090.100-0240.080 | Y=0338.010-0351.970 | Đường ra Cảng Phước An
P=5857 | X=0090.100-0207.280 | Y=0352.010-0365.970 | Đường Hùng Vương
P=5857 | X=0090.100-0437.980 | Y=0366.010-0379.970 | Giáp đường cao tốc Bến Lức - Long Thành tại xã Phước An
P=5857 | X=0090.100-0225.280 | Y=0408.010-0421.970 | Đường Nguyễn Văn Ký
