TABLE=049 | AREA=Xã Tà Lài
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5977-5985 | LINES=251 ---
P=5980 | X=0090.100-0425.960 | Y=0184.010-0197.970 | Hết ranh thửa đất số 394 tờ bản đồ số 142 (xã Tân Phú)
P=5980 | X=0090.100-0203.350 | Y=0226.010-0239.970 | Đường Lê Quý Đôn
P=5980 | X=0090.100-0154.580 | Y=0240.010-0253.970 | Quốc lộ 20
P=5980 | X=0090.100-0414.190 | Y=0254.010-0267.970 | Bên phải, đến hết ranh thửa đất số 13 tờ BĐĐC số 35;
P=5980 | X=0090.100-0408.380 | Y=0268.010-0281.970 | Bên trái, đến hết ranh thửa đất số 14, tờ BĐĐC số 35
P=5980 | X=0090.100-0248.050 | Y=0310.010-0323.970 | Đường Phú Thanh - Trà Cổ
P=5980 | X=0090.100-0154.580 | Y=0324.010-0337.970 | Quốc lộ 20
P=5980 | X=0090.100-0518.900 | Y=0338.010-0351.970 | Hết ranh thửa đất số 27 tờ BĐĐC số 7 về bên phải và hết ranh thửa đất
P=5980 | X=0090.100-0286.580 | Y=0352.010-0365.970 | số 7, tờ BĐĐC số 142 về bên trái
P=5980 | X=0090.100-0222.160 | Y=0394.010-0407.970 | Đường số 7 Ngọc Lâm
P=5980 | X=0090.100-0154.580 | Y=0408.010-0421.970 | Quốc lộ 20
P=5980 | X=0090.100-0392.790 | Y=0422.010-0435.970 | Ranh thửa đất số 140, tờ BĐĐC số 164 xã Tân Phú
P=5980 | X=0090.100-0179.580 | Y=0464.010-0477.970 | Đường Km 128
P=5980 | X=0090.100-0154.580 | Y=0478.010-0491.970 | Quốc lộ 20
P=5980 | X=0090.100-0245.410 | Y=0492.010-0505.970 | Nhà thờ giáo xứ Vĩnh Lâm
P=5980 | X=0090.100-0222.160 | Y=0534.010-0547.970 | Đường số 5 Ngọc Lâm
P=5980 | X=0090.100-0154.580 | Y=0548.010-0561.970 | Quốc lộ 20
