TABLE=020 | AREA=Phường Bảo Vinh
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5763-5764 | LINES=45 ---
P=5862 | X=0090.100-0237.940 | Y=0548.010-0561.970 | Đường Nguyễn Công Trứ
P=5862 | X=0090.100-0207.280 | Y=0562.010-0575.970 | Đường Hùng Vương
P=5862 | X=0090.100-0200.220 | Y=0576.010-0589.970 | Đường Nguyễn Du
P=5862 | X=0090.100-0236.410 | Y=0618.010-0631.970 | Đường Thích Quảng Đức
P=5862 | X=0090.100-0207.280 | Y=0632.010-0645.970 | Đường Hùng Vương
P=5862 | X=0090.100-0226.300 | Y=0646.010-0659.970 | Đường Nguyễn Văn Cừ
P=5862 | X=0090.100-0236.410 | Y=0688.010-0701.970 | Đường Thích Quảng Đức
P=5862 | X=0090.100-0226.300 | Y=0702.010-0715.970 | Đường Nguyễn Văn Cừ
P=5863 | X=0090.100-0264.200 | Y=0072.010-0085.970 | Đường Nguyễn Thị Minh Khai
P=5863 | X=0090.100-0236.410 | Y=0114.010-0127.970 | Đường Thích Quảng Đức
P=5863 | X=0090.100-0264.200 | Y=0128.010-0141.970 | Đường Nguyễn Thị Minh Khai
P=5863 | X=0090.100-0214.660 | Y=0142.010-0155.970 | Đường Hồ Thị Hương
P=5863 | X=0090.100-0225.040 | Y=0184.010-0197.970 | Đường Phan Chu Trinh
P=5863 | X=0090.100-0226.300 | Y=0198.010-0211.970 | Đường Nguyễn Văn Cừ
P=5863 | X=0090.100-0499.320 | Y=0212.010-0225.970 | Bên trái đến hết ranh thửa đất số 153, tờ BĐĐC số 10; Bên phải đến
P=5863 | X=0090.100-0327.080 | Y=0226.010-0239.970 | hết ranh thửa đất số 21, tờ BĐĐC số 10
P=5863 | X=0090.100-0244.210 | Y=0268.010-0281.970 | Đường Nguyễn Trường Tộ
P=5863 | X=0090.100-0200.220 | Y=0282.010-0295.970 | Đường Nguyễn Du
P=5863 | X=0090.100-0220.500 | Y=0296.010-0309.970 | Đường Phan Bội Châu
P=5863 | X=0090.100-0211.770 | Y=0338.010-0351.970 | Đường Quang Trung
P=5863 | X=0090.100-0207.280 | Y=0352.010-0365.970 | Đường Hùng Vương
P=5863 | X=0090.100-0226.300 | Y=0366.010-0379.970 | Đường Nguyễn Văn Cừ
P=5863 | X=0090.100-0211.770 | Y=0408.010-0421.970 | Đường Quang Trung
P=5863 | X=0090.100-0226.300 | Y=0422.010-0435.970 | Đường Nguyễn Văn Cừ
P=5863 | X=0090.100-0216.800 | Y=0436.010-0449.970 | Đường Trần Huy Liệu
P=5863 | X=0090.100-0211.770 | Y=0478.010-0491.970 | Đường Quang Trung
P=5863 | X=0090.100-0216.800 | Y=0492.010-0505.970 | Đường Trần Huy Liệu
P=5863 | X=0090.100-0264.200 | Y=0506.010-0519.970 | Đường Nguyễn Thị Minh Khai
P=5863 | X=0090.100-0211.240 | Y=0548.010-0561.970 | Đường Hai Bà Trưng
P=5863 | X=0090.100-0160.250 | Y=0562.010-0575.970 | Đường 21/4
P=5863 | X=0090.100-0486.480 | Y=0576.010-0589.970 | Đường Nguyễn Thị Minh Khai (gồm 1 đoạn đường Quang Trung và
P=5863 | X=0090.100-0257.310 | Y=0590.010-0603.970 | Đường Cách Mạng Tháng 8)
P=5863 | X=0090.100-0206.300 | Y=0632.010-0645.970 | Đường Nguyễn Trãi
P=5863 | X=0090.100-0210.540 | Y=0646.010-0659.970 | Ngã ba Hùng Vương
P=5863 | X=0090.100-0264.200 | Y=0660.010-0673.970 | Đường Nguyễn Thị Minh Khai
P=5863 | X=0090.100-0206.300 | Y=0702.010-0715.970 | Đường Nguyễn Trãi
P=5864 | X=0090.100-0264.200 | Y=0072.010-0085.970 | Đường Nguyễn Thị Minh Khai
P=5864 | X=0090.100-0214.660 | Y=0086.010-0099.970 | Đường Hồ Thị Hương
P=5864 | X=0090.100-0194.940 | Y=0128.010-0141.970 | Đường Lý Thái Tổ
P=5864 | X=0090.100-0160.250 | Y=0142.010-0155.970 | Đường 21/4
P=5864 | X=0090.100-0506.960 | Y=0156.010-0169.970 | Bên trái đến hết ranh thửa đất số 223, tờ BĐĐC số 130; Bên phải đến
P=5864 | X=0090.100-0334.720 | Y=0170.010-0183.970 | hết ranh thửa đất số 25, tờ BĐĐC số 130
P=5864 | X=0090.100-0199.390 | Y=0212.010-0225.970 | Đường Lý Nam Đế
P=5864 | X=0090.100-0207.280 | Y=0226.010-0239.970 | Đường Hùng Vương
P=5864 | X=0090.100-0186.750 | Y=0240.010-0253.970 | Đường Trần Phú
P=5864 | X=0090.100-0251.780 | Y=0282.010-0295.970 | Đường Nguyễn Bỉnh Khiêm
P=5864 | X=0090.100-0168.530 | Y=0296.010-0309.970 | Đường Lê Lợi
P=5864 | X=0090.100-0186.750 | Y=0310.010-0323.970 | Đường Trần Phú
P=5864 | X=0090.100-0233.250 | Y=0352.010-0365.970 | Đường Đinh Tiên Hoàng
P=5864 | X=0090.100-0168.530 | Y=0366.010-0379.970 | Đường Lê Lợi
P=5864 | X=0090.100-0186.750 | Y=0380.010-0393.970 | Đường Trần Phú
P=5864 | X=0090.100-0200.220 | Y=0422.010-0435.970 | Đường Nguyễn Du
P=5864 | X=0090.100-0236.410 | Y=0436.010-0449.970 | Đường Thích Quảng Đức
P=5864 | X=0090.100-0186.750 | Y=0450.010-0463.970 | Đường Trần Phú
P=5864 | X=0090.100-0226.300 | Y=0492.010-0505.970 | Đường Nguyễn Văn Cừ
P=5864 | X=0090.100-0186.750 | Y=0506.010-0519.970 | Đường Trần Phú
P=5864 | X=0090.100-0211.770 | Y=0520.010-0533.970 | Đường Quang Trung
P=5864 | X=0090.100-0226.300 | Y=0562.010-0575.970 | Đường Nguyễn Văn Cừ
P=5864 | X=0090.100-0211.770 | Y=0576.010-0589.970 | Đường Quang Trung
P=5864 | X=0090.100-0220.350 | Y=0590.010-0603.970 | Đường Tô Hiến Thành
P=5864 | X=0090.100-0223.030 | Y=0632.010-0645.970 | Đường Lý Thường Kiệt
P=5864 | X=0090.100-0186.750 | Y=0646.010-0659.970 | Đường Trần Phú
P=5864 | X=0090.100-0236.410 | Y=0660.010-0673.970 | Đường Thích Quảng Đức
P=5864 | X=0090.100-0220.500 | Y=0702.010-0715.970 | Đường Phan Bội Châu
P=5865 | X=0090.100-0225.040 | Y=0072.010-0085.970 | Đường Phan Chu Trinh
P=5865 | X=0090.100-0236.410 | Y=0086.010-0099.970 | Đường Thích Quảng Đức
P=5865 | X=0090.100-0220.980 | Y=0128.010-0141.970 | Nguyễn Thị Minh Khai
P=5865 | X=0090.100-0163.070 | Y=0142.010-0155.970 | Nguyễn Trãi
P=5865 | X=0090.100-0252.630 | Y=0156.010-0169.970 | Đường Cách Mạng Tháng 8
P=5865 | X=0090.100-0220.980 | Y=0198.010-0211.970 | Nguyễn Thị Minh Khai
P=5865 | X=0090.100-0252.630 | Y=0212.010-0225.970 | Đường Cách Mạng Tháng 8
P=5865 | X=0090.100-0214.660 | Y=0226.010-0239.970 | Đường Hồ Thị Hương
P=5865 | X=0090.100-0285.240 | Y=0268.010-0281.970 | Tuyến đường qua khu đô thị mới
P=5865 | X=0090.100-0206.300 | Y=0282.010-0295.970 | Đường Nguyễn Trãi
