TABLE=005 | AREA=Phường Trảng Dài
--- SEQUENCE=3 | SECTION=agricultural | PAGES=198-199 | LINES=126 ---
P=0199 | X=0505.200-0521.880 | Y=0469.100-0480.260 | 310
P=0199 | X=0115.350-0346.180 | Y=0486.350-0497.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0199 | X=0115.350-0392.010 | Y=0503.850-0515.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0199 | X=0115.350-0400.260 | Y=0521.850-0533.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0199 | X=0115.350-0416.720 | Y=0533.350-0544.510 | Đường ranh phường Tân Triều - phường Trảng Dài đoạn từ Ngã ba
P=0199 | X=0115.350-0417.440 | Y=0544.850-0556.010 | (hết ranh thửa đất số 121, tờ bản đồ số 19) đến Giáp ranh xã Thạnh
P=0199 | X=0115.350-0362.430 | Y=0556.350-0567.510 | Phú (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0094.250-0346.530 | Y=0571.100-0585.010 | 265 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0199 | X=0445.650-0462.330 | Y=0571.100-0582.260 | 370
P=0199 | X=0505.200-0521.880 | Y=0571.100-0582.260 | 240
P=0199 | X=0115.350-0421.270 | Y=0591.350-0602.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0199 | X=0115.350-0156.930 | Y=0602.850-0614.010 | ≤1.000m.
P=0199 | X=0115.350-0338.200 | Y=0620.350-0631.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0199 | X=0115.350-0400.260 | Y=0638.350-0649.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0199 | X=0115.350-0416.720 | Y=0649.850-0661.010 | Đường ranh phường Tân Triều - phường Trảng Dài đoạn từ Ngã ba
P=0199 | X=0115.350-0417.440 | Y=0661.350-0672.510 | (hết ranh thửa đất số 121, tờ bản đồ số 19) đến Giáp ranh xã Thạnh
P=0199 | X=0094.250-0362.430 | Y=0672.850-0684.260 | 266 Phú (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0445.650-0462.330 | Y=0673.100-0684.260 | 250
P=0199 | X=0505.200-0521.880 | Y=0673.100-0684.260 | 160
P=0199 | X=0115.350-0400.690 | Y=0690.350-0701.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0199 | X=0115.350-0341.320 | Y=0707.850-0719.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
--- SEQUENCE=4 | SECTION=agricultural | PAGES=1815-1830 | LINES=1059 ---
