TABLE=043 | AREA=Xã Định Quán
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5772-5776 | LINES=117 ---
P=5776 | X=0090.100-0149.160 | Y=0310.010-0323.970 | Đường 2A
P=5776 | X=0090.100-0124.430 | Y=0324.010-0337.970 | 1.900
P=5776 | X=0090.100-0197.070 | Y=0366.010-0379.970 | Các đường còn lại
P=5776 | X=0090.100-0124.430 | Y=0380.010-0393.970 | 1.300
P=5776 | X=0090.100-0097.730 | Y=0408.010-0421.970 | 5
P=5776 | X=0090.100-0246.350 | Y=0422.010-0435.970 | Khu A3, xã Túc Trưng (cũ)
P=5776 | X=0090.100-0149.160 | Y=0478.010-0491.970 | Đường 2A
P=5776 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 1.900
P=5776 | X=0090.100-0197.070 | Y=0534.010-0547.970 | Các đường còn lại
P=5776 | X=0090.100-0124.430 | Y=0548.010-0561.970 | 1.300
P=5776 | X=0090.100-0097.730 | Y=0576.010-0589.970 | 6
P=5776 | X=0090.100-0311.920 | Y=0590.010-0603.970 | Khu tái định cư L9, xã Túc Trưng (cũ)
P=5776 | X=0090.100-0149.160 | Y=0646.010-0659.970 | Đường 4A
P=5776 | X=0090.100-0124.430 | Y=0660.010-0673.970 | 1.900
P=5776 | X=0090.100-0197.070 | Y=0702.010-0715.970 | Các đường còn lại
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5964-5972 | LINES=245 ---
P=5964 | X=0090.100-0156.220 | Y=0086.010-0099.970 | Đường 104
P=5964 | X=0090.100-0140.990 | Y=0100.010-0113.970 | Cầu RAP
P=5964 | X=0090.100-0507.200 | Y=0114.010-0127.970 | Bên phải, đến hết ranh thửa đất số 1, tờ BĐĐC số 237, xã Định Quán,
P=5964 | X=0090.100-0497.820 | Y=0128.010-0141.970 | Bên trái, đến hết ranh thửa đất số 6, tờ BĐĐC số 237, xã Định Quán
P=5964 | X=0090.100-0223.450 | Y=0170.010-0183.970 | Đường liên ấp 1 - ấp 3
P=5964 | X=0090.100-0154.580 | Y=0184.010-0197.970 | Quốc lộ 20
P=5964 | X=0090.100-0185.910 | Y=0198.010-0211.970 | Giáp đường 106
P=5964 | X=0090.100-0156.220 | Y=0240.010-0253.970 | Đường 106
P=5964 | X=0090.100-0154.580 | Y=0254.010-0267.970 | Quốc lộ 20
P=5964 | X=0090.100-0206.650 | Y=0268.010-0281.970 | Giáp ranh hồ Trị An
P=5964 | X=0090.100-0156.220 | Y=0310.010-0323.970 | Đường 107
P=5964 | X=0090.100-0154.580 | Y=0324.010-0337.970 | Quốc lộ 20
P=5964 | X=0090.100-0206.820 | Y=0338.010-0351.970 | Quốc lộ 20 + 100m
P=5964 | X=0090.100-0156.220 | Y=0380.010-0393.970 | Đường 107
P=5964 | X=0090.100-0206.820 | Y=0394.010-0407.970 | Quốc lộ 20 + 100m
P=5964 | X=0090.100-0166.360 | Y=0408.010-0421.970 | Bến phà 107
P=5964 | X=0090.100-0408.630 | Y=0450.010-0463.970 | Đường từ cây xăng 108 vào trung tâm hành chính xã
P=5964 | X=0090.100-0154.580 | Y=0464.010-0477.970 | Quốc lộ 20
P=5964 | X=0090.100-0156.220 | Y=0478.010-0491.970 | Đường 107
