TABLE=012 | AREA=Xã Bình An
--- SEQUENCE=9 | SECTION=non-agricultural | PAGES=5736-5736 | LINES=37 ---
P=5832 | X=0090.100-0197.260 | Y=0702.010-0715.970 | Đường Võ Thị Sáu
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6008-6008 | LINES=40 ---
P=6008 | X=0090.100-0179.940 | Y=0072.010-0085.970 | Xã Long Thành
P=6008 | X=0090.100-0113.000 | Y=0086.010-0099.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0114.010-0127.970 | 100
P=6008 | X=0090.100-0113.000 | Y=0128.010-0141.970 | 100
P=6008 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 12
P=6008 | X=0090.100-0155.820 | Y=0170.010-0183.970 | Xã Bình An
P=6008 | X=0090.100-0113.000 | Y=0184.010-0197.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0198.010-0211.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 130
P=6008 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 13
P=6008 | X=0090.100-0165.430 | Y=0268.010-0281.970 | Xã An Phước
P=6008 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0296.010-0309.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0324.010-0337.970 | 130
P=6008 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 14
P=6008 | X=0090.100-0178.840 | Y=0366.010-0379.970 | Xã Long Phước
P=6008 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0394.010-0407.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0422.010-0435.970 | 130
P=6008 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 15
P=6008 | X=0090.100-0175.200 | Y=0464.010-0477.970 | Xã Phước Thái
P=6008 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0492.010-0505.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 130
P=6008 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 130
P=6008 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 16
P=6008 | X=0090.100-0178.560 | Y=0562.010-0575.970 | Xã Nhơn Trạch
P=6008 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 100
P=6008 | X=0090.100-0113.000 | Y=0590.010-0603.970 | 100
P=6008 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 100
P=6008 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 100
P=6008 | X=0090.100-0105.360 | Y=0646.010-0659.970 | 17
P=6008 | X=0090.100-0169.580 | Y=0660.010-0673.970 | Xã Đại Phước
P=6008 | X=0090.100-0113.000 | Y=0674.010-0687.970 | 100
P=6008 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 100
P=6008 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 100
