TABLE=059 | AREA=Phường Chơn Thành
--- SEQUENCE=7 | SECTION=non-agricultural | PAGES=5187-5202 | LINES=645 ---
P=5193 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 48
P=5193 | X=0090.100-0304.410 | Y=0254.010-0267.970 | Đường số 29 - Khu phố Minh Long 2
P=5193 | X=0090.100-0176.640 | Y=0268.010-0281.970 | Đường ĐT 751
P=5193 | X=0090.100-0517.080 | Y=0282.010-0295.970 | Phía Tây: Ngã ba đường số 33; Phía Đông: Hết ranh thửa đất số 189, tờ
P=5193 | X=0090.100-0175.470 | Y=0296.010-0309.970 | bản đồ số 130
P=5193 | X=0090.100-0124.430 | Y=0310.010-0323.970 | 1.500
P=5193 | X=0090.100-0124.430 | Y=0324.010-0337.970 | 1.100
P=5193 | X=0090.100-0113.000 | Y=0338.010-0351.970 | 900
P=5193 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 49
P=5193 | X=0090.100-0303.890 | Y=0380.010-0393.970 | Đường số 29 . Khu phố Minh Long 2
P=5193 | X=0090.100-0517.080 | Y=0394.010-0407.970 | Phía Tây: Ngã ba đường số 33; Phía Đông: Hết ranh thửa đất số 189, tờ
P=5193 | X=0090.100-0175.470 | Y=0408.010-0421.970 | bản đồ số 130
P=5193 | X=0090.100-0510.040 | Y=0422.010-0435.970 | Phía Tây: Ngã ba đường số 29B; Phía Đông: Hết ranh thửa đất số 2, tờ
P=5193 | X=0090.100-0175.470 | Y=0436.010-0449.970 | bản đồ số 130
P=5193 | X=0090.100-0124.430 | Y=0450.010-0463.970 | 1.100
P=5193 | X=0090.100-0113.000 | Y=0464.010-0477.970 | 790
P=5193 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 680
P=5193 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 50
P=5193 | X=0090.100-0304.410 | Y=0520.010-0533.970 | Đường số 29 - Khu phố Minh Long 2
P=5193 | X=0090.100-0510.040 | Y=0534.010-0547.970 | Phía Tây: Ngã ba đường số 29B; Phía Đông: Hết ranh thửa đất số 2, tờ
P=5193 | X=0090.100-0175.470 | Y=0548.010-0561.970 | bản đồ số 130
P=5193 | X=0090.100-0170.690 | Y=0562.010-0575.970 | Đường ĐH 15
P=5193 | X=0090.100-0124.430 | Y=0576.010-0589.970 | 1.100
P=5193 | X=0090.100-0113.000 | Y=0590.010-0603.970 | 790
P=5193 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 680
P=5193 | X=0090.100-0105.360 | Y=0632.010-0645.970 | 51
P=5193 | X=0090.100-0312.610 | Y=0646.010-0659.970 | Đường số 29A - Khu phố Minh Long 2
P=5193 | X=0090.100-0165.960 | Y=0660.010-0673.970 | Đường số 29
P=5193 | X=0090.100-0174.200 | Y=0674.010-0687.970 | Đường số 29B
P=5193 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 960
P=5193 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 670
P=5194 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 580
P=5194 | X=0090.100-0105.360 | Y=0100.010-0113.970 | 52
P=5194 | X=0090.100-0312.640 | Y=0114.010-0127.970 | Đường số 29B - Khu phố Minh Long 2
P=5194 | X=0090.100-0154.680 | Y=0128.010-0141.970 | Suối Bà Và
P=5194 | X=0090.100-0127.390 | Y=0142.010-0155.970 | Suối 1
P=5194 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 700
P=5194 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 490
P=5194 | X=0090.100-0113.000 | Y=0184.010-0197.970 | 420
P=5194 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 53
P=5194 | X=0090.100-0304.410 | Y=0226.010-0239.970 | Đường số 30 - Khu phố Minh Long 3
P=5194 | X=0090.100-0176.640 | Y=0240.010-0253.970 | Đường ĐT 751
P=5194 | X=0090.100-0469.870 | Y=0254.010-0267.970 | Ranh Phía Nam thửa đất số 97 và thửa đất số 98 tờ bản đồ 136
P=5194 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 960
P=5194 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 670
P=5194 | X=0090.100-0113.000 | Y=0296.010-0309.970 | 580
P=5194 | X=0090.100-0105.360 | Y=0324.010-0337.970 | 54
P=5194 | X=0090.100-0304.410 | Y=0338.010-0351.970 | Đường số 30 - Khu phố Minh Long 3
P=5194 | X=0090.100-0469.870 | Y=0352.010-0365.970 | Ranh Phía Nam thửa đất số 97 và thửa đất số 98 tờ bản đồ 136
P=5194 | X=0090.100-0149.370 | Y=0366.010-0379.970 | Hết tuyến
P=5194 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 700
P=5194 | X=0090.100-0113.000 | Y=0394.010-0407.970 | 490
P=5194 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 420
P=5194 | X=0090.100-0105.360 | Y=0436.010-0449.970 | 55
P=5194 | X=0090.100-0304.410 | Y=0450.010-0463.970 | Đường số 31 - Khu phố Minh Long 2
P=5194 | X=0090.100-0176.640 | Y=0464.010-0477.970 | Đường ĐT 751
P=5194 | X=0090.100-0520.050 | Y=0478.010-0491.970 | Ngã ba đường Bê tông (Ranh Phía Bắc thửa đất số 11 tờ bản đồ số 137)
P=5194 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 1.100
P=5194 | X=0090.100-0113.000 | Y=0506.010-0519.970 | 790
P=5194 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 680
P=5194 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 56
P=5194 | X=0090.100-0304.410 | Y=0562.010-0575.970 | Đường số 32 - Khu phố Minh Long 3
P=5194 | X=0090.100-0176.640 | Y=0576.010-0589.970 | Đường ĐT 751
P=5194 | X=0090.100-0165.960 | Y=0590.010-0603.970 | Đường số 40
P=5194 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 960
P=5194 | X=0090.100-0113.000 | Y=0618.010-0631.970 | 670
P=5194 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 580
P=5194 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 57
P=5194 | X=0090.100-0304.410 | Y=0674.010-0687.970 | Đường số 32 - Khu phố Minh Long 3
P=5194 | X=0090.100-0165.960 | Y=0688.010-0701.970 | Đường số 40
