TABLE=085 | AREA=Xã Thiện Hưng
--- SEQUENCE=9 | SECTION=non-agricultural | PAGES=5740-5745 | LINES=170 ---
P=5742 | X=0090.100-0132.060 | Y=0618.010-0631.970 | 10.600
P=5742 | X=0090.100-0097.730 | Y=0646.010-0659.970 | 3
P=5742 | X=0090.100-0256.720 | Y=0660.010-0673.970 | Khu dân cư Tân Hạnh 01 ha
P=5743 | X=0090.100-0352.720 | Y=0072.010-0085.970 | Các đường trong Khu dân cư Tân Hạnh 1 ha
P=5743 | X=0090.100-0132.060 | Y=0086.010-0099.970 | 10.600
P=5743 | X=0090.100-0097.730 | Y=0114.010-0127.970 | 4
P=5743 | X=0090.100-0318.890 | Y=0128.010-0141.970 | Khu dân cư 01 ha phường Hóa An (cũ)
P=5743 | X=0090.100-0407.520 | Y=0184.010-0197.970 | Đường Huỳnh Mẫn Đạt (đường vào Mỏ đá BBCC (cũ))
P=5743 | X=0090.100-0132.060 | Y=0198.010-0211.970 | 16.500
P=5743 | X=0090.100-0197.070 | Y=0240.010-0253.970 | Các đường còn lại
P=5743 | X=0090.100-0132.060 | Y=0254.010-0267.970 | 11.600
P=5743 | X=0090.100-0097.730 | Y=0282.010-0295.970 | 5
P=5743 | X=0090.100-0379.610 | Y=0296.010-0309.970 | Khu tái định cư Phước Hữu (phường Bửu Hòa cũ)
P=5743 | X=0090.100-0352.030 | Y=0352.010-0365.970 | Các đường trong Khu tái định cư Phước Hữu
P=5743 | X=0090.100-0132.060 | Y=0366.010-0379.970 | 17.600
P=5743 | X=0090.100-0097.730 | Y=0394.010-0407.970 | 6
P=5743 | X=0090.100-0355.680 | Y=0408.010-0421.970 | Khu Tái định cư phường Bửu Hòa (cũ) 1,8 ha
P=5743 | X=0090.100-0283.870 | Y=0464.010-0477.970 | Các đường trong Khu tái định cư
P=5743 | X=0090.100-0132.060 | Y=0478.010-0491.970 | 17.600
P=5743 | X=0090.100-0196.380 | Y=0520.010-0533.970 | Phường Trấn Biên
P=5743 | X=0090.100-0097.730 | Y=0562.010-0575.970 | 1
P=5743 | X=0090.100-0517.540 | Y=0576.010-0589.970 | Khu dân cư phục vụ tái định cư số 21 (nối khu tái định cư khu F với Khu
P=5743 | X=0090.100-0360.240 | Y=0590.010-0603.970 | dân cư Đình Tân Lại) (phường Bửu Long (cũ))
P=5743 | X=0090.100-0511.460 | Y=0646.010-0659.970 | Đường N4 (từ đường Nguyễn Du đến đường D5 (khu dân cư Bửu Long)
P=5743 | X=0090.100-0132.060 | Y=0660.010-0673.970 | 23.100
P=5743 | X=0090.100-0510.670 | Y=0702.010-0715.970 | Đường Nguyễn Bỉnh Khiêm (từ đường Nguyễn Đình Chiểu đến hết Văn
P=5744 | X=0090.100-0184.750 | Y=0072.010-0085.970 | Miếu Trấn Biên)
P=5744 | X=0090.100-0132.060 | Y=0086.010-0099.970 | 23.100
P=5744 | X=0090.100-0296.290 | Y=0128.010-0141.970 | Đường D2 (phường Bửu Long (cũ))
P=5744 | X=0090.100-0132.060 | Y=0142.010-0155.970 | 23.100
P=5744 | X=0090.100-0303.660 | Y=0184.010-0197.970 | Đường N12 (phường Bửu Long (cũ))
P=5744 | X=0090.100-0132.060 | Y=0198.010-0211.970 | 23.100
P=5744 | X=0090.100-0197.070 | Y=0240.010-0253.970 | Các đường còn lại
P=5744 | X=0090.100-0132.060 | Y=0254.010-0267.970 | 16.200
P=5744 | X=0090.100-0097.730 | Y=0282.010-0295.970 | 2
P=5744 | X=0090.100-0316.980 | Y=0296.010-0309.970 | Khu tái định cư phường Bửu Long (cũ)
P=5744 | X=0090.100-0296.290 | Y=0352.010-0365.970 | Đường D2 (phường Bửu Long (cũ))
P=5744 | X=0090.100-0132.060 | Y=0366.010-0379.970 | 23.100
P=5744 | X=0090.100-0303.660 | Y=0408.010-0421.970 | Đường N12 (phường Bửu Long (cũ))
P=5744 | X=0090.100-0132.060 | Y=0422.010-0435.970 | 23.100
P=5744 | X=0090.100-0197.070 | Y=0464.010-0477.970 | Các đường còn lại
P=5744 | X=0090.100-0132.060 | Y=0478.010-0491.970 | 16.200
P=5744 | X=0090.100-0097.730 | Y=0506.010-0519.970 | 3
P=5744 | X=0090.100-0439.550 | Y=0520.010-0533.970 | Khu dân cư phục vụ tái định cư KP1 phường Bửu Long (cũ)
P=5744 | X=0090.100-0515.820 | Y=0576.010-0589.970 | Các đường trong Khu dân cư phục vụ tái định cư KP1 phường Bửu Long
P=5744 | X=0090.100-0113.640 | Y=0590.010-0603.970 | (cũ)
P=5744 | X=0090.100-0132.060 | Y=0604.010-0617.970 | 16.200
P=5744 | X=0090.100-0097.730 | Y=0632.010-0645.970 | 4
P=5744 | X=0090.100-0506.480 | Y=0646.010-0659.970 | Hạ tầng khu dân cư, thương mại và tái định cư 6,3 ha tại phường Bửu
P=5744 | X=0090.100-0146.660 | Y=0660.010-0673.970 | Long (cũ)
P=5745 | X=0090.100-0436.030 | Y=0072.010-0085.970 | Đường 10 (từ đường Huỳnh Văn Nghệ đến bến đò trạm 1)
P=5745 | X=0090.100-0132.060 | Y=0086.010-0099.970 | 23.100
P=5745 | X=0090.100-0197.070 | Y=0128.010-0141.970 | Các đường còn lại
P=5745 | X=0090.100-0132.060 | Y=0142.010-0155.970 | 16.200
P=5745 | X=0090.100-0097.730 | Y=0170.010-0183.970 | 5
P=5745 | X=0090.100-0358.610 | Y=0184.010-0197.970 | Khu tái định cư 3,2 ha phường Bửu Long (cũ)
P=5745 | X=0090.100-0462.220 | Y=0240.010-0253.970 | Các đường trong Khu tái định cư 3,2 ha phường Bửu Long (cũ)
P=5745 | X=0090.100-0132.060 | Y=0254.010-0267.970 | 16.200
P=5745 | X=0090.100-0097.730 | Y=0282.010-0295.970 | 6
P=5745 | X=0090.100-0316.980 | Y=0296.010-0309.970 | Khu tái định cư phường Bửu Long (cũ)
P=5745 | X=0090.100-0296.290 | Y=0352.010-0365.970 | Đường D2 (phường Bửu Long (cũ))
P=5745 | X=0090.100-0132.060 | Y=0366.010-0379.970 | 23.100
P=5745 | X=0090.100-0303.660 | Y=0408.010-0421.970 | Đường N12 (phường Bửu Long (cũ))
P=5745 | X=0090.100-0132.060 | Y=0422.010-0435.970 | 23.100
P=5745 | X=0090.100-0197.070 | Y=0464.010-0477.970 | Các đường còn lại
P=5745 | X=0090.100-0132.060 | Y=0478.010-0491.970 | 16.200
P=5745 | X=0090.100-0097.730 | Y=0506.010-0519.970 | 7
P=5745 | X=0090.100-0330.650 | Y=0520.010-0533.970 | Khu tái định cư phường Quang Vinh (cũ)
P=5745 | X=0090.100-0361.910 | Y=0576.010-0589.970 | Đường Đông Tây 3 (phường Quang Vinh (cũ))
P=5745 | X=0090.100-0132.060 | Y=0590.010-0603.970 | 21.300
P=5745 | X=0090.100-0394.690 | Y=0632.010-0645.970 | Đường Nguyễn Du (đường vào Miếu Bình Thiền cũ)
P=5745 | X=0090.100-0132.060 | Y=0646.010-0659.970 | 23.300
P=5745 | X=0090.100-0197.070 | Y=0688.010-0701.970 | Các đường còn lại
P=5745 | X=0090.100-0132.060 | Y=0702.010-0715.970 | 16.200
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5785-5795 | LINES=302 ---
P=5785 | X=0090.100-0345.770 | Y=0072.010-0085.970 | Đường D2 - Khu tái định cư Lý Thường Kiệt
P=5785 | X=0090.100-0124.430 | Y=0086.010-0099.970 | 1.700
P=5785 | X=0090.100-0420.500 | Y=0128.010-0141.970 | Các đường còn lại trong Khu tái định cư Lý Thường Kiệt
P=5785 | X=0090.100-0124.430 | Y=0142.010-0155.970 | 1.500
P=5785 | X=0090.100-0178.300 | Y=0184.010-0197.970 | Xã Thiện Hưng
P=5785 | X=0090.100-0097.730 | Y=0226.010-0239.970 | 1
P=5785 | X=0090.100-0235.390 | Y=0240.010-0253.970 | Khu tái định cư Cần Đơn
P=5785 | X=0090.100-0321.130 | Y=0296.010-0309.970 | Các tuyến đường trong khu tái định cư
P=5785 | X=0090.100-0113.000 | Y=0310.010-0323.970 | 800
P=5785 | X=0090.100-0181.430 | Y=0352.010-0365.970 | Xã Hưng Phước
P=5785 | X=0090.100-0097.730 | Y=0394.010-0407.970 | 1
P=5785 | X=0090.100-0380.910 | Y=0408.010-0421.970 | Khu tái định cư công trình Hồ chứa nước Bù Tam
P=5785 | X=0090.100-0321.130 | Y=0464.010-0477.970 | Các tuyến đường trong khu tái định cư
P=5785 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 500
P=5785 | X=0090.100-0152.900 | Y=0520.010-0533.970 | Phụ lục VII
P=5785 | X=0090.100-0336.240 | Y=0534.010-0547.970 | CÁC TUYẾN ĐƯỜNG GIAO THÔNG CHÍNH
P=5785 | X=0090.100-0420.990 | Y=0548.010-0561.970 | (Ban hành kèm theo Nghị quyết số 28/2025/NQ-HĐND)
P=5785 | X=0090.100-0104.740 | Y=0562.010-0575.970 | TT
P=5785 | X=0090.100-0153.940 | Y=0576.010-0589.970 | Tên đường
P=5785 | X=0090.100-0148.130 | Y=0590.010-0603.970 | Điểm đầu
P=5785 | X=0090.100-0150.420 | Y=0604.010-0617.970 | Điểm cuối
P=5785 | X=0090.100-0097.730 | Y=0632.010-0645.970 | 1
P=5785 | X=0090.100-0192.890 | Y=0646.010-0659.970 | Phường Biên Hòa
P=5786 | X=0090.100-0219.140 | Y=0072.010-0085.970 | Đường Bùi Hữu Nghĩa
P=5786 | X=0090.100-0315.220 | Y=0086.010-0099.970 | Giáp ranh giới thành phố Hồ Chí Minh
P=5786 | X=0090.100-0247.720 | Y=0100.010-0113.970 | Đường Nguyễn Tri Phương
P=5786 | X=0090.100-0219.140 | Y=0142.010-0155.970 | Đường Bùi Hữu Nghĩa
P=5786 | X=0090.100-0247.720 | Y=0156.010-0169.970 | Đường Nguyễn Tri Phương
P=5786 | X=0090.100-0270.950 | Y=0170.010-0183.970 | Công an phường Bửu Hòa (cũ)
P=5786 | X=0090.100-0219.140 | Y=0212.010-0225.970 | Đường Bùi Hữu Nghĩa
P=5786 | X=0090.100-0270.950 | Y=0226.010-0239.970 | Công an phường Bửu Hòa (cũ)
P=5786 | X=0090.100-0227.670 | Y=0240.010-0253.970 | Đường Nguyễn Thị Tồn
P=5786 | X=0090.100-0219.140 | Y=0282.010-0295.970 | Đường Bùi Hữu Nghĩa
P=5786 | X=0090.100-0227.670 | Y=0296.010-0309.970 | Đường Nguyễn Thị Tồn
P=5786 | X=0090.100-0226.450 | Y=0310.010-0323.970 | Đường Huỳnh Mẫn Đạt
P=5786 | X=0090.100-0219.140 | Y=0352.010-0365.970 | Đường Bùi Hữu Nghĩa
P=5786 | X=0090.100-0226.450 | Y=0366.010-0379.970 | Đường Huỳnh Mẫn Đạt
P=5786 | X=0090.100-0169.140 | Y=0380.010-0393.970 | Cầu Rạch Sỏi
P=5786 | X=0090.100-0219.140 | Y=0422.010-0435.970 | Đường Bùi Hữu Nghĩa
P=5786 | X=0090.100-0169.140 | Y=0436.010-0449.970 | Cầu Rạch Sỏi
P=5786 | X=0090.100-0171.300 | Y=0450.010-0463.970 | Cầu Ông Tiếp
P=5786 | X=0090.100-0247.720 | Y=0492.010-0505.970 | Đường Nguyễn Tri Phương
P=5786 | X=0090.100-0156.680 | Y=0506.010-0519.970 | Cầu Ghềnh
P=5786 | X=0090.100-0229.670 | Y=0520.010-0533.970 | Đường Nguyễn Ái Quốc
P=5786 | X=0090.100-0239.810 | Y=0562.010-0575.970 | Đường Nguyễn Văn Lung
P=5786 | X=0090.100-0229.670 | Y=0576.010-0589.970 | Đường Nguyễn Ái Quốc
P=5786 | X=0090.100-0173.630 | Y=0590.010-0603.970 | Mỏ đá Hóa An
P=5786 | X=0090.100-0209.820 | Y=0632.010-0645.970 | Đường Trần Văn Ơn
P=5786 | X=0090.100-0219.140 | Y=0646.010-0659.970 | Đường Bùi Hữu Nghĩa
P=5786 | X=0090.100-0512.440 | Y=0660.010-0673.970 | Chạm tới giữa ranh thửa đất số 9, tờ BĐĐC số 124 và thửa đất số 8, tờ
P=5786 | X=0090.100-0169.360 | Y=0674.010-0687.970 | BĐĐC số 124
P=5787 | X=0090.100-0229.670 | Y=0072.010-0085.970 | Đường Nguyễn Ái Quốc
P=5787 | X=0090.100-0315.220 | Y=0086.010-0099.970 | Giáp ranh giới thành phố Hồ Chí Minh
P=5787 | X=0090.100-0160.510 | Y=0100.010-0113.970 | Cầu Hóa An
P=5787 | X=0090.100-0247.190 | Y=0142.010-0155.970 | Đường Hoàng Minh Chánh
P=5787 | X=0090.100-0229.670 | Y=0156.010-0169.970 | Đường Nguyễn Ái Quốc
P=5787 | X=0090.100-0219.140 | Y=0170.010-0183.970 | Đường Bùi Hữu Nghĩa
P=5787 | X=0090.100-0247.190 | Y=0212.010-0225.970 | Đường Hoàng Minh Chánh
P=5787 | X=0090.100-0229.670 | Y=0226.010-0239.970 | Đường Nguyễn Ái Quốc
P=5787 | X=0090.100-0505.210 | Y=0240.010-0253.970 | Nghĩa trang Sùng Chính Phước Kiến (dự án đường Hoàng Minh Chánh
P=5787 | X=0090.100-0135.120 | Y=0254.010-0267.970 | nối dài)
P=5787 | X=0090.100-0226.450 | Y=0296.010-0309.970 | Đường Huỳnh Mẫn Đạt
P=5787 | X=0090.100-0219.140 | Y=0310.010-0323.970 | Đường Bùi Hữu Nghĩa
P=5787 | X=0090.100-0245.520 | Y=0324.010-0337.970 | Giáp ranh mỏ đá BBCC cũ
P=5787 | X=0090.100-0225.480 | Y=0366.010-0379.970 | Đường Phạm Văn Diêu
P=5787 | X=0090.100-0219.140 | Y=0380.010-0393.970 | Đường Bùi Hữu Nghĩa
P=5787 | X=0090.100-0315.220 | Y=0394.010-0407.970 | Giáp ranh giới thành phố Hồ Chí Minh
P=5787 | X=0090.100-0227.670 | Y=0436.010-0449.970 | Đường Nguyễn Thị Tồn
P=5787 | X=0090.100-0229.670 | Y=0450.010-0463.970 | Đường Nguyễn Ái Quốc
P=5787 | X=0090.100-0219.140 | Y=0464.010-0477.970 | Đường Bùi Hữu Nghĩa
P=5787 | X=0090.100-0478.230 | Y=0506.010-0519.970 | Các tuyến đường tại Cù Lao Tân Vạn (đường D1, D4, D9, N2, N4)
P=5787 | X=0090.100-0427.600 | Y=0548.010-0561.970 | Các tuyến đường tại Cù Lao Tân Vạn (các đường còn lại)
P=5787 | X=0090.100-0097.730 | Y=0576.010-0589.970 | 2
P=5787 | X=0090.100-0196.380 | Y=0590.010-0603.970 | Phường Trấn Biên
P=5787 | X=0090.100-0247.720 | Y=0660.010-0673.970 | Đường Nguyễn Tri Phương
P=5787 | X=0090.100-0171.300 | Y=0674.010-0687.970 | Cầu Rạch Cát
P=5787 | X=0090.100-0156.680 | Y=0688.010-0701.970 | Cầu Ghềnh
P=5788 | X=0090.100-0234.530 | Y=0086.010-0099.970 | Đường Huỳnh Văn Nghệ
P=5788 | X=0090.100-0229.670 | Y=0100.010-0113.970 | Đường Nguyễn Ái Quốc
P=5788 | X=0090.100-0251.780 | Y=0114.010-0127.970 | Đường Nguyễn Bỉnh Khiêm
P=5788 | X=0090.100-0234.530 | Y=0156.010-0169.970 | Đường Huỳnh Văn Nghệ
P=5788 | X=0090.100-0251.780 | Y=0170.010-0183.970 | Đường Nguyễn Bỉnh Khiêm
P=5788 | X=0090.100-0218.690 | Y=0184.010-0197.970 | Đường Ngô Thì Nhậm
P=5788 | X=0090.100-0234.530 | Y=0226.010-0239.970 | Đường Huỳnh Văn Nghệ
P=5788 | X=0090.100-0218.690 | Y=0240.010-0253.970 | Đường Ngô Thì Nhậm
P=5788 | X=0090.100-0228.450 | Y=0254.010-0267.970 | Đường Võ Trường Toản
P=5788 | X=0090.100-0234.530 | Y=0296.010-0309.970 | Đường Huỳnh Văn Nghệ
P=5788 | X=0090.100-0228.450 | Y=0310.010-0323.970 | Đường Võ Trường Toản
P=5788 | X=0090.100-0183.250 | Y=0324.010-0337.970 | Ngã ba Gạc Nai
P=5788 | X=0090.100-0234.530 | Y=0366.010-0379.970 | Đường Huỳnh Văn Nghệ
P=5788 | X=0090.100-0183.250 | Y=0380.010-0393.970 | Ngã ba Gạc Nai
P=5788 | X=0090.100-0258.490 | Y=0394.010-0407.970 | Giáp ranh phường Tân Triều
P=5788 | X=0090.100-0249.250 | Y=0436.010-0449.970 | Đường Nguyễn Đình Chiểu
P=5788 | X=0090.100-0234.530 | Y=0450.010-0463.970 | Đường Huỳnh Văn Nghệ
P=5788 | X=0090.100-0228.450 | Y=0464.010-0477.970 | Đường Võ Trường Toản
P=5788 | X=0090.100-0228.450 | Y=0506.010-0519.970 | Đường Võ Trường Toản
P=5788 | X=0090.100-0234.530 | Y=0520.010-0533.970 | Đường Huỳnh Văn Nghệ
P=5788 | X=0090.100-0258.490 | Y=0534.010-0547.970 | Giáp ranh phường Tân Triều
P=5788 | X=0090.100-0203.450 | Y=0576.010-0589.970 | Đường Chu Văn An
P=5788 | X=0090.100-0249.250 | Y=0590.010-0603.970 | Đường Nguyễn Đình Chiểu
P=5788 | X=0090.100-0231.930 | Y=0604.010-0617.970 | Hết Văn Miếu Trấn Biên
P=5788 | X=0090.100-0394.690 | Y=0646.010-0659.970 | Đường Nguyễn Du (đường vào Miếu Bình Thiền cũ)
P=5788 | X=0090.100-0203.450 | Y=0660.010-0673.970 | Đường Chu Văn An
P=5788 | X=0090.100-0229.670 | Y=0674.010-0687.970 | Đường Nguyễn Ái Quốc
P=5789 | X=0090.100-0218.690 | Y=0072.010-0085.970 | Đường Ngô Thì Nhậm
P=5789 | X=0090.100-0234.530 | Y=0086.010-0099.970 | Đường Huỳnh Văn Nghệ
P=5789 | X=0090.100-0175.960 | Y=0100.010-0113.970 | Bến đò trạm 1
P=5789 | X=0090.100-0252.630 | Y=0142.010-0155.970 | Đường Cách Mạng Tháng 8
P=5789 | X=0090.100-0182.640 | Y=0156.010-0169.970 | Ngã ba mũi tàu
P=5789 | X=0090.100-0225.910 | Y=0170.010-0183.970 | Đường Nguyễn Văn Trị
P=5789 | X=0090.100-0252.630 | Y=0212.010-0225.970 | Đường Cách Mạng Tháng 8
P=5789 | X=0090.100-0225.910 | Y=0226.010-0239.970 | Đường Nguyễn Văn Trị
P=5789 | X=0090.100-0225.040 | Y=0240.010-0253.970 | Đường Phan Chu Trinh
P=5789 | X=0090.100-0252.630 | Y=0282.010-0295.970 | Đường Cách Mạng Tháng 8
P=5789 | X=0090.100-0225.040 | Y=0296.010-0309.970 | Đường Phan Chu Trinh
P=5789 | X=0090.100-0229.670 | Y=0310.010-0323.970 | Đường Nguyễn Ái Quốc
P=5789 | X=0090.100-0200.380 | Y=0352.010-0365.970 | Đường Hồ Văn Đại
P=5789 | X=0090.100-0229.670 | Y=0366.010-0379.970 | Đường Nguyễn Ái Quốc
P=5789 | X=0090.100-0252.630 | Y=0380.010-0393.970 | Đường Cách Mạng Tháng 8
P=5789 | X=0090.100-0224.340 | Y=0422.010-0435.970 | Đường Huỳnh Văn Lũy
P=5789 | X=0090.100-0225.910 | Y=0436.010-0449.970 | Đường Nguyễn Văn Trị
P=5789 | X=0090.100-0229.670 | Y=0450.010-0463.970 | Đường Nguyễn Ái Quốc
P=5789 | X=0090.100-0233.240 | Y=0492.010-0505.970 | Đường Nguyễn Văn Trỗi
