TABLE=026 | AREA=Xã Xuân Thành | SECTION=non-agricultural | SEGMENTS=1
P=0979 | X=0445.610-0462.250 | Y=0535.810-0545.130 | 360
P=0979 | X=0505.390-0522.030 | Y=0535.810-0545.130 | 310
P=0979 | X=0111.890-0343.440 | Y=0548.090-0559.330 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0979 | X=0111.890-0365.200 | Y=0565.610-0576.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0979 | X=0111.890-0206.840 | Y=0577.130-0588.370 | >500m đến ≤1.000m.
P=0979 | X=0111.890-0335.060 | Y=0594.650-0605.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0979 | X=0111.890-0380.360 | Y=0612.410-0623.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=0979 | X=0111.890-0381.560 | Y=0623.950-0635.190 | Hữu đi Trảng Táo (xã Xuân Thành) đoạn từ Đường hẻm bên
P=0979 | X=0111.890-0387.580 | Y=0635.470-0646.710 | hông nhà thờ Tân Hữu đến Hết ranh thửa đất số 57, tờ BĐĐC
P=0979 | X=0111.890-0375.830 | Y=0646.750-0657.990 | số 21 về bên phải và hết ranh thửa đất số 117, tờ BĐĐC số
P=0979 | X=0095.060-0378.550 | Y=0657.510-0669.510 | 88 21 về bên trái, xã Xuân Thành có hiện trạng là đường nhựa,
P=0979 | X=0408.620-0425.260 | Y=0657.510-0666.830 | 450
P=0979 | X=0445.610-0462.250 | Y=0657.510-0666.830 | 320
P=0979 | X=0505.390-0522.030 | Y=0657.510-0666.830 | 270
P=0979 | X=0111.890-0185.970 | Y=0669.790-0681.030 | bê tông xi măng:
P=0979 | X=0111.890-0353.000 | Y=0687.310-0698.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0979 | X=0111.890-0154.030 | Y=0700.710-0710.030 | >1.000m.
P=0980 | X=0111.890-0335.530 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0980 | X=0111.890-0385.400 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0980 | X=0111.890-0371.690 | Y=0107.780-0119.020 | ra Đường Tân Hữu đi Trảng Táo (xã Xuân Thành) đoạn từ
P=0980 | X=0111.890-0373.660 | Y=0119.330-0130.570 | Đường hẻm bên hông nhà thờ Tân Hữu đến Hết ranh thửa
P=0980 | X=0111.890-0387.100 | Y=0130.850-0142.090 | đất số 57, tờ BĐĐC số 21 về bên phải và hết ranh thửa đất số
P=0980 | X=0111.890-0385.430 | Y=0142.370-0153.610 | 117, tờ BĐĐC số 21 về bên trái, xã Xuân Thành có hiện trạng
P=0980 | X=0095.060-0106.180 | Y=0150.250-0159.570 | 89
P=0980 | X=0408.620-0425.260 | Y=0150.250-0159.570 | 540
P=0980 | X=0445.610-0462.250 | Y=0150.250-0159.570 | 380
P=0980 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 330
P=0980 | X=0111.890-0258.220 | Y=0153.650-0164.890 | là đường nhựa, bê tông xi măng:
P=0980 | X=0111.890-0342.970 | Y=0171.170-0182.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0980 | X=0111.890-0353.000 | Y=0188.690-0199.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0980 | X=0111.890-0145.410 | Y=0200.230-0211.470 | ≤500m.
P=0980 | X=0111.890-0385.400 | Y=0217.990-0229.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0980 | X=0111.890-0371.690 | Y=0229.510-0240.750 | ra Đường Tân Hữu đi Trảng Táo (xã Xuân Thành) đoạn từ
P=0980 | X=0111.890-0373.660 | Y=0241.030-0252.270 | Đường hẻm bên hông nhà thờ Tân Hữu đến Hết ranh thửa
P=0980 | X=0111.890-0387.100 | Y=0252.550-0263.790 | đất số 57, tờ BĐĐC số 21 về bên phải và hết ranh thửa đất số
P=0980 | X=0111.890-0385.430 | Y=0264.070-0275.310 | 117, tờ BĐĐC số 21 về bên trái, xã Xuân Thành có hiện trạng
P=0980 | X=0095.060-0258.220 | Y=0275.590-0289.910 | 90 là đường nhựa, bê tông xi măng:
P=0980 | X=0408.620-0425.260 | Y=0280.590-0289.910 | 470
P=0980 | X=0445.610-0462.250 | Y=0280.590-0289.910 | 330
P=0980 | X=0505.390-0522.030 | Y=0280.590-0289.910 | 280
P=0980 | X=0111.890-0343.440 | Y=0293.140-0304.380 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0980 | X=0111.890-0365.200 | Y=0310.660-0321.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0980 | X=0111.890-0206.840 | Y=0321.940-0333.180 | >500m đến ≤1.000m.
P=0980 | X=0111.890-0335.060 | Y=0339.460-0350.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0980 | X=0111.890-0385.400 | Y=0357.220-0368.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0980 | X=0111.890-0371.690 | Y=0368.760-0380.000 | ra Đường Tân Hữu đi Trảng Táo (xã Xuân Thành) đoạn từ
P=0980 | X=0111.890-0373.660 | Y=0380.280-0391.520 | Đường hẻm bên hông nhà thờ Tân Hữu đến Hết ranh thửa
P=0980 | X=0111.890-0387.100 | Y=0391.800-0403.040 | đất số 57, tờ BĐĐC số 21 về bên phải và hết ranh thửa đất số
P=0980 | X=0111.890-0385.430 | Y=0403.320-0414.560 | 117, tờ BĐĐC số 21 về bên trái, xã Xuân Thành có hiện trạng
P=0980 | X=0095.060-0106.180 | Y=0411.200-0420.520 | 91
P=0980 | X=0408.620-0425.260 | Y=0411.200-0420.520 | 410
P=0980 | X=0445.610-0462.250 | Y=0411.200-0420.520 | 290
P=0980 | X=0505.390-0522.030 | Y=0411.200-0420.520 | 250
P=0980 | X=0111.890-0258.220 | Y=0414.840-0426.080 | là đường nhựa, bê tông xi măng:
P=0980 | X=0111.890-0353.000 | Y=0432.360-0443.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0980 | X=0111.890-0154.030 | Y=0445.760-0455.080 | >1.000m.
P=0980 | X=0111.890-0335.530 | Y=0461.420-0472.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0980 | X=0111.890-0229.860 | Y=0479.180-0490.420 | Đường Xuân Thành - Suối
P=0980 | X=0306.360-0386.600 | Y=0481.060-0490.380 | Ngã ba Ông Sáng
P=0980 | X=0230.980-0301.150 | Y=0484.940-0496.180 | Đường tỉnh 766
P=0980 | X=0095.060-0106.180 | Y=0486.820-0496.140 | 92
P=0980 | X=0400.460-0425.510 | Y=0486.820-0496.140 | 1.700
P=0980 | X=0437.450-0462.500 | Y=0486.820-0496.140 | 1.200
P=0980 | X=0497.230-0522.280 | Y=0486.820-0496.140 | 1.000
P=0980 | X=0111.890-0182.470 | Y=0492.340-0501.660 | Cao - Xuân Bắc
P=0980 | X=0306.360-0330.220 | Y=0492.340-0501.660 | Chùa
P=0980 | X=0111.890-0386.130 | Y=0508.220-0519.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0980 | X=0111.890-0371.980 | Y=0519.740-0530.980 | Thành - Suối Cao - Xuân Bắc đoạn từ Đường tỉnh 766 đến
P=0980 | X=0111.890-0387.800 | Y=0531.260-0542.500 | Ngã ba Ông Sáng Chùa có hiện trạng là đường nhựa, bê tông
P=0980 | X=0111.890-0149.720 | Y=0542.810-0554.050 | xi măng:
P=0980 | X=0095.060-0106.180 | Y=0550.690-0560.010 | 93
P=0980 | X=0408.620-0425.260 | Y=0550.690-0560.010 | 860
P=0980 | X=0445.610-0462.250 | Y=0550.690-0560.010 | 600
P=0980 | X=0505.390-0522.030 | Y=0550.690-0560.010 | 520
P=0980 | X=0111.890-0342.970 | Y=0560.330-0571.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0980 | X=0111.890-0353.000 | Y=0577.850-0589.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0980 | X=0111.890-0145.410 | Y=0589.370-0600.610 | ≤500m.
P=0980 | X=0111.890-0386.130 | Y=0607.130-0618.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0980 | X=0111.890-0371.980 | Y=0618.670-0629.910 | Thành - Suối Cao - Xuân Bắc đoạn từ Đường tỉnh 766 đến
P=0980 | X=0111.890-0387.800 | Y=0630.190-0641.430 | Ngã ba Ông Sáng Chùa có hiện trạng là đường nhựa, bê tông
P=0980 | X=0111.890-0149.720 | Y=0641.710-0652.950 | xi măng:
P=0980 | X=0095.060-0343.440 | Y=0658.230-0670.470 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0980 | X=0408.620-0425.260 | Y=0658.230-0667.550 | 660
P=0980 | X=0445.610-0462.250 | Y=0658.230-0667.550 | 460
P=0980 | X=0505.390-0522.030 | Y=0658.230-0667.550 | 400
P=0980 | X=0111.890-0365.200 | Y=0676.510-0687.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0980 | X=0111.890-0206.840 | Y=0688.030-0699.270 | >500m đến ≤1.000m.
P=0980 | X=0111.890-0335.060 | Y=0705.570-0716.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0981 | X=0111.890-0386.130 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0981 | X=0111.890-0371.980 | Y=0090.020-0101.260 | Thành - Suối Cao - Xuân Bắc đoạn từ Đường tỉnh 766 đến
P=0981 | X=0111.890-0387.800 | Y=0101.540-0112.780 | Ngã ba Ông Sáng Chùa có hiện trạng là đường nhựa, bê tông
P=0981 | X=0111.890-0149.720 | Y=0113.060-0124.300 | xi măng:
P=0981 | X=0095.060-0106.180 | Y=0120.970-0130.290 | 95
P=0981 | X=0408.620-0425.260 | Y=0120.970-0130.290 | 530
P=0981 | X=0445.610-0462.250 | Y=0120.970-0130.290 | 370
P=0981 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 320
P=0981 | X=0111.890-0353.000 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0981 | X=0111.890-0154.030 | Y=0144.010-0153.330 | >1.000m.
P=0981 | X=0111.890-0335.530 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0981 | X=0111.890-0385.400 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0981 | X=0111.890-0386.620 | Y=0188.690-0199.930 | ra Đường Xuân Thành - Suối Cao - Xuân Bắc đoạn từ Đường
P=0981 | X=0111.890-0380.620 | Y=0200.230-0211.470 | tỉnh 766 đến Ngã ba Ông Sáng Chùa có hiện trạng là đường
P=0981 | X=0111.890-0215.000 | Y=0211.750-0222.990 | nhựa, bê tông xi măng:
P=0981 | X=0095.060-0106.180 | Y=0219.630-0228.950 | 96
P=0981 | X=0408.620-0425.260 | Y=0219.630-0228.950 | 770
P=0981 | X=0445.610-0462.250 | Y=0219.630-0228.950 | 540
P=0981 | X=0505.390-0522.030 | Y=0219.630-0228.950 | 460
P=0981 | X=0111.890-0342.970 | Y=0229.270-0240.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0981 | X=0111.890-0353.000 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0981 | X=0111.890-0145.410 | Y=0258.310-0269.550 | ≤500m.
P=0981 | X=0111.890-0385.400 | Y=0276.070-0287.310 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0981 | X=0111.890-0386.620 | Y=0287.620-0298.860 | ra Đường Xuân Thành - Suối Cao - Xuân Bắc đoạn từ Đường
P=0981 | X=0111.890-0380.620 | Y=0299.140-0310.380 | tỉnh 766 đến Ngã ba Ông Sáng Chùa có hiện trạng là đường
P=0981 | X=0111.890-0215.000 | Y=0310.660-0321.900 | nhựa, bê tông xi măng:
P=0981 | X=0095.060-0343.440 | Y=0327.180-0339.180 | 97 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0981 | X=0408.620-0425.260 | Y=0327.180-0336.500 | 590
P=0981 | X=0445.610-0462.250 | Y=0327.180-0336.500 | 410
P=0981 | X=0505.390-0522.030 | Y=0327.180-0336.500 | 350
P=0981 | X=0111.890-0365.200 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0981 | X=0111.890-0206.840 | Y=0356.980-0368.220 | >500m đến ≤1.000m.
P=0981 | X=0111.890-0335.080 | Y=0374.520-0385.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0981 | X=0111.890-0385.400 | Y=0392.280-0403.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0981 | X=0111.890-0386.620 | Y=0403.800-0415.040 | ra Đường Xuân Thành - Suối Cao - Xuân Bắc đoạn từ Đường
P=0981 | X=0111.890-0380.620 | Y=0415.320-0426.560 | tỉnh 766 đến Ngã ba Ông Sáng Chùa có hiện trạng là đường
P=0981 | X=0111.890-0215.000 | Y=0426.840-0438.080 | nhựa, bê tông xi măng:
P=0981 | X=0095.060-0106.180 | Y=0434.720-0444.040 | 98
P=0981 | X=0408.620-0425.260 | Y=0434.720-0444.040 | 480
P=0981 | X=0445.610-0462.250 | Y=0434.720-0444.040 | 340
P=0981 | X=0505.390-0522.030 | Y=0434.720-0444.040 | 290
P=0981 | X=0111.890-0353.000 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0981 | X=0111.890-0154.030 | Y=0457.780-0467.100 | >1.000m.
P=0981 | X=0111.890-0335.530 | Y=0473.420-0484.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0981 | X=0306.360-0382.910 | Y=0491.180-0502.420 | Đường trung tâm
P=0981 | X=0111.890-0285.060 | Y=0496.940-0508.180 | Đường Xuân Thành - Suối Ngã ba Ông
P=0981 | X=0306.360-0371.460 | Y=0502.460-0513.700 | xã Suối Cao đi
P=0981 | X=0095.060-0106.180 | Y=0504.340-0513.660 | 99
P=0981 | X=0400.460-0425.510 | Y=0504.340-0513.660 | 1.200
P=0981 | X=0445.610-0462.250 | Y=0504.340-0513.660 | 840
P=0981 | X=0505.390-0522.030 | Y=0504.340-0513.660 | 720
P=0981 | X=0111.890-0182.470 | Y=0510.100-0519.420 | Cao - Xuân Bắc
P=0981 | X=0230.980-0280.990 | Y=0510.100-0519.420 | Sáng Chùa
P=0981 | X=0306.360-0335.720 | Y=0515.860-0525.180 | cao su
P=0981 | X=0111.890-0386.150 | Y=0531.740-0542.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0981 | X=0111.890-0362.580 | Y=0543.290-0554.530 | Thành - Suối Cao - Xuân Bắc đoạn từ Ngã ba Ông Sáng
P=0981 | X=0111.890-0370.060 | Y=0554.810-0566.050 | Chùa đến Đường trung tâm xã Suối Cao đi cao su có hiện
P=0981 | X=0111.890-0283.670 | Y=0566.330-0577.570 | trạng là đường nhựa, bê tông xi măng:
P=0981 | X=0092.180-0108.820 | Y=0574.210-0583.530 | 100
P=0981 | X=0408.620-0425.260 | Y=0574.210-0583.530 | 600
P=0981 | X=0445.610-0462.250 | Y=0574.210-0583.530 | 440
P=0981 | X=0505.390-0522.030 | Y=0574.210-0583.530 | 380
P=0981 | X=0111.890-0342.970 | Y=0583.850-0595.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0981 | X=0111.890-0353.000 | Y=0601.370-0612.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0981 | X=0111.890-0145.410 | Y=0612.890-0624.130 | ≤500m.
P=0981 | X=0111.890-0386.130 | Y=0630.670-0641.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0981 | X=0111.890-0362.580 | Y=0642.190-0653.430 | Thành - Suối Cao - Xuân Bắc đoạn từ Ngã ba Ông Sáng
P=0981 | X=0111.890-0370.060 | Y=0653.710-0664.950 | Chùa đến Đường trung tâm xã Suối Cao đi cao su có hiện
P=0981 | X=0092.180-0283.670 | Y=0665.230-0676.670 | 101 trạng là đường nhựa, bê tông xi măng:
P=0981 | X=0408.620-0425.260 | Y=0667.350-0676.670 | 520
P=0981 | X=0445.610-0462.250 | Y=0667.350-0676.670 | 360
P=0981 | X=0505.390-0522.030 | Y=0667.350-0676.670 | 310
P=0981 | X=0111.890-0343.460 | Y=0682.510-0693.750 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0981 | X=0111.890-0365.200 | Y=0700.050-0711.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0982 | X=0111.890-0206.840 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=0982 | X=0111.890-0335.060 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0982 | X=0111.890-0386.130 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0982 | X=0111.890-0362.600 | Y=0119.330-0130.570 | Thành - Suối Cao - Xuân Bắc đoạn từ Ngã ba Ông Sáng
P=0982 | X=0111.890-0370.060 | Y=0130.850-0142.090 | Chùa đến Đường trung tâm xã Suối Cao đi cao su có hiện
P=0982 | X=0111.890-0283.670 | Y=0142.370-0153.610 | trạng là đường nhựa, bê tông xi măng:
P=0982 | X=0092.180-0108.820 | Y=0150.250-0159.570 | 102
P=0982 | X=0408.620-0425.260 | Y=0150.250-0159.570 | 450
P=0982 | X=0445.610-0462.250 | Y=0150.250-0159.570 | 320
P=0982 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 270
P=0982 | X=0111.890-0353.000 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0982 | X=0111.890-0154.030 | Y=0173.050-0182.370 | >1.000m.
P=0982 | X=0111.890-0335.530 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0982 | X=0111.890-0385.400 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0982 | X=0111.890-0387.110 | Y=0217.990-0229.230 | ra Đường Xuân Thành - Suối Cao - Xuân Bắc đoạn từ Ngã ba
P=0982 | X=0111.890-0382.490 | Y=0229.510-0240.750 | Ông Sáng Chùa đến Đường trung tâm xã Suối Cao đi cao su
P=0982 | X=0111.890-0318.740 | Y=0241.030-0252.270 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0982 | X=0092.180-0108.820 | Y=0248.910-0258.230 | 103
P=0982 | X=0408.620-0425.260 | Y=0248.910-0258.230 | 540
P=0982 | X=0445.610-0462.250 | Y=0248.910-0258.230 | 390
P=0982 | X=0505.390-0522.030 | Y=0248.910-0258.230 | 350
P=0982 | X=0111.890-0342.970 | Y=0258.550-0269.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0982 | X=0111.890-0353.000 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0982 | X=0111.890-0145.410 | Y=0287.620-0298.860 | ≤500m.
P=0982 | X=0111.890-0385.400 | Y=0305.380-0316.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0982 | X=0111.890-0387.110 | Y=0316.900-0328.140 | ra Đường Xuân Thành - Suối Cao - Xuân Bắc đoạn từ Ngã ba
P=0982 | X=0111.890-0382.490 | Y=0328.420-0339.660 | Ông Sáng Chùa đến Đường trung tâm xã Suối Cao đi cao su
P=0982 | X=0111.890-0318.750 | Y=0339.700-0350.940 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0982 | X=0092.180-0343.440 | Y=0356.460-0368.460 | 104 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0982 | X=0408.620-0425.260 | Y=0356.460-0365.780 | 470
P=0982 | X=0445.610-0462.250 | Y=0356.460-0365.780 | 330
P=0982 | X=0505.390-0522.030 | Y=0356.460-0365.780 | 290
P=0982 | X=0111.890-0365.200 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0982 | X=0111.890-0206.840 | Y=0386.280-0397.520 | >500m đến ≤1.000m.
P=0982 | X=0111.890-0335.060 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0982 | X=0111.890-0385.430 | Y=0421.560-0432.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0982 | X=0111.890-0387.110 | Y=0433.080-0444.320 | ra Đường Xuân Thành - Suối Cao - Xuân Bắc đoạn từ Ngã ba
P=0982 | X=0111.890-0382.490 | Y=0444.600-0455.840 | Ông Sáng Chùa đến Đường trung tâm xã Suối Cao đi cao su
P=0982 | X=0111.890-0318.740 | Y=0456.140-0467.380 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0982 | X=0092.180-0108.820 | Y=0464.020-0473.340 | 105
P=0982 | X=0408.620-0425.260 | Y=0464.020-0473.340 | 410
P=0982 | X=0445.610-0462.250 | Y=0464.020-0473.340 | 290
P=0982 | X=0505.390-0522.030 | Y=0464.020-0473.340 | 250
P=0982 | X=0111.890-0353.000 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0982 | X=0111.890-0154.030 | Y=0487.060-0496.380 | >1.000m.
P=0982 | X=0111.890-0335.530 | Y=0502.460-0513.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0982 | X=0230.980-0287.710 | Y=0522.100-0531.420 | Cách ngã ba
P=0982 | X=0306.360-0380.600 | Y=0522.100-0531.420 | Qua ngã ba giao
P=0982 | X=0230.980-0282.900 | Y=0531.740-0542.980 | giao đường
P=0982 | X=0306.360-0362.370 | Y=0531.740-0542.980 | đường Xuân
P=0982 | X=0230.980-0384.940 | Y=0545.170-0554.490 | Xuân Thành - Thành - Suối Cao
P=0982 | X=0111.890-0229.860 | Y=0549.050-0560.290 | Đường Xuân Thành - Suối
P=0982 | X=0092.180-0108.820 | Y=0556.690-0566.010 | 106
P=0982 | X=0230.980-0369.560 | Y=0556.690-0566.010 | Suối Cao - Xuân - Xuân Bắc và
P=0982 | X=0400.460-0425.510 | Y=0556.690-0566.010 | 1.700
P=0982 | X=0437.450-0462.500 | Y=0556.690-0566.010 | 1.200
P=0982 | X=0497.230-0522.280 | Y=0556.690-0566.010 | 1.000
P=0982 | X=0111.890-0182.470 | Y=0562.450-0571.770 | Cao - Xuân Bắc
P=0982 | X=0230.980-0362.370 | Y=0566.330-0577.570 | Bắc và đường đường Xuân
P=0982 | X=0230.980-0369.100 | Y=0577.850-0589.090 | Xuân Trường - Trường - Suối
P=0982 | X=0230.980-0355.320 | Y=0591.250-0600.570 | Suối Cao 250 m Cao 250 m
P=0982 | X=0111.890-0386.130 | Y=0607.130-0618.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0982 | X=0111.890-0360.900 | Y=0618.670-0629.910 | Thành - Suối Cao - Xuân Bắc đoạn từ Cách ngã ba giao
P=0982 | X=0111.890-0373.650 | Y=0630.190-0641.430 | đường Xuân Thành - Suối Cao - Xuân Bắc và đường Xuân
P=0982 | X=0111.890-0381.330 | Y=0641.710-0652.950 | Trường - Suối Cao 250 m đến Qua ngã ba giao đường Xuân
P=0982 | X=0092.180-0380.380 | Y=0653.230-0664.670 | 107 Thành - Suối Cao - Xuân Bắc và đường Xuân Trường - Suối
P=0982 | X=0408.620-0425.260 | Y=0655.350-0664.670 | 860
P=0982 | X=0445.610-0462.250 | Y=0655.350-0664.670 | 600
P=0982 | X=0505.390-0522.030 | Y=0655.350-0664.670 | 520
P=0982 | X=0111.890-0370.330 | Y=0664.510-0675.750 | Cao 250 m có hiện trạng là đường nhựa, bê tông xi măng:
P=0982 | X=0111.890-0342.970 | Y=0682.030-0693.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0982 | X=0111.890-0353.000 | Y=0699.550-0710.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0983 | X=0111.890-0145.410 | Y=0072.500-0083.740 | ≤500m.
P=0983 | X=0111.890-0386.130 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0983 | X=0111.890-0360.900 | Y=0101.780-0113.020 | Thành - Suối Cao - Xuân Bắc đoạn từ Cách ngã ba giao
P=0983 | X=0111.890-0373.650 | Y=0113.300-0124.540 | đường Xuân Thành - Suối Cao - Xuân Bắc và đường Xuân
P=0983 | X=0111.890-0381.330 | Y=0124.850-0136.090 | Trường - Suối Cao 250 m đến Qua ngã ba giao đường Xuân
P=0983 | X=0111.890-0380.380 | Y=0136.370-0147.610 | Thành - Suối Cao - Xuân Bắc và đường Xuân Trường - Suối
P=0983 | X=0092.180-0370.330 | Y=0147.650-0162.210 | 108 Cao 250 m có hiện trạng là đường nhựa, bê tông xi măng:
P=0983 | X=0408.620-0425.260 | Y=0152.890-0162.210 | 660
P=0983 | X=0445.610-0462.250 | Y=0152.890-0162.210 | 460
P=0983 | X=0505.390-0522.030 | Y=0152.890-0162.210 | 400
P=0983 | X=0111.890-0343.440 | Y=0165.170-0176.410 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0983 | X=0111.890-0365.200 | Y=0182.690-0193.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0983 | X=0111.890-0206.840 | Y=0194.210-0205.450 | >500m đến ≤1.000m.
P=0983 | X=0111.890-0335.060 | Y=0211.750-0222.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0983 | X=0111.890-0386.130 | Y=0229.510-0240.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0983 | X=0111.890-0360.900 | Y=0241.030-0252.270 | Thành - Suối Cao - Xuân Bắc đoạn từ Cách ngã ba giao
P=0983 | X=0111.890-0373.650 | Y=0252.550-0263.790 | đường Xuân Thành - Suối Cao - Xuân Bắc và đường Xuân
P=0983 | X=0111.890-0381.330 | Y=0264.070-0275.310 | Trường - Suối Cao 250 m đến Qua ngã ba giao đường Xuân
P=0983 | X=0111.890-0380.380 | Y=0275.590-0286.830 | Thành - Suối Cao - Xuân Bắc và đường Xuân Trường - Suối
P=0983 | X=0092.180-0108.820 | Y=0283.500-0292.820 | 109
P=0983 | X=0408.620-0425.260 | Y=0283.500-0292.820 | 530
P=0983 | X=0445.610-0462.250 | Y=0283.500-0292.820 | 370
P=0983 | X=0505.390-0522.030 | Y=0283.500-0292.820 | 320
P=0983 | X=0111.890-0370.330 | Y=0287.140-0298.380 | Cao 250 m có hiện trạng là đường nhựa, bê tông xi măng:
P=0983 | X=0111.890-0353.000 | Y=0304.660-0315.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0983 | X=0111.890-0154.030 | Y=0317.820-0327.140 | >1.000m.
P=0983 | X=0111.890-0335.530 | Y=0333.460-0344.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0983 | X=0111.890-0385.400 | Y=0351.220-0362.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0983 | X=0111.890-0378.230 | Y=0362.740-0373.980 | ra Đường Xuân Thành - Suối Cao - Xuân Bắc đoạn từ Cách
P=0983 | X=0111.890-0370.280 | Y=0374.280-0385.520 | ngã ba giao đường Xuân Thành - Suối Cao - Xuân Bắc và
P=0983 | X=0111.890-0381.550 | Y=0385.800-0397.040 | đường Xuân Trường - Suối Cao 250 m đến Qua ngã ba giao
P=0983 | X=0111.890-0373.650 | Y=0397.320-0408.560 | đường Xuân Thành - Suối Cao - Xuân Bắc và đường Xuân
