TABLE=026 | AREA=Xã Xuân Thành | SECTION=non-agricultural | SEGMENTS=1
P=0967 | X=0111.890-0353.000 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0967 | X=0111.890-0145.410 | Y=0520.220-0531.460 | ≤500m.
P=0967 | X=0111.890-0379.430 | Y=0538.010-0549.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0967 | X=0111.890-0384.460 | Y=0549.530-0560.770 | 766 đoạn từ Hết Nhà văn hóa ấp Tân Hữu đến Ranh giới tỉnh
P=0967 | X=0111.890-0367.450 | Y=0561.050-0572.290 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0967 | X=0095.060-0343.440 | Y=0578.570-0592.890 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0967 | X=0408.620-0425.260 | Y=0583.570-0592.890 | 840
P=0967 | X=0445.610-0462.250 | Y=0583.570-0592.890 | 590
P=0967 | X=0505.390-0522.030 | Y=0583.570-0592.890 | 500
P=0967 | X=0111.890-0365.200 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0967 | X=0111.890-0206.840 | Y=0607.610-0618.850 | >500m đến ≤1.000m.
P=0967 | X=0111.890-0335.060 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0967 | X=0111.890-0379.430 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0967 | X=0111.890-0384.460 | Y=0654.430-0665.670 | 766 đoạn từ Hết Nhà văn hóa ấp Tân Hữu đến Ranh giới tỉnh
P=0967 | X=0095.060-0367.450 | Y=0665.950-0680.030 | 18 Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0967 | X=0408.620-0425.260 | Y=0670.710-0680.030 | 630
P=0967 | X=0445.610-0462.250 | Y=0670.710-0680.030 | 440
P=0967 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 380
P=0967 | X=0111.890-0353.000 | Y=0683.470-0694.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0967 | X=0111.890-0154.030 | Y=0696.630-0705.950 | >1.000m.
P=0968 | X=0111.890-0335.530 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0968 | X=0111.890-0385.400 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0968 | X=0111.890-0384.470 | Y=0107.780-0119.020 | ra Đường tỉnh 766 đoạn từ Hết Nhà văn hóa ấp Tân Hữu đến
P=0968 | X=0111.890-0369.810 | Y=0119.330-0130.570 | Ranh giới tỉnh Lâm Đồng có hiện trạng là đường nhựa, bê
P=0968 | X=0111.890-0172.050 | Y=0130.850-0142.090 | tông xi măng:
P=0968 | X=0095.060-0106.180 | Y=0138.730-0148.050 | 19
P=0968 | X=0400.460-0425.510 | Y=0138.730-0148.050 | 1.300
P=0968 | X=0445.610-0462.250 | Y=0138.730-0148.050 | 910
P=0968 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 780
P=0968 | X=0111.890-0343.010 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0968 | X=0111.890-0353.000 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0968 | X=0111.890-0145.410 | Y=0177.170-0188.410 | ≤500m.
P=0968 | X=0111.890-0385.400 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0968 | X=0111.890-0384.470 | Y=0206.470-0217.710 | ra Đường tỉnh 766 đoạn từ Hết Nhà văn hóa ấp Tân Hữu đến
P=0968 | X=0111.890-0369.810 | Y=0217.990-0229.230 | Ranh giới tỉnh Lâm Đồng có hiện trạng là đường nhựa, bê
P=0968 | X=0111.890-0172.050 | Y=0229.510-0240.750 | tông xi măng:
P=0968 | X=0095.060-0343.440 | Y=0246.270-0258.270 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0968 | X=0408.620-0425.260 | Y=0246.270-0255.590 | 760
P=0968 | X=0445.610-0462.250 | Y=0246.270-0255.590 | 530
P=0968 | X=0505.390-0522.030 | Y=0246.270-0255.590 | 460
P=0968 | X=0111.890-0365.200 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0968 | X=0111.890-0206.840 | Y=0276.070-0287.310 | >500m đến ≤1.000m.
P=0968 | X=0111.890-0335.060 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0968 | X=0111.890-0385.430 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0968 | X=0111.890-0384.470 | Y=0322.900-0334.140 | ra Đường tỉnh 766 đoạn từ Hết Nhà văn hóa ấp Tân Hữu đến
P=0968 | X=0111.890-0369.810 | Y=0334.420-0345.660 | Ranh giới tỉnh Lâm Đồng có hiện trạng là đường nhựa, bê
P=0968 | X=0111.890-0172.050 | Y=0345.700-0356.940 | tông xi măng:
P=0968 | X=0095.060-0106.180 | Y=0353.580-0362.900 | 21
P=0968 | X=0408.620-0425.260 | Y=0353.580-0362.900 | 570
P=0968 | X=0445.610-0462.250 | Y=0353.580-0362.900 | 400
P=0968 | X=0505.390-0522.030 | Y=0353.580-0362.900 | 340
P=0968 | X=0111.890-0353.000 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0968 | X=0111.890-0154.030 | Y=0376.640-0385.960 | >1.000m.
P=0968 | X=0111.890-0335.530 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0968 | X=0306.360-0385.030 | Y=0410.040-0421.280 | Hết ranh thửa đất
P=0968 | X=0306.360-0382.520 | Y=0421.560-0432.800 | số 535, tờ BĐĐC
P=0968 | X=0095.060-0168.130 | Y=0433.080-0444.320 | 22 Đường lô 13
P=0968 | X=0230.980-0385.410 | Y=0433.080-0444.320 | Đường tỉnh 766 số 37 về bên phải
P=0968 | X=0400.460-0425.510 | Y=0434.960-0444.280 | 1.200
P=0968 | X=0445.610-0462.250 | Y=0434.960-0444.280 | 840
P=0968 | X=0505.390-0522.030 | Y=0434.960-0444.280 | 720
P=0968 | X=0306.360-0380.150 | Y=0446.480-0455.800 | và hết ranh thửa
P=0968 | X=0306.360-0333.560 | Y=0456.140-0467.380 | đất số
P=0968 | X=0111.890-0384.910 | Y=0473.900-0485.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường lô 13
P=0968 | X=0111.890-0367.480 | Y=0485.420-0496.660 | đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ
P=0968 | X=0111.890-0362.680 | Y=0496.940-0508.180 | BĐĐC số 37 về bên phải và hết ranh thửa đất số 567, tờ
P=0968 | X=0111.890-0361.640 | Y=0508.220-0519.460 | BĐĐC số 37 về bên trái, xã Xuân Thành có hiện trạng là
P=0968 | X=0095.060-0247.660 | Y=0519.740-0531.180 | 23 đường nhựa, bê tông xi măng:
P=0968 | X=0408.620-0425.260 | Y=0521.860-0531.180 | 590
P=0968 | X=0445.610-0462.250 | Y=0521.860-0531.180 | 410
