TABLE=093 | AREA=Xã Phú Trung | SECTION=non-agricultural | SEGMENTS=1
P=2139 | X=0366.860-0383.500 | Y=0302.700-0312.020 | 380
P=2139 | X=0415.820-0432.460 | Y=0302.700-0312.020 | 270
P=2139 | X=0505.390-0522.030 | Y=0302.700-0312.020 | 230
P=2139 | X=0186.070-0259.150 | Y=0312.340-0323.580 | số 27, tờ bản đồ
P=2139 | X=0186.070-0219.190 | Y=0325.740-0335.060 | số 102)
P=2139 | X=0266.740-0347.490 | Y=0341.860-0353.100 | Đường thôn Đồng
P=2139 | X=0090.500-0174.610 | Y=0347.620-0358.860 | 11 Đường Thác Ba
P=2139 | X=0186.070-0258.150 | Y=0349.500-0358.820 | Từ cầu Thác Ba
P=2139 | X=0366.860-0383.500 | Y=0349.500-0358.820 | 380
P=2139 | X=0415.820-0432.460 | Y=0349.500-0358.820 | 270
P=2139 | X=0505.390-0522.030 | Y=0349.500-0358.820 | 230
P=2139 | X=0266.740-0355.820 | Y=0353.380-0364.620 | Tâm đi Nghĩa Trung
P=2139 | X=0102.770-0183.520 | Y=0371.400-0382.640 | Đường thôn Đồng
P=2139 | X=0266.740-0345.300 | Y=0377.160-0388.400 | Đến Giáp ranh xã
P=2139 | X=0090.500-0163.050 | Y=0382.920-0394.160 | 12 Tâm di Nghĩa
P=2139 | X=0186.070-0259.150 | Y=0384.800-0394.120 | Giáp thôn Bù Tổ
P=2139 | X=0366.860-0383.500 | Y=0384.800-0394.120 | 380
P=2139 | X=0415.820-0432.460 | Y=0384.800-0394.120 | 270
P=2139 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 230
P=2139 | X=0266.740-0322.490 | Y=0388.680-0399.920 | Nghĩa Trung
P=2139 | X=0102.770-0129.010 | Y=0396.080-0405.400 | Trung
P=2139 | X=0266.740-0332.580 | Y=0412.200-0423.440 | Đường xã Phú
P=2139 | X=0090.500-0172.920 | Y=0423.720-0434.960 | 13 Đường Bến Tre
P=2139 | X=0186.070-0253.350 | Y=0423.720-0434.960 | Đường ĐT 759
P=2139 | X=0266.740-0345.720 | Y=0423.720-0434.960 | Trung - xã Phước
P=2139 | X=0366.860-0383.500 | Y=0425.600-0434.920 | 380
P=2139 | X=0415.820-0432.460 | Y=0425.600-0434.920 | 270
P=2139 | X=0505.390-0522.030 | Y=0425.600-0434.920 | 230
P=2139 | X=0266.740-0304.170 | Y=0435.240-0446.480 | Tân (cũ)
P=2139 | X=0266.740-0342.700 | Y=0453.260-0464.500 | Đường ĐT 759 +
P=2139 | X=0102.770-0176.950 | Y=0459.020-0470.260 | Đường Bù Nho -
P=2139 | X=0186.070-0253.350 | Y=0464.780-0476.020 | Đường ĐT 759
P=2139 | X=0090.500-0101.620 | Y=0466.660-0475.980 | 14
P=2139 | X=0266.740-0339.310 | Y=0466.660-0475.980 | 200m về xã Phú
P=2139 | X=0366.860-0383.500 | Y=0466.660-0475.980 | 770
P=2139 | X=0415.820-0432.460 | Y=0466.660-0475.980 | 540
