TABLE=073 | AREA=Xã Lộc Thạnh | SECTION=non-agricultural | SEGMENTS=1
P=2050 | X=0505.390-0522.030 | Y=0203.310-0212.630 | 340
P=2050 | X=0102.770-0146.200 | Y=0207.190-0218.430 | ĐT 754C)
P=2050 | X=0210.310-0225.500 | Y=0209.070-0218.390 | Riu
P=2050 | X=0271.540-0325.640 | Y=0225.190-0236.430 | Giáp đường
P=2050 | X=0102.770-0209.030 | Y=0230.950-0242.190 | Đường 13B (Đường ĐT
P=2050 | X=0090.500-0101.620 | Y=0238.590-0247.910 | 12
P=2050 | X=0210.310-0258.160 | Y=0238.590-0247.910 | Cầu suối 2
P=2050 | X=0271.540-0327.280 | Y=0238.590-0247.910 | tuần tra biên
P=2050 | X=0344.280-0360.920 | Y=0238.590-0247.910 | 490
P=2050 | X=0399.980-0416.620 | Y=0238.590-0247.910 | 340
P=2050 | X=0505.390-0522.030 | Y=0238.590-0247.910 | 290
P=2050 | X=0102.770-0129.880 | Y=0244.350-0253.670 | 754C)
P=2050 | X=0271.540-0288.180 | Y=0250.110-0259.430 | giới
P=2050 | X=0102.770-0318.680 | Y=0266.230-0277.470 | Các đường giao thông theo quy hoạch xây dựng
P=2050 | X=0090.500-0306.600 | Y=0277.750-0288.990 | 13 vùng lõi khu kinh tế cửa khẩu Hoa Lư (trừ các
P=2050 | X=0344.280-0360.920 | Y=0279.630-0288.950 | 830
P=2050 | X=0399.980-0416.620 | Y=0279.630-0288.950 | 580
P=2050 | X=0505.390-0522.030 | Y=0279.630-0288.950 | 500
P=2050 | X=0102.770-0260.260 | Y=0289.300-0300.540 | đường nằm trong đoạn Quốc lộ 13)
P=2050 | X=0102.770-0325.080 | Y=0307.300-0318.540 | Các đường vành đai, đường ngang và đường dọc
P=2050 | X=0090.500-0327.000 | Y=0318.820-0330.060 | 14 trong khu quy hoạch Khu kinh tế cửa khẩu Hoa Lư
P=2050 | X=0344.280-0360.920 | Y=0320.700-0330.020 | 830
P=2050 | X=0399.980-0416.620 | Y=0320.700-0330.020 | 580
P=2050 | X=0505.390-0522.030 | Y=0320.700-0330.020 | 500
P=2050 | X=0102.770-0297.460 | Y=0330.340-0341.580 | (trừ các đường nằm trong đoạn Quốc lộ 13)
P=2050 | X=0102.770-0327.560 | Y=0348.340-0359.580 | Các tuyến đường giao thông nông thôn có bề rộng
P=2050 | X=0090.500-0101.620 | Y=0355.980-0365.300 | 15
P=2050 | X=0344.280-0360.920 | Y=0355.980-0365.300 | 360
P=2050 | X=0399.980-0416.620 | Y=0355.980-0365.300 | 250
P=2050 | X=0505.390-0522.030 | Y=0355.980-0365.300 | 220
P=2050 | X=0102.770-0300.660 | Y=0359.860-0371.100 | đường theo bản đồ địa chính từ 3,5m trở lên
P=2050 | X=0090.500-0212.310 | Y=0377.880-0389.120 | 16 Các tuyến đường còn lại
P=2050 | X=0344.280-0360.920 | Y=0379.760-0389.080 | 270
P=2050 | X=0399.980-0416.620 | Y=0379.760-0389.080 | 190
P=2050 | X=0505.390-0522.030 | Y=0379.760-0389.080 | 160
