TABLE=085 | AREA=Xã Thiện Hưng | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=2100-2109 | LINES=1188 | HEADING=85. Xã Thiện Hưng ---
P=2100 | X=0090.020-0178.010 | Y=0369.000-0380.240 | 85. Xã Thiện Hưng
P=2100 | X=0259.060-0319.720 | Y=0387.000-0398.240 | Đoạn đường
P=2100 | X=0452.330-0517.360 | Y=0387.000-0398.240 | Giá đất cơ sở
P=2100 | X=0406.460-0513.940 | Y=0398.520-0409.760 | Giá đất sản xuất phi
P=2100 | X=0118.130-0194.820 | Y=0410.040-0421.280 | Tên đường giao
P=2100 | X=0377.900-0521.790 | Y=0410.040-0421.280 | Giá thương nông nghiệp và
P=2100 | X=0092.180-0104.580 | Y=0417.680-0427.000 | TT
P=2100 | X=0373.580-0513.940 | Y=0421.560-0432.800 | đất ở mại, dịch đất sử dụng
P=2100 | X=0142.610-0170.580 | Y=0423.440-0432.760 | thông
P=2100 | X=0221.590-0266.900 | Y=0424.920-0436.160 | Điểm đầu
P=2100 | X=0303.240-0351.160 | Y=0424.920-0436.160 | Điểm cuối
P=2100 | X=0450.170-0519.230 | Y=0433.080-0444.320 | cho hoạt động
P=2100 | X=0417.740-0429.450 | Y=0434.960-0444.280 | vụ
P=2100 | X=0457.130-0512.750 | Y=0446.480-0455.800 | khoáng sản
P=2100 | X=0282.340-0361.540 | Y=0462.860-0474.100 | Ngã tư vòng xoay
P=2100 | X=0206.470-0274.960 | Y=0470.500-0479.820 | Ranh xã Thanh
P=2100 | X=0095.570-0197.440 | Y=0474.380-0485.620 | 1 Đường Nguyễn Huệ
P=2100 | X=0282.340-0399.830 | Y=0474.380-0485.620 | (Thửa đất số 51, tờ 6.700
P=2100 | X=0422.090-0447.140 | Y=0476.260-0485.580 | 4.700
P=2100 | X=0497.230-0522.280 | Y=0476.260-0485.580 | 4.000
P=2100 | X=0206.470-0244.870 | Y=0480.140-0491.380 | Hòa (cũ)
P=2100 | X=0282.340-0343.320 | Y=0485.900-0497.140 | bản đồ số 74)
P=2100 | X=0282.340-0358.280 | Y=0503.900-0515.140 | Cây xăng thị trấn
P=2100 | X=0206.470-0261.740 | Y=0509.660-0520.900 | Ngã tư vòng
P=2100 | X=0282.340-0356.890 | Y=0515.420-0526.660 | Thanh Bình (cũ),
P=2100 | X=0206.470-0274.590 | Y=0521.180-0532.420 | xoay (Thửa đất
P=2100 | X=0095.570-0197.440 | Y=0526.940-0538.180 | 2 Đường Nguyễn Huệ
P=2100 | X=0282.340-0359.350 | Y=0526.940-0538.180 | hết ranh thửa đất
P=2100 | X=0374.780-0399.820 | Y=0528.820-0538.140 | 7,200
P=2100 | X=0422.090-0447.140 | Y=0528.820-0538.140 | 5.000
P=2100 | X=0497.230-0522.280 | Y=0528.820-0538.140 | 4,300
P=2100 | X=0206.470-0279.550 | Y=0532.490-0543.730 | số 51, tờ bản đồ
P=2100 | X=0282.340-0368.620 | Y=0538.250-0549.490 | số 73, tờ bản đồ số
P=2100 | X=0206.470-0234.070 | Y=0545.890-0555.210 | số 74)
P=2100 | X=0282.340-0293.460 | Y=0551.650-0560.970 | 09
P=2100 | X=0206.470-0262.260 | Y=0567.770-0579.010 | Cây xăng thị
P=2100 | X=0206.470-0361.030 | Y=0579.290-0590.530 | trấn Thanh Bình Hết ranh thửa đất
P=2100 | X=0095.570-0266.100 | Y=0590.810-0602.050 | 3 Đường Nguyễn Huệ (cũ), hết ranh
P=2100 | X=0282.340-0399.830 | Y=0590.810-0602.050 | số 33, tờ bản đồ số 8.200
P=2100 | X=0422.090-0447.140 | Y=0592.690-0602.010 | 5.700
P=2100 | X=0497.230-0522.280 | Y=0592.690-0602.010 | 4.900
P=2100 | X=0206.470-0293.460 | Y=0602.330-0613.570 | thửa đất số 73, 44
P=2100 | X=0206.470-0276.420 | Y=0613.850-0625.090 | tờ bản đồ số 09
P=2100 | X=0206.470-0268.510 | Y=0633.750-0643.070 | Hết ranh thửa
P=2100 | X=0282.340-0371.960 | Y=0637.630-0648.870 | Đường Nguyễn Văn
P=2100 | X=0095.570-0262.550 | Y=0643.390-0654.630 | 4 Đường Nguyễn Huệ đất số 33, tờ
P=2100 | X=0374.780-0399.820 | Y=0645.270-0654.590 | 6.700
P=2100 | X=0422.090-0447.140 | Y=0645.270-0654.590 | 4.700
P=2100 | X=0497.230-0522.280 | Y=0645.270-0654.590 | 4.000
P=2100 | X=0282.340-0299.720 | Y=0651.030-0660.350 | Trỗi
P=2100 | X=0206.470-0264.180 | Y=0654.910-0666.150 | bản đồ số 44
P=2100 | X=0206.470-0347.730 | Y=0672.910-0684.150 | Đường Nguyễn Ranh xã Thiện
P=2100 | X=0095.570-0197.440 | Y=0678.670-0689.910 | 5 Đường Nguyễn Huệ
P=2100 | X=0374.780-0399.830 | Y=0680.550-0689.870 | 5.600
P=2100 | X=0422.090-0447.140 | Y=0680.550-0689.870 | 3.900
P=2100 | X=0497.230-0522.280 | Y=0680.550-0689.870 | 3.400
P=2100 | X=0206.470-0244.250 | Y=0684.430-0695.670 | Văn Trỗi
P=2100 | X=0282.340-0320.810 | Y=0684.430-0695.670 | Hưng cũ
P=2100 | X=0095.570-0179.670 | Y=0702.450-0713.690 | 6 Đường Lê Duẩn
P=2100 | X=0282.340-0338.120 | Y=0702.450-0713.690 | Giáp Đường
P=2100 | X=0206.470-0265.360 | Y=0704.340-0713.660 | Ngã ba Công
P=2100 | X=0374.780-0399.830 | Y=0704.340-0713.660 | 8.200
P=2100 | X=0422.090-0447.140 | Y=0704.340-0713.660 | 5.700
P=2100 | X=0497.230-0522.280 | Y=0704.340-0713.660 | 4.900
P=2101 | X=0206.470-0233.690 | Y=0074.620-0083.940 | chánh
P=2101 | X=0282.340-0367.020 | Y=0074.620-0083.940 | Nguyễn Trãi và hết
P=2101 | X=0282.340-0361.950 | Y=0084.260-0095.500 | thửa đất số 18, tờ
P=2101 | X=0282.340-0340.040 | Y=0095.780-0107.020 | bản đồ số 51
P=2101 | X=0206.470-0262.260 | Y=0113.780-0125.020 | Giáp Đường
P=2101 | X=0282.340-0336.440 | Y=0113.780-0125.020 | Giáp đường
P=2101 | X=0206.470-0349.640 | Y=0125.330-0136.570 | Nguyễn Trãi và Nguyễn Lương
P=2101 | X=0095.570-0179.670 | Y=0136.850-0148.090 | 7 Đường Lê Duẩn
P=2101 | X=0206.470-0359.480 | Y=0136.850-0148.090 | hết thửa đất số Bằng và hết thửa
P=2101 | X=0374.780-0399.830 | Y=0138.730-0148.050 | 6.700
P=2101 | X=0422.090-0447.140 | Y=0138.730-0148.050 | 4.700
P=2101 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 4.000
P=2101 | X=0206.470-0371.990 | Y=0148.370-0159.610 | 18, tờ bản đồ số đất số 34, tờ bản đồ
P=2101 | X=0206.470-0217.590 | Y=0161.530-0170.850 | 51
P=2101 | X=0282.340-0306.680 | Y=0161.530-0170.850 | số 46
P=2101 | X=0206.470-0260.580 | Y=0177.650-0188.890 | Giáp đường
P=2101 | X=0282.340-0352.040 | Y=0185.290-0194.610 | Ngã ba Sở Nhỏ
P=2101 | X=0206.470-0273.780 | Y=0189.170-0200.410 | Nguyễn Lương
P=2101 | X=0282.340-0371.820 | Y=0194.930-0206.170 | (Đường D11) và hết
P=2101 | X=0095.570-0179.670 | Y=0200.710-0211.950 | 8 Đường Lê Duẩn
P=2101 | X=0206.470-0259.950 | Y=0202.590-0211.910 | Bằng và hết
P=2101 | X=0374.780-0399.830 | Y=0202.590-0211.910 | 5.300
P=2101 | X=0422.090-0447.140 | Y=0202.590-0211.910 | 3.700
P=2101 | X=0497.230-0522.280 | Y=0202.590-0211.910 | 3.200
P=2101 | X=0282.340-0367.470 | Y=0206.470-0217.710 | thửa đất số 496, tờ
P=2101 | X=0206.470-0273.870 | Y=0212.230-0223.470 | thửa đất số 34,
P=2101 | X=0282.340-0340.040 | Y=0217.990-0229.230 | bản đồ số 10
P=2101 | X=0206.470-0276.420 | Y=0223.750-0234.990 | tờ bản đồ số 46
P=2101 | X=0206.470-0276.180 | Y=0243.630-0252.950 | Ngã ba Sở Nhỏ
P=2101 | X=0206.470-0351.320 | Y=0253.270-0264.510 | (Đường D11) và Hết thửa đất số
P=2101 | X=0095.570-0179.670 | Y=0264.790-0276.030 | 9 Đường Lê Duẩn
P=2101 | X=0206.470-0360.700 | Y=0264.790-0276.030 | hết thửa đất số 633, tờ bản đồ số
P=2101 | X=0374.780-0399.830 | Y=0266.670-0275.990 | 4.600
P=2101 | X=0422.090-0447.140 | Y=0266.670-0275.990 | 3.200
P=2101 | X=0497.230-0522.280 | Y=0266.670-0275.990 | 2.800
P=2101 | X=0206.470-0293.460 | Y=0276.310-0287.550 | 496, tờ bản đồ 10
P=2101 | X=0206.470-0230.790 | Y=0289.740-0299.060 | số 10
P=2101 | X=0206.470-0275.460 | Y=0305.860-0317.100 | Hết thửa đất số
P=2101 | X=0282.340-0367.640 | Y=0313.500-0322.820 | Giáp suối (hết ranh
P=2101 | X=0092.900-0179.670 | Y=0317.380-0328.620 | 10 Đường Lê Duẩn
P=2101 | X=0206.470-0271.630 | Y=0317.380-0328.620 | 633, tờ bản đồ
P=2101 | X=0374.780-0399.830 | Y=0319.260-0328.580 | 2.400
P=2101 | X=0422.090-0447.140 | Y=0319.260-0328.580 | 1.700
P=2101 | X=0497.230-0522.280 | Y=0319.260-0328.580 | 1.400
P=2101 | X=0282.340-0372.130 | Y=0323.140-0334.380 | đất ông Trần Bù Tỏ)
P=2101 | X=0206.470-0230.790 | Y=0330.780-0340.100 | số 10
P=2101 | X=0282.340-0361.030 | Y=0346.900-0358.140 | Hết ranh thửa đất
P=2101 | X=0206.470-0268.820 | Y=0354.540-0363.860 | Giáp suối (hết
P=2101 | X=0282.340-0360.300 | Y=0358.180-0369.420 | số 94 và thửa đất
P=2101 | X=0092.900-0179.670 | Y=0363.940-0375.180 | 11 Đường Lê Duẩn
P=2101 | X=0206.470-0262.740 | Y=0363.940-0375.180 | ranh đất ông
P=2101 | X=0374.780-0399.830 | Y=0365.820-0375.140 | 1.900
P=2101 | X=0422.090-0447.140 | Y=0365.820-0375.140 | 1.300
P=2101 | X=0497.230-0522.280 | Y=0365.820-0375.140 | 1.200
P=2101 | X=0282.340-0368.620 | Y=0369.720-0380.960 | số 91, tờ bản đồ số
P=2101 | X=0206.470-0260.010 | Y=0377.360-0386.680 | Trần Bù Tỏ)
P=2101 | X=0282.340-0296.740 | Y=0383.120-0392.440 | 20)
P=2101 | X=0206.470-0268.510 | Y=0401.120-0410.440 | Hết ranh thửa
P=2101 | X=0206.470-0261.310 | Y=0410.760-0422.000 | đất số 94 và
P=2101 | X=0092.900-0179.670 | Y=0416.520-0427.760 | 12 Đường Lê Duẩn
P=2101 | X=0282.340-0360.220 | Y=0418.400-0427.720 | Cầu sông Bé mới
P=2101 | X=0374.780-0399.830 | Y=0418.400-0427.720 | 1.400
P=2101 | X=0430.250-0446.890 | Y=0418.400-0427.720 | 950
P=2101 | X=0505.390-0522.030 | Y=0418.400-0427.720 | 820
P=2101 | X=0206.470-0273.870 | Y=0422.280-0433.520 | thửa đất số 91,
P=2101 | X=0206.470-0279.700 | Y=0433.800-0445.040 | tờ bản đồ số 20)
P=2101 | X=0282.340-0348.680 | Y=0451.820-0463.060 | Giao lộ Đường
P=2101 | X=0092.900-0253.990 | Y=0457.580-0468.820 | 13 Đường Hùng Vương Vòng xoay
P=2101 | X=0374.780-0399.830 | Y=0459.460-0468.780 | 5.000
P=2101 | X=0422.090-0447.140 | Y=0459.460-0468.780 | 3.500
P=2101 | X=0497.230-0522.280 | Y=0459.460-0468.780 | 3.000
P=2101 | X=0282.340-0365.500 | Y=0465.220-0474.540 | Phạm Ngọc Thạch
P=2101 | X=0206.470-0272.820 | Y=0481.340-0492.580 | Giao lộ Đường
P=2101 | X=0092.900-0258.820 | Y=0492.860-0504.100 | 14 Đường Hùng Vương Phạm Ngọc
P=2101 | X=0282.340-0325.410 | Y=0494.740-0504.060 | Hết tuyến
P=2101 | X=0374.780-0399.830 | Y=0494.740-0504.060 | 4.500
P=2101 | X=0422.090-0447.140 | Y=0494.740-0504.060 | 3.100
P=2101 | X=0497.230-0522.280 | Y=0494.740-0504.060 | 2.700
P=2101 | X=0206.470-0234.390 | Y=0506.260-0515.580 | Thạch
P=2101 | X=0107.330-0179.670 | Y=0522.380-0533.620 | Đường Lê Hồng
P=2101 | X=0092.900-0104.020 | Y=0530.020-0539.340 | 15
P=2101 | X=0206.470-0256.740 | Y=0530.020-0539.340 | Toàn tuyến
P=2101 | X=0374.780-0399.830 | Y=0530.020-0539.340 | 3.600
P=2101 | X=0422.090-0447.140 | Y=0530.020-0539.340 | 2.500
P=2101 | X=0497.230-0522.280 | Y=0530.020-0539.340 | 2.200
P=2101 | X=0107.330-0136.220 | Y=0535.810-0545.130 | Phong
P=2101 | X=0107.330-0203.110 | Y=0551.930-0563.170 | Đường trong khu vực
P=2101 | X=0092.900-0104.020 | Y=0559.570-0568.890 | 16
P=2101 | X=0206.470-0256.740 | Y=0559.570-0568.890 | Toàn tuyến
P=2101 | X=0374.780-0399.830 | Y=0559.570-0568.890 | 5.800
P=2101 | X=0422.090-0447.140 | Y=0559.570-0568.890 | 4.000
P=2101 | X=0497.230-0522.280 | Y=0559.570-0568.890 | 3.500
P=2101 | X=0107.330-0144.770 | Y=0563.450-0574.690 | chợ (cũ)
P=2101 | X=0092.900-0196.220 | Y=0581.450-0592.690 | 17 Đường Nguyễn Trãi
P=2101 | X=0206.470-0256.740 | Y=0583.330-0592.650 | Toàn tuyến
P=2101 | X=0374.780-0399.830 | Y=0583.330-0592.650 | 3.100
P=2101 | X=0422.090-0447.140 | Y=0583.330-0592.650 | 2.200
P=2101 | X=0497.230-0522.280 | Y=0583.330-0592.650 | 1.900
P=2101 | X=0092.900-0187.990 | Y=0599.450-0610.690 | 18 Đường Lê Văn Sỹ
P=2101 | X=0206.470-0256.740 | Y=0601.330-0610.650 | Toàn tuyến
P=2101 | X=0374.780-0399.830 | Y=0601.330-0610.650 | 3.100
P=2101 | X=0422.090-0447.140 | Y=0601.330-0610.650 | 2.200
P=2101 | X=0497.230-0522.280 | Y=0601.330-0610.650 | 1.900
P=2101 | X=0092.900-0256.740 | Y=0617.470-0628.710 | 19 Đường Trần Huy Liệu Toàn tuyến
P=2101 | X=0374.780-0399.830 | Y=0619.350-0628.670 | 3.100
P=2101 | X=0422.090-0447.140 | Y=0619.350-0628.670 | 2.200
P=2101 | X=0497.230-0522.280 | Y=0619.350-0628.670 | 1.900
P=2101 | X=0107.330-0176.310 | Y=0635.470-0646.710 | Đường Nguyễn
P=2101 | X=0092.900-0104.020 | Y=0643.110-0652.430 | 20
P=2101 | X=0206.470-0256.740 | Y=0643.110-0652.430 | Toàn tuyến
P=2101 | X=0374.780-0399.830 | Y=0643.110-0652.430 | 3.400
P=2101 | X=0422.090-0447.140 | Y=0643.110-0652.430 | 2.400
P=2101 | X=0497.230-0522.280 | Y=0643.110-0652.430 | 2.000
P=2101 | X=0107.330-0163.570 | Y=0646.750-0657.990 | Lương Bằng
P=2101 | X=0282.340-0363.100 | Y=0664.750-0675.990 | Bệnh viện Bù Đốp
P=2101 | X=0107.330-0194.230 | Y=0670.510-0681.750 | Đường Phạm Ngọc
P=2101 | X=0206.470-0278.820 | Y=0670.510-0681.750 | Đường Lê Duẩn
P=2101 | X=0282.340-0399.830 | Y=0676.270-0687.510 | (Cầu số 1 (ông Điểu 4.400
P=2101 | X=0092.900-0104.020 | Y=0678.150-0687.470 | 21
P=2101 | X=0422.090-0447.140 | Y=0678.150-0687.470 | 3.100
P=2101 | X=0497.230-0522.280 | Y=0678.150-0687.470 | 2.600
P=2101 | X=0206.470-0280.420 | Y=0682.030-0693.270 | (Đường ĐT 759)
P=2101 | X=0107.330-0135.250 | Y=0683.910-0693.230 | Thạch
P=2101 | X=0282.340-0316.400 | Y=0687.790-0699.030 | Tài) cũ)
P=2101 | X=0092.900-0194.230 | Y=0705.810-0717.050 | 22 Đường Phạm Ngọc
P=2101 | X=0206.470-0266.350 | Y=0707.700-0717.020 | Bệnh viện Bù
P=2101 | X=0282.340-0399.830 | Y=0707.700-0717.020 | Giáp ranh xã Thanh 2.400
P=2101 | X=0422.090-0447.140 | Y=0707.700-0717.020 | 1.700
P=2101 | X=0497.230-0522.280 | Y=0707.700-0717.020 | 1.400
P=2102 | X=0206.470-0270.900 | Y=0072.740-0083.980 | Đốp (Cầu số 1
P=2102 | X=0282.340-0320.760 | Y=0072.740-0083.980 | Hòa (cũ)
P=2102 | X=0107.330-0135.250 | Y=0074.620-0083.940 | Thạch
P=2102 | X=0206.470-0270.080 | Y=0084.260-0095.500 | (ông Điểu Tài)
P=2102 | X=0206.470-0220.390 | Y=0095.780-0107.020 | cũ)
P=2102 | X=0107.330-0366.930 | Y=0113.780-0125.020 | Đường Nguyễn Văn Đường Nguyễn Đường Hoàng Văn
P=2102 | X=0092.900-0104.020 | Y=0121.450-0130.770 | 23
P=2102 | X=0374.780-0399.830 | Y=0121.450-0130.770 | 6.200
P=2102 | X=0422.090-0447.140 | Y=0121.450-0130.770 | 4.400
P=2102 | X=0497.230-0522.280 | Y=0121.450-0130.770 | 3,700
P=2102 | X=0107.330-0124.690 | Y=0127.210-0136.530 | Trỗi
P=2102 | X=0206.470-0224.790 | Y=0127.210-0136.530 | Huệ
P=2102 | X=0282.340-0321.960 | Y=0127.210-0136.530 | Thụ (D1)
P=2102 | X=0107.330-0193.570 | Y=0143.330-0154.570 | Đường trong Trung
P=2102 | X=0092.900-0104.020 | Y=0150.970-0160.290 | 24
P=2102 | X=0206.470-0256.740 | Y=0150.970-0160.290 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0150.970-0160.290 | 3.200
P=2102 | X=0422.090-0447.140 | Y=0150.970-0160.290 | 2.200
P=2102 | X=0497.230-0522.280 | Y=0150.970-0160.290 | 1.900
P=2102 | X=0107.330-0178.470 | Y=0154.850-0166.090 | tâm thương mại
P=2102 | X=0107.330-0200.310 | Y=0172.850-0184.090 | Đường Nguyễn Đình
P=2102 | X=0092.900-0104.020 | Y=0180.490-0189.810 | 25
P=2102 | X=0206.470-0256.740 | Y=0180.490-0189.810 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0180.490-0189.810 | 3.200
P=2102 | X=0422.090-0447.140 | Y=0180.490-0189.810 | 2.200
P=2102 | X=0497.230-0522.280 | Y=0180.490-0189.810 | 1.900
P=2102 | X=0107.330-0133.570 | Y=0186.250-0195.570 | Chiểu
P=2102 | X=0206.470-0275.460 | Y=0202.390-0213.630 | Đường Nguyễn
P=2102 | X=0092.900-0155.890 | Y=0207.910-0219.150 | 26 Đường 7/4
P=2102 | X=0282.340-0399.830 | Y=0207.910-0219.150 | Đường Chu Văn An 3.200
P=2102 | X=0422.090-0447.140 | Y=0209.790-0219.110 | 2.200
P=2102 | X=0497.230-0522.270 | Y=0209.790-0219.110 | 1.900
P=2102 | X=0206.470-0262.740 | Y=0213.670-0224.910 | Lương Bằng
P=2102 | X=0107.330-0191.900 | Y=0231.670-0242.910 | Đường Phan Đăng
P=2102 | X=0092.900-0104.020 | Y=0239.310-0248.630 | 27
P=2102 | X=0206.470-0256.740 | Y=0239.310-0248.630 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0239.310-0248.630 | 3.200
P=2102 | X=0422.090-0447.140 | Y=0239.310-0248.630 | 2.200
P=2102 | X=0497.230-0522.280 | Y=0239.310-0248.630 | 1.900
P=2102 | X=0107.330-0125.200 | Y=0243.190-0254.430 | Lưu
P=2102 | X=0092.900-0256.740 | Y=0261.190-0272.430 | 28 Đường Lý Tự Trọng Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0263.070-0272.390 | 3.200
P=2102 | X=0422.090-0447.140 | Y=0263.070-0272.390 | 2.200
P=2102 | X=0497.230-0522.280 | Y=0263.070-0272.390 | 1.900
P=2102 | X=0092.900-0195.970 | Y=0279.190-0290.430 | 29 Đường Chu Văn An
P=2102 | X=0206.470-0256.740 | Y=0281.070-0290.390 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0281.070-0290.390 | 4.000
P=2102 | X=0422.090-0447.140 | Y=0281.070-0290.390 | 2.800
P=2102 | X=0497.230-0522.280 | Y=0281.070-0290.390 | 2.400
P=2102 | X=0107.330-0191.900 | Y=0297.220-0308.460 | Đường Hoàng Văn
P=2102 | X=0282.340-0339.800 | Y=0302.980-0314.220 | Đường tránh
P=2102 | X=0092.900-0104.020 | Y=0304.860-0314.180 | 30
P=2102 | X=0206.470-0253.990 | Y=0304.860-0314.180 | Vòng xoay
P=2102 | X=0374.780-0399.830 | Y=0304.860-0314.180 | 5.000
P=2102 | X=0422.090-0447.140 | Y=0304.860-0314.180 | 3.500
P=2102 | X=0497.230-0522.280 | Y=0304.860-0314.180 | 3.000
P=2102 | X=0107.330-0124.690 | Y=0310.620-0319.940 | Thụ
P=2102 | X=0107.330-0191.900 | Y=0326.740-0337.980 | Đường Hoàng Văn
P=2102 | X=0282.340-0371.960 | Y=0326.740-0337.980 | Đường Nguyễn Văn
P=2102 | X=0206.470-0263.940 | Y=0332.500-0343.740 | Đường tránh
P=2102 | X=0094.100-0102.180 | Y=0334.380-0343.700 | 3!
P=2102 | X=0374.780-0399.830 | Y=0334.380-0343.700 | 4.200
P=2102 | X=0422.090-0447.140 | Y=0334.380-0343.700 | 3.000
P=2102 | X=0497.230-0522.280 | Y=0334.380-0343.700 | 2.500
P=2102 | X=0107.330-0124.690 | Y=0340.140-0349.460 | Thụ
P=2102 | X=0282.340-0299.720 | Y=0340.140-0349.460 | Trỗi
P=2102 | X=0107.330-0191.900 | Y=0356.260-0367.500 | Đường Hoàng Văn
P=2102 | X=0206.470-0275.460 | Y=0356.260-0367.500 | Đường Nguyễn
P=2102 | X=0282.340-0356.280 | Y=0362.020-0373.260 | Đường ĐT 759B
P=2102 | X=0092.900-0104.020 | Y=0363.900-0373.220 | 32
P=2102 | X=0374.780-0399.830 | Y=0363.900-0373.220 | 3.100
P=2102 | X=0422.090-0447.140 | Y=0363.900-0373.220 | 2.200
P=2102 | X=0497.230-0522.280 | Y=0363.900-0373.220 | 1.900
P=2102 | X=0206.470-0244.250 | Y=0367.800-0379.040 | Văn Trỗi
P=2102 | X=0107.330-0163.710 | Y=0369.680-0379.000 | Thụ (nối dài)
P=2102 | X=0107.330-0177.030 | Y=0385.800-0397.040 | Đường Tô Hiến
P=2102 | X=0092.900-0104.020 | Y=0393.440-0402.760 | 33
P=2102 | X=0206.470-0256.740 | Y=0393.440-0402.760 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0393.440-0402.760 | 3.800
P=2102 | X=0422.090-0447.140 | Y=0393.440-0402.760 | 2.700
P=2102 | X=0497.230-0522.280 | Y=0393.440-0402.760 | 2.300
P=2102 | X=0107.330-0135.740 | Y=0399.200-0408.520 | Thành
P=2102 | X=0206.470-0351.320 | Y=0415.320-0426.560 | Đấu nối Đường Đấu nối Đường
P=2102 | X=0107.330-0177.510 | Y=0426.840-0438.080 | Đường khu phố
P=2102 | X=0206.470-0367.180 | Y=0426.840-0438.080 | Hùng Vương (từ Hùng Vương (thửa
P=2102 | X=0092.900-0104.020 | Y=0434.480-0443.800 | 34
P=2102 | X=0374.780-0399.830 | Y=0434.480-0443.800 | 1.800
P=2102 | X=0422.090-0447.140 | Y=0434.480-0443.800 | 1.300
P=2102 | X=0497.230-0522.280 | Y=0434.480-0443.800 | 1.100
P=2102 | X=0206.470-0366.470 | Y=0438.360-0449.600 | thửa đất số 2, tờ đất số 1, tờ bản đồ
P=2102 | X=0107.330-0161.660 | Y=0440.240-0449.560 | Thanh Xuân
P=2102 | X=0206.470-0309.960 | Y=0449.900-0461.140 | bản đồ số 76) số 16)
P=2102 | X=0107.330-0200.310 | Y=0467.900-0479.140 | Đường Nguyễn Đình
P=2102 | X=0092.900-0104.020 | Y=0475.540-0484.860 | 35
P=2102 | X=0206.470-0256.740 | Y=0475.540-0484.860 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0475.540-0484.860 | 2.900
P=2102 | X=0422.090-0447.140 | Y=0475.540-0484.860 | 2.000
P=2102 | X=0497.230-0522.280 | Y=0475.540-0484.860 | 1.700
P=2102 | X=0107.330-0133.570 | Y=0481.300-0490.620 | Chiểu
P=2102 | X=0107.330-0195.720 | Y=0497.420-0508.660 | Đường Lương Đình
P=2102 | X=0092.900-0104.020 | Y=0505.060-0514.380 | 36
P=2102 | X=0206.470-0256.740 | Y=0505.060-0514.380 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0505.060-0514.380 | 2.900
P=2102 | X=0422.090-0447.140 | Y=0505.060-0514.380 | 2.000
P=2102 | X=0497.230-0522.280 | Y=0505.060-0514.380 | 1.700
P=2102 | X=0107.330-0125.650 | Y=0510.820-0520.140 | Của
P=2102 | X=0282.340-0336.440 | Y=0526.940-0538.180 | Giáp đường
P=2102 | X=0206.470-0275.460 | Y=0532.490-0543.730 | Đường Nguyễn
P=2102 | X=0092.900-0198.150 | Y=0538.250-0549.490 | 37 Đường Cống Quỳnh
P=2102 | X=0282.340-0399.830 | Y=0538.250-0549.490 | Nguyễn Đình Chiểu 2.900
P=2102 | X=0422.090-0447.140 | Y=0540.130-0549.450 | 2.000
P=2102 | X=0497.230-0522.280 | Y=0540.130-0549.450 | 1.700
P=2102 | X=0206.470-0224.790 | Y=0545.890-0555.210 | Huệ
P=2102 | X=0282.340-0301.780 | Y=0551.650-0560.970 | (D2)
P=2102 | X=0107.330-0186.400 | Y=0567.770-0579.010 | Đường nhựa Cầu
P=2102 | X=0206.470-0278.820 | Y=0567.770-0579.010 | Đường Lê Duẩn
P=2102 | X=0282.340-0333.090 | Y=0573.530-0584.770 | Trụ điện 02
P=2102 | X=0092.900-0104.020 | Y=0575.410-0584.730 | 38
P=2102 | X=0374.780-0399.830 | Y=0575.410-0584.730 | 1.600
P=2102 | X=0422.090-0447.140 | Y=0575.410-0584.730 | 1.100
P=2102 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 960
P=2102 | X=0107.330-0126.840 | Y=0579.290-0590.530 | Đơn
P=2102 | X=0206.470-0280.420 | Y=0579.290-0590.530 | (Đường ĐT 759)
P=2102 | X=0107.330-0184.240 | Y=0597.290-0608.530 | Đường nhựa cần
P=2102 | X=0206.470-0257.230 | Y=0603.050-0614.290 | Trụ điện 02
P=2102 | X=0092.900-0104.020 | Y=0604.930-0614.250 | 39
P=2102 | X=0282.340-0325.410 | Y=0604.930-0614.250 | Hết tuyến
P=2102 | X=0382.940-0399.580 | Y=0604.930-0614.250 | 800
P=2102 | X=0430.250-0446.890 | Y=0604.930-0614.250 | 560
P=2102 | X=0505.390-0522.030 | Y=0604.930-0614.250 | 480
P=2102 | X=0107.330-0126.840 | Y=0608.810-0620.050 | Đơn
P=2102 | X=0092.900-0256.740 | Y=0626.830-0638.070 | 40 Đường Lê Thị Riêng Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0628.710-0638.030 | 2.200
P=2102 | X=0422.090-0447.140 | Y=0628.710-0638.030 | 1.500
P=2102 | X=0497.230-0522.280 | Y=0628.710-0638.030 | 1.300
P=2102 | X=0092.900-0154.690 | Y=0644.830-0656.070 | 41 Đường D4
P=2102 | X=0206.470-0256.740 | Y=0646.710-0656.030 | Toàn tuyến
P=2102 | X=0374.780-0399.830 | Y=0646.710-0656.030 | 1.900
P=2102 | X=0422.090-0447.140 | Y=0646.710-0656.030 | 1.300
P=2102 | X=0497.230-0522.280 | Y=0646.710-0656.030 | 1.200
