TABLE=091 | AREA=Xã Bù Gia Mập | SECTION=non-agricultural | SEGMENTS=1
P=2133 | X=0102.770-0196.710 | Y=0387.720-0398.960 | Các tuyến đường nội
P=2133 | X=0102.770-0194.220 | Y=0399.240-0410.480 | bộ trong Khu dân cư
P=2133 | X=0102.770-0185.350 | Y=0410.760-0422.000 | định canh, định cư
P=2133 | X=0090.500-0101.620 | Y=0418.400-0427.720 | 13
P=2133 | X=0201.910-0252.180 | Y=0418.400-0427.720 | Toàn tuyến
P=2133 | X=0363.500-0380.140 | Y=0418.400-0427.720 | 510
P=2133 | X=0414.380-0431.020 | Y=0418.400-0427.720 | 360
P=2133 | X=0505.390-0522.030 | Y=0418.400-0427.720 | 310
P=2133 | X=0102.770-0199.030 | Y=0422.280-0433.520 | cho đồng bào dân tộc
P=2133 | X=0102.770-0194.230 | Y=0433.800-0445.040 | thiểu số tại thôn Đắk
P=2133 | X=0102.770-0109.490 | Y=0447.200-0456.520 | Á
P=2133 | X=0102.770-0182.320 | Y=0463.340-0474.580 | Các tuyến Đường
P=2133 | X=0090.500-0101.620 | Y=0470.980-0480.300 | 14
P=2133 | X=0201.910-0252.180 | Y=0470.980-0480.300 | Toàn tuyến
P=2133 | X=0363.500-0380.140 | Y=0470.980-0480.300 | 340
P=2133 | X=0414.380-0431.020 | Y=0470.980-0480.300 | 230
P=2133 | X=0505.390-0522.030 | Y=0470.980-0480.300 | 200
P=2133 | X=0102.770-0196.950 | Y=0476.740-0486.060 | nhựa, bê tông còn lại
P=2133 | X=0102.770-0199.600 | Y=0492.860-0504.100 | Các tuyến đường còn
P=2133 | X=0090.500-0101.620 | Y=0500.500-0509.820 | 15
P=2133 | X=0201.910-0252.180 | Y=0500.500-0509.820 | Toàn tuyến
P=2133 | X=0363.500-0380.140 | Y=0500.500-0509.820 | 200
P=2133 | X=0414.380-0431.020 | Y=0500.500-0509.820 | 140
P=2133 | X=0505.390-0522.030 | Y=0500.500-0509.820 | 120
P=2133 | X=0102.770-0112.930 | Y=0506.260-0515.580 | lại
