TABLE=074 | AREA=Xã Lộc Quang | SECTION=non-agricultural | SEGMENTS=1
P=2056 | X=0239.140-0354.440 | Y=0597.730-0607.050 | Sóc 5 (từ hết (giáp ranh
P=2056 | X=0092.900-0104.020 | Y=0603.490-0612.810 | 53
P=2056 | X=0380.540-0405.590 | Y=0603.490-0612.810 | 1.600
P=2056 | X=0426.410-0451.460 | Y=0603.490-0612.810 | 1.100
P=2056 | X=0505.390-0522.030 | Y=0603.490-0612.810 | 970
P=2056 | X=0239.140-0369.340 | Y=0607.370-0618.610 | ranh thửa đất thành phố Hồ
P=2056 | X=0107.330-0157.260 | Y=0609.250-0618.570 | huyện 245)
P=2056 | X=0239.140-0352.670 | Y=0620.790-0630.110 | số 213, tờ bản Chí Minh)
P=2056 | X=0239.140-0280.660 | Y=0630.430-0641.670 | đồ số 81)
P=2056 | X=0309.240-0357.570 | Y=0648.430-0659.670 | Văn phòng
P=2056 | X=0239.140-0296.370 | Y=0659.950-0671.190 | Ngã ba đoạn
P=2056 | X=0309.240-0372.010 | Y=0659.950-0671.190 | thôn Đồng Nơ
P=2056 | X=0107.330-0219.760 | Y=0671.470-0682.710 | Đường ĐT 756C (Đường
P=2056 | X=0309.240-0377.240 | Y=0671.470-0682.710 | 3 (đến hết ranh
P=2056 | X=0239.140-0294.420 | Y=0673.350-0682.670 | giáp ranh xã
P=2056 | X=0092.900-0104.020 | Y=0679.110-0688.430 | 54
P=2056 | X=0380.540-0405.590 | Y=0679.110-0688.430 | 2.000
P=2056 | X=0426.410-0451.460 | Y=0679.110-0688.430 | 1.400
P=2056 | X=0497.230-0522.280 | Y=0679.110-0688.430 | 1.200
P=2056 | X=0309.240-0359.980 | Y=0682.750-0693.990 | thửa đất số
P=2056 | X=0107.330-0157.260 | Y=0684.630-0693.950 | huyện 245)
P=2056 | X=0239.140-0285.460 | Y=0684.630-0693.950 | Tân Khai -
P=2056 | X=0239.140-0282.820 | Y=0694.270-0705.510 | Minh Đức
P=2056 | X=0309.240-0374.380 | Y=0694.270-0705.510 | 195, tờ bản đồ
P=2056 | X=0309.240-0336.840 | Y=0707.700-0717.020 | số 95)
P=2057 | X=0239.140-0287.470 | Y=0078.740-0089.980 | Văn phòng
P=2057 | X=0309.240-0365.960 | Y=0086.380-0095.700 | Nhà ông Mai
P=2057 | X=0239.140-0301.910 | Y=0090.260-0101.500 | thôn Đồng Nơ
P=2057 | X=0309.240-0370.540 | Y=0096.020-0107.260 | Viết Huệ (đến
P=2057 | X=0107.330-0219.760 | Y=0101.780-0113.020 | Đường ĐT 756C (Đường
P=2057 | X=0239.140-0299.940 | Y=0103.660-0112.980 | 3 (từ hết ranh
P=2057 | X=0092.900-0104.020 | Y=0109.420-0118.740 | 55
P=2057 | X=0309.240-0405.590 | Y=0109.420-0118.740 | hết ranh thửa 2.200
P=2057 | X=0426.410-0451.460 | Y=0109.420-0118.740 | 1.500
P=2057 | X=0497.230-0522.280 | Y=0109.420-0118.740 | 1.300
P=2057 | X=0239.140-0289.860 | Y=0113.300-0124.540 | thửa đất số
P=2057 | X=0107.330-0157.260 | Y=0115.180-0124.500 | huyện 245)
P=2057 | X=0309.240-0365.310 | Y=0119.090-0130.330 | đất số 09, tờ
P=2057 | X=0239.140-0304.290 | Y=0124.850-0136.090 | 195, tờ bản đồ
P=2057 | X=0309.240-0375.740 | Y=0130.610-0141.850 | bản đồ số 100)
P=2057 | X=0239.140-0266.740 | Y=0138.250-0147.570 | số 95)
P=2057 | X=0239.140-0295.860 | Y=0156.250-0165.570 | Nhà ông Mai
P=2057 | X=0309.240-0364.530 | Y=0165.650-0176.890 | Ngã tư cổng
P=2057 | X=0239.140-0293.400 | Y=0167.530-0176.850 | Viết Huệ (từ
P=2057 | X=0107.330-0219.760 | Y=0171.410-0182.650 | Đường ĐT 756C (Đường
P=2057 | X=0239.140-0366.700 | Y=0177.170-0188.410 | hết ranh thửa Nông trường
P=2057 | X=0092.900-0104.020 | Y=0179.050-0188.370 | 56
P=2057 | X=0380.540-0405.590 | Y=0179.050-0188.370 | 2.200
P=2057 | X=0426.410-0451.460 | Y=0179.050-0188.370 | 1.500
P=2057 | X=0497.230-0522.280 | Y=0179.050-0188.370 | 1.300
P=2057 | X=0107.330-0157.250 | Y=0184.810-0194.130 | huyện 245)
P=2057 | X=0239.140-0325.880 | Y=0188.690-0199.930 | đất số 09, tờ 425
P=2057 | X=0239.140-0305.620 | Y=0200.230-0211.470 | bản đồ số 100)
P=2057 | X=0107.330-0293.220 | Y=0218.230-0229.470 | Đường vào Khu công nghiệp Giáp đường
P=2057 | X=0309.240-0355.330 | Y=0223.990-0235.230 | Đến 300m
P=2057 | X=0092.900-0104.020 | Y=0225.870-0235.190 | 57
P=2057 | X=0380.540-0405.590 | Y=0225.870-0235.190 | 3.000
P=2057 | X=0426.410-0451.460 | Y=0225.870-0235.190 | 2.100
P=2057 | X=0497.230-0522.280 | Y=0225.870-0235.190 | 1.800
P=2057 | X=0107.330-0155.870 | Y=0231.630-0240.950 | Tân Khai 2
P=2057 | X=0239.140-0287.700 | Y=0231.630-0240.950 | Quốc lộ 13
P=2057 | X=0239.140-0351.560 | Y=0247.750-0258.990 | Cách đường Khu công
P=2057 | X=0107.330-0235.870 | Y=0253.510-0264.750 | Đường vào Khu công nghiệp
P=2057 | X=0092.900-0104.020 | Y=0261.150-0270.470 | 58
P=2057 | X=0239.140-0359.480 | Y=0261.150-0270.470 | Quốc lộ 13 từ nghiệp Tân
P=2057 | X=0380.540-0405.590 | Y=0261.150-0270.470 | 2.300
P=2057 | X=0426.410-0451.460 | Y=0261.150-0270.470 | 1.600
P=2057 | X=0497.230-0522.280 | Y=0261.150-0270.470 | 1.400
P=2057 | X=0107.330-0155.870 | Y=0266.910-0276.230 | Tân Khai 2
P=2057 | X=0239.140-0337.860 | Y=0272.670-0281.990 | 300m trở lên Khai 2
P=2057 | X=0239.140-0298.760 | Y=0290.700-0300.020 | Từ hành lang
P=2057 | X=0239.140-0299.220 | Y=0300.340-0311.580 | lộ giới đường
P=2057 | X=0239.140-0287.700 | Y=0313.740-0323.060 | Quốc lộ 13
P=2057 | X=0092.900-0219.750 | Y=0323.380-0334.620 | 59 Đường liên ranh thôn 1-2
P=2057 | X=0239.140-0279.870 | Y=0323.380-0334.620 | (thửa đất
P=2057 | X=0309.240-0358.200 | Y=0323.380-0334.620 | Đến 200 m
P=2057 | X=0380.540-0405.590 | Y=0325.260-0334.580 | 3.000
P=2057 | X=0426.410-0451.460 | Y=0325.260-0334.580 | 2.100
P=2057 | X=0497.230-0522.280 | Y=0325.260-0334.580 | 1.800
P=2057 | X=0239.140-0307.140 | Y=0336.780-0346.100 | không tiếp giáp
P=2057 | X=0239.140-0306.680 | Y=0346.180-0357.420 | đường Quốc lộ
P=2057 | X=0239.140-0253.540 | Y=0359.580-0368.900 | 13)
P=2057 | X=0309.240-0361.100 | Y=0375.720-0386.960 | Đường Bắc
P=2057 | X=0239.140-0295.190 | Y=0377.600-0386.920 | Từ 200m trở
P=2057 | X=0092.900-0219.750 | Y=0381.480-0392.720 | 60 Đường liên ranh thôn 1-2
P=2057 | X=0380.540-0405.590 | Y=0383.360-0392.680 | 2.700
P=2057 | X=0426.410-0451.460 | Y=0383.360-0392.680 | 1.900
P=2057 | X=0497.230-0522.280 | Y=0383.360-0392.680 | 1.600
P=2057 | X=0239.140-0252.660 | Y=0389.120-0398.440 | lên
P=2057 | X=0309.240-0344.590 | Y=0389.120-0398.440 | Nam 12
P=2057 | X=0239.140-0290.980 | Y=0405.240-0416.480 | Đường Bắc
P=2057 | X=0092.900-0219.750 | Y=0411.000-0422.240 | 61 Đường liên ranh thôn 1-2
P=2057 | X=0309.240-0352.290 | Y=0412.880-0422.200 | Hết tuyến
P=2057 | X=0380.540-0405.590 | Y=0412.880-0422.200 | 2.300
P=2057 | X=0426.410-0451.460 | Y=0412.880-0422.200 | 1.600
P=2057 | X=0497.230-0522.280 | Y=0412.880-0422.200 | 1.400
P=2057 | X=0239.140-0274.490 | Y=0418.640-0427.960 | Nam 12
P=2057 | X=0239.140-0298.760 | Y=0436.640-0445.960 | Từ hành lang
P=2057 | X=0239.140-0299.220 | Y=0446.280-0457.520 | lộ giới đường
P=2057 | X=0239.140-0287.700 | Y=0459.700-0469.020 | Quốc lộ 13
P=2057 | X=0092.900-0279.870 | Y=0469.340-0480.580 | 62 Đường nhựa thôn 2 (tổ 4-5) (thửa đất
P=2057 | X=0309.240-0355.330 | Y=0469.340-0480.580 | Đến 200m
P=2057 | X=0380.540-0405.590 | Y=0471.220-0480.540 | 3.000
P=2057 | X=0426.410-0451.460 | Y=0471.220-0480.540 | 2.100
P=2057 | X=0497.230-0522.280 | Y=0471.220-0480.540 | 1.800
P=2057 | X=0239.140-0307.140 | Y=0482.740-0492.060 | không tiếp giáp
P=2057 | X=0239.140-0306.680 | Y=0492.380-0503.620 | đường Quốc lộ
P=2057 | X=0239.140-0253.540 | Y=0505.780-0515.100 | 13)
P=2057 | X=0309.240-0361.100 | Y=0521.900-0533.140 | Đường Bắc
P=2057 | X=0239.140-0295.190 | Y=0523.780-0533.100 | Từ 200m trở
P=2057 | X=0092.900-0230.950 | Y=0527.660-0538.900 | 63 Đường nhựa thôn 2 (tổ 4-5)
P=2057 | X=0380.540-0405.590 | Y=0529.540-0538.860 | 2.700
P=2057 | X=0426.410-0451.460 | Y=0529.540-0538.860 | 1.900
P=2057 | X=0497.230-0522.280 | Y=0529.540-0538.860 | 1.600
P=2057 | X=0239.140-0252.660 | Y=0535.330-0544.650 | lên
P=2057 | X=0309.240-0344.590 | Y=0535.330-0544.650 | Nam 12
P=2057 | X=0239.140-0290.980 | Y=0551.450-0562.690 | Đường Bắc
P=2057 | X=0092.900-0230.950 | Y=0557.210-0568.450 | 64 Đường nhựa thôn 2 (tổ 4-5)
P=2057 | X=0309.240-0352.290 | Y=0559.090-0568.410 | Hết tuyến
P=2057 | X=0380.540-0405.590 | Y=0559.090-0568.410 | 2.300
P=2057 | X=0426.410-0451.460 | Y=0559.090-0568.410 | 1.600
P=2057 | X=0497.230-0522.280 | Y=0559.090-0568.410 | 1.400
P=2057 | X=0239.140-0274.490 | Y=0564.850-0574.170 | Nam 12
P=2057 | X=0239.140-0298.760 | Y=0582.850-0592.170 | Từ hành lang
P=2057 | X=0107.330-0299.220 | Y=0592.250-0603.490 | Các tuyến đường đấu nối với lộ giới đường
P=2057 | X=0107.330-0287.700 | Y=0603.770-0615.010 | đường Quốc lộ 13 (đoạn từ Quốc lộ 13
P=2057 | X=0239.140-0279.870 | Y=0615.290-0626.530 | (thửa đất
P=2057 | X=0309.240-0355.330 | Y=0615.290-0626.530 | Đến 200m
P=2057 | X=0092.900-0209.110 | Y=0617.170-0626.490 | 65 ranh giới xã Tân Khai -
P=2057 | X=0380.540-0405.590 | Y=0617.170-0626.490 | 1.400
P=2057 | X=0434.570-0451.210 | Y=0617.170-0626.490 | 950
P=2057 | X=0505.390-0522.030 | Y=0617.170-0626.490 | 810
P=2057 | X=0107.330-0307.140 | Y=0626.830-0638.070 | Phường Bình Long đền Trạm không tiếp giáp
P=2057 | X=0239.140-0306.680 | Y=0638.350-0649.590 | đường Quốc lộ
P=2057 | X=0107.330-0141.400 | Y=0640.230-0649.550 | thu phí)
P=2057 | X=0239.140-0253.540 | Y=0651.750-0661.070 | 13)
P=2057 | X=0107.330-0237.540 | Y=0667.870-0679.110 | Các tuyến đường đấu nối với
P=2057 | X=0107.330-0295.190 | Y=0679.390-0690.630 | đường Quốc lộ 13 (đoạn từ Từ 200m trở
P=2057 | X=0309.240-0355.330 | Y=0685.150-0696.390 | Đến 500m
P=2057 | X=0092.900-0104.020 | Y=0687.030-0696.350 | 66
P=2057 | X=0380.540-0405.590 | Y=0687.030-0696.350 | 1.100
P=2057 | X=0434.570-0451.210 | Y=0687.030-0696.350 | 760
P=2057 | X=0505.390-0522.030 | Y=0687.030-0696.350 | 650
P=2057 | X=0107.330-0209.110 | Y=0692.790-0702.110 | ranh giới xã Tân Khai -
P=2057 | X=0239.140-0252.660 | Y=0692.790-0702.110 | lên
P=2057 | X=0107.330-0237.940 | Y=0702.450-0713.690 | Phường Bình Long đến Trạm
P=2058 | X=0107.330-0141.400 | Y=0074.620-0083.940 | thu phí)
P=2058 | X=0107.330-0237.540 | Y=0090.740-0101.980 | Các tuyến đường đấu nối với
P=2058 | X=0107.330-0229.300 | Y=0102.260-0113.500 | đường Quốc lộ 13 (đoạn từ
P=2058 | X=0239.140-0295.190 | Y=0109.900-0119.220 | Từ 500m trở
P=2058 | X=0092.900-0209.110 | Y=0115.660-0124.980 | 67 ranh giới xã Tân Khai -
P=2058 | X=0309.240-0352.290 | Y=0115.660-0124.980 | Hết tuyến
P=2058 | X=0388.700-0405.340 | Y=0115.660-0124.980 | 630
P=2058 | X=0434.570-0451.210 | Y=0115.660-0124.980 | 440
P=2058 | X=0505.390-0522.030 | Y=0115.660-0124.980 | 380
P=2058 | X=0239.140-0252.660 | Y=0121.450-0130.770 | lên
P=2058 | X=0107.330-0237.940 | Y=0125.330-0136.570 | Phường Bình Long đến Trạm
P=2058 | X=0107.330-0141.400 | Y=0138.730-0148.050 | thu phí)
P=2058 | X=0239.140-0298.760 | Y=0156.730-0166.050 | Từ hành lang
P=2058 | X=0239.140-0299.220 | Y=0166.370-0177.610 | lộ giới đường
P=2058 | X=0107.330-0237.540 | Y=0172.130-0183.370 | Các tuyến đường đấu nối với
P=2058 | X=0239.140-0287.700 | Y=0179.530-0188.850 | Quốc lộ 13
P=2058 | X=0107.330-0229.300 | Y=0183.410-0194.650 | đường Quốc lộ 13 (đoạn từ
P=2058 | X=0239.140-0279.870 | Y=0189.170-0200.410 | (thửa đất
P=2058 | X=0309.240-0355.330 | Y=0189.170-0200.410 | Đến 200m
P=2058 | X=0092.900-0104.020 | Y=0191.050-0200.370 | 68
P=2058 | X=0380.540-0405.590 | Y=0191.050-0200.370 | 2.300
P=2058 | X=0426.410-0451.460 | Y=0191.050-0200.370 | 1.600
P=2058 | X=0497.230-0522.280 | Y=0191.050-0200.370 | 1.400
P=2058 | X=0107.330-0227.670 | Y=0194.930-0206.170 | Trạm thu phí đến điểm đầu
P=2058 | X=0239.140-0307.140 | Y=0202.590-0211.910 | không tiếp giáp
P=2058 | X=0107.330-0190.860 | Y=0206.470-0217.710 | cây xăng Tấn Kiệt)
P=2058 | X=0239.140-0306.680 | Y=0212.230-0223.470 | đường Quốc lộ
P=2058 | X=0239.140-0253.540 | Y=0225.630-0234.950 | 13)
P=2058 | X=0107.330-0237.540 | Y=0241.750-0252.990 | Các tuyến đường đấu nối với
P=2058 | X=0107.330-0295.190 | Y=0253.270-0264.510 | đường Quốc lộ 13 (đoạn từ Từ 200m trở
P=2058 | X=0309.240-0355.320 | Y=0259.030-0270.270 | Đến 500m
P=2058 | X=0092.900-0104.020 | Y=0260.910-0270.230 | 69
P=2058 | X=0380.540-0405.590 | Y=0260.910-0270.230 | 1.800
P=2058 | X=0426.410-0451.460 | Y=0260.910-0270.230 | 1.300
P=2058 | X=0497.230-0522.280 | Y=0260.910-0270.230 | 1.100
P=2058 | X=0107.330-0252.660 | Y=0264.790-0276.030 | Trạm thu phí đến điểm đầu lên
P=2058 | X=0107.330-0190.860 | Y=0276.310-0287.550 | cây xăng Tấn Kiệt)
P=2058 | X=0107.330-0237.540 | Y=0294.340-0305.580 | Các tuyến đường đấu nối với
P=2058 | X=0107.330-0295.190 | Y=0305.860-0317.100 | đường Quốc lộ 13 (đoạn từ Từ 500m trở
P=2058 | X=0092.900-0104.020 | Y=0313.500-0322.820 | 70
P=2058 | X=0309.240-0352.290 | Y=0313.500-0322.820 | Hết tuyến
P=2058 | X=0388.700-0405.340 | Y=0313.500-0322.820 | 630
P=2058 | X=0434.570-0451.210 | Y=0313.500-0322.820 | 440
P=2058 | X=0505.390-0522.030 | Y=0313.500-0322.820 | 380
P=2058 | X=0107.330-0252.660 | Y=0317.380-0328.620 | Trạm thu phí đến điểm đầu lên
P=2058 | X=0107.330-0190.860 | Y=0328.900-0340.140 | cây xăng Tấn Kiệt)
P=2058 | X=0239.140-0298.760 | Y=0348.780-0358.100 | Từ hành lang
P=2058 | X=0107.330-0299.220 | Y=0358.180-0369.420 | Các tuyến đường đấu nối với lộ giới đường
P=2058 | X=0107.330-0287.700 | Y=0369.720-0380.960 | đường Quốc lộ 13 (đoạn từ Quốc lộ 13
P=2058 | X=0092.900-0279.870 | Y=0381.240-0392.480 | 71 điểm đầu cây xăng Tấn Kiệt (thửa đất
P=2058 | X=0309.240-0355.330 | Y=0381.240-0392.480 | Đến 200m
P=2058 | X=0380.540-0405.590 | Y=0383.120-0392.440 | 1.500
P=2058 | X=0426.410-0451.460 | Y=0383.120-0392.440 | 1.100
P=2058 | X=0505.390-0522.030 | Y=0383.120-0392.440 | 920
P=2058 | X=0107.330-0223.100 | Y=0392.760-0404.000 | đến hết ranh đất cây xăng
P=2058 | X=0239.140-0307.140 | Y=0394.640-0403.960 | không tiếp giáp
P=2058 | X=0107.330-0130.840 | Y=0404.280-0415.520 | ĐVT)
P=2058 | X=0239.140-0306.680 | Y=0404.280-0415.520 | đường Quốc lộ
P=2058 | X=0239.140-0253.540 | Y=0417.680-0427.000 | 13)
P=2058 | X=0107.330-0237.540 | Y=0433.800-0445.040 | Các tuyến đường đấu nối với
P=2058 | X=0107.330-0229.300 | Y=0445.320-0456.560 | đường Quốc lộ 13 (đoạn từ
P=2058 | X=0239.140-0295.190 | Y=0452.980-0462.300 | Từ 200m trở
P=2058 | X=0092.900-0233.060 | Y=0456.860-0468.100 | 72 Điểm đầu cây xăng Tấn Kiệt
P=2058 | X=0309.240-0355.330 | Y=0456.860-0468.100 | Đến 500m
P=2058 | X=0380.540-0405.590 | Y=0458.740-0468.060 | 1.100
P=2058 | X=0434.570-0451.210 | Y=0458.740-0468.060 | 760
P=2058 | X=0505.390-0522.030 | Y=0458.740-0468.060 | 650
P=2058 | X=0239.140-0252.660 | Y=0464.500-0473.820 | lên
P=2058 | X=0107.330-0224.780 | Y=0468.380-0479.620 | Đến hết ranh đất cây xăng
P=2058 | X=0107.330-0130.840 | Y=0479.900-0491.140 | ĐVT)
P=2058 | X=0107.330-0237.540 | Y=0497.900-0509.140 | Các tuyến đường đấu nối với
P=2058 | X=0107.330-0229.300 | Y=0509.420-0520.660 | đường Quốc lộ 13 (đoạn từ
P=2058 | X=0239.140-0295.190 | Y=0517.060-0526.380 | Từ 500m trở
P=2058 | X=0092.900-0233.060 | Y=0520.940-0532.180 | 73 Điểm đầu cây xăng Tấn Kiệt
P=2058 | X=0309.240-0352.290 | Y=0522.820-0532.140 | Hết tuyến
P=2058 | X=0388.700-0405.340 | Y=0522.820-0532.140 | 630
P=2058 | X=0434.570-0451.210 | Y=0522.820-0532.140 | 440
P=2058 | X=0505.390-0522.030 | Y=0522.820-0532.140 | 380
P=2058 | X=0239.140-0252.660 | Y=0528.340-0537.660 | lên
P=2058 | X=0107.330-0224.780 | Y=0532.220-0543.460 | Đến hết ranh đất cây xăng
P=2058 | X=0107.330-0130.840 | Y=0543.770-0555.010 | ĐVT)
P=2058 | X=0239.140-0298.760 | Y=0563.650-0572.970 | Từ hành lang
P=2058 | X=0107.330-0299.220 | Y=0573.290-0584.530 | Các tuyến đường đấu nối với lộ giới đường
P=2058 | X=0107.330-0287.700 | Y=0584.810-0596.050 | đường Quốc lộ 13 (đoạn từ Quốc lộ 13
P=2058 | X=0092.900-0279.870 | Y=0596.330-0607.570 | 74 hết ranh đất cây xăng ĐVT (thửa đất
P=2058 | X=0309.240-0355.330 | Y=0596.330-0607.570 | Đến 200m
P=2058 | X=0380.540-0405.590 | Y=0598.210-0607.530 | 1.400
P=2058 | X=0434.570-0451.210 | Y=0598.210-0607.530 | 950
P=2058 | X=0505.390-0522.030 | Y=0598.210-0607.530 | 810
P=2058 | X=0107.330-0307.140 | Y=0607.850-0619.090 | đến ranh giới xã Tân Khai - không tiếp giáp
P=2058 | X=0107.330-0199.710 | Y=0619.390-0630.630 | Phường Minh Hưng)
P=2058 | X=0239.140-0306.680 | Y=0619.390-0630.630 | đường Quốc lộ
P=2058 | X=0239.140-0253.540 | Y=0632.790-0642.110 | 13)
P=2058 | X=0107.330-0237.540 | Y=0648.910-0660.150 | Các tuyến đường đấu nối với
P=2058 | X=0107.330-0229.300 | Y=0660.430-0671.670 | đường Quốc lộ 13 (đoạn từ
P=2058 | X=0239.140-0295.190 | Y=0668.070-0677.390 | Từ 200m trở
P=2058 | X=0092.900-0226.510 | Y=0671.950-0683.190 | 75 hết ranh đất cây xăng ĐVT
P=2058 | X=0309.240-0355.330 | Y=0671.950-0683.190 | Đến 500m
P=2058 | X=0380.540-0405.590 | Y=0673.830-0683.150 | 1.100
P=2058 | X=0434.570-0451.210 | Y=0673.830-0683.150 | 760
P=2058 | X=0505.390-0522.030 | Y=0673.830-0683.150 | 650
P=2058 | X=0239.140-0252.660 | Y=0679.590-0688.910 | lên
P=2058 | X=0107.330-0228.580 | Y=0683.470-0694.710 | đến ranh giới xã Tân Khai -
P=2058 | X=0107.330-0199.710 | Y=0694.750-0705.990 | Phường Minh Hưng)
P=2059 | X=0107.330-0237.540 | Y=0078.740-0089.980 | Các tuyến đường đấu nối với
P=2059 | X=0107.330-0229.300 | Y=0090.260-0101.500 | đường Quốc lộ 13 (đoạn từ
P=2059 | X=0239.140-0295.190 | Y=0097.900-0107.220 | Từ 500m trở
P=2059 | X=0092.900-0226.510 | Y=0101.780-0113.020 | 76 hết ranh đất cây xăng ĐVT
P=2059 | X=0309.240-0352.290 | Y=0103.660-0112.980 | Hết tuyến
P=2059 | X=0388.700-0405.340 | Y=0103.660-0112.980 | 630
P=2059 | X=0434.570-0451.210 | Y=0103.660-0112.980 | 440
P=2059 | X=0505.390-0522.030 | Y=0103.660-0112.980 | 380
P=2059 | X=0239.140-0252.660 | Y=0109.420-0118.740 | lên
P=2059 | X=0107.330-0228.580 | Y=0113.300-0124.540 | đến ranh giới xã Tân Khai -
P=2059 | X=0107.330-0199.710 | Y=0124.850-0136.090 | Phường Minh Hưng)
P=2059 | X=0239.140-0298.760 | Y=0144.730-0154.050 | Từ hành lang
P=2059 | X=0107.330-0299.220 | Y=0154.370-0165.610 | Các tuyến đường đấu nối với lộ giới đường
P=2059 | X=0107.330-0220.900 | Y=0165.650-0176.890 | đường ĐT 756C (đoạn từ
P=2059 | X=0239.140-0306.200 | Y=0165.650-0176.890 | ĐT 756C (thửa
P=2059 | X=0309.240-0355.330 | Y=0171.410-0182.650 | Đến 200m
P=2059 | X=0092.900-0104.020 | Y=0173.290-0182.610 | 77
P=2059 | X=0380.540-0405.590 | Y=0173.290-0182.610 | 1.100
P=2059 | X=0434.570-0451.210 | Y=0173.290-0182.610 | 760
P=2059 | X=0505.390-0522.030 | Y=0173.290-0182.610 | 650
P=2059 | X=0107.330-0302.120 | Y=0177.170-0188.410 | ngã ba Tân Quan đến Cụm đất không tiếp
P=2059 | X=0239.140-0306.970 | Y=0188.690-0199.930 | giáp đường ĐT
P=2059 | X=0107.330-0193.730 | Y=0190.570-0199.890 | công nghiệp Lê Vy)
P=2059 | X=0239.140-0266.250 | Y=0202.110-0211.430 | 756C)
P=2059 | X=0239.140-0298.760 | Y=0220.110-0229.430 | Từ hành lang
P=2059 | X=0107.330-0237.540 | Y=0223.990-0235.230 | Các tuyến đường đấu nối với
P=2059 | X=0239.140-0299.220 | Y=0229.750-0240.990 | lộ giới đường
P=2059 | X=0107.330-0220.900 | Y=0235.510-0246.750 | đường ĐT 756C (đoạn từ
P=2059 | X=0239.140-0306.200 | Y=0241.270-0252.510 | ĐT 756C (thửa
P=2059 | X=0092.900-0233.700 | Y=0247.030-0258.270 | 78 Cụm công nghiệp Lê Vy đến
P=2059 | X=0309.240-0355.330 | Y=0247.030-0258.270 | Đến 200m
P=2059 | X=0388.700-0405.340 | Y=0248.910-0258.230 | 770
P=2059 | X=0434.570-0451.210 | Y=0248.910-0258.230 | 540
P=2059 | X=0505.390-0522.030 | Y=0248.910-0258.230 | 460
P=2059 | X=0239.140-0302.120 | Y=0252.790-0264.030 | đất không tiếp
P=2059 | X=0107.330-0230.990 | Y=0260.430-0269.750 | cầu bà Hô giáp ranh xã Tân
P=2059 | X=0239.140-0306.970 | Y=0264.310-0275.550 | giáp đường ĐT
P=2059 | X=0107.330-0135.170 | Y=0271.950-0281.270 | Quan)
P=2059 | X=0239.140-0266.250 | Y=0277.710-0287.030 | 756C)
P=2059 | X=0239.140-0298.760 | Y=0295.740-0305.060 | Từ hành lang
P=2059 | X=0107.330-0237.540 | Y=0299.620-0310.860 | Các tuyến đường đấu nối với
P=2059 | X=0239.140-0299.220 | Y=0305.380-0316.620 | lộ giới đường
P=2059 | X=0107.330-0220.900 | Y=0311.140-0322.380 | đường ĐT 756C (đoạn từ
P=2059 | X=0239.140-0306.200 | Y=0316.900-0328.140 | ĐT 756C (thửa
P=2059 | X=0092.900-0236.950 | Y=0322.660-0333.900 | 79 ngã tư giao đường Đông Tây
P=2059 | X=0309.240-0355.330 | Y=0322.660-0333.900 | Đến 200m
P=2059 | X=0388.700-0405.340 | Y=0324.540-0333.860 | 720
P=2059 | X=0434.570-0451.210 | Y=0324.540-0333.860 | 500
P=2059 | X=0505.390-0522.030 | Y=0324.540-0333.860 | 430
P=2059 | X=0239.140-0302.120 | Y=0328.180-0339.420 | đất không tiếp
P=2059 | X=0107.330-0232.510 | Y=0333.940-0345.180 | 1 và Đường Bắc Nam 7 đến
P=2059 | X=0239.140-0306.970 | Y=0339.700-0350.940 | giáp đường ĐT
P=2059 | X=0107.330-0226.380 | Y=0345.460-0356.700 | giáp ranh thôn Đồng Nơ 1)
P=2059 | X=0239.140-0266.250 | Y=0353.100-0362.420 | 756C)
P=2059 | X=0239.140-0298.760 | Y=0371.120-0380.440 | Từ hành lang
P=2059 | X=0239.140-0299.220 | Y=0380.760-0392.000 | lộ giới đường
P=2059 | X=0239.140-0287.700 | Y=0394.160-0403.480 | Quốc lộ 13
P=2059 | X=0107.330-0224.290 | Y=0398.040-0409.280 | Đường nhựa vào Nhà văn
P=2059 | X=0309.240-0366.210 | Y=0398.040-0409.280 | Nhà văn hóa
P=2059 | X=0239.140-0279.870 | Y=0403.800-0415.040 | (thửa đất
P=2059 | X=0092.900-0104.020 | Y=0405.680-0415.000 | 80
P=2059 | X=0380.540-0405.590 | Y=0405.680-0415.000 | 1.800
P=2059 | X=0426.410-0451.460 | Y=0405.680-0415.000 | 1.300
P=2059 | X=0497.230-0522.280 | Y=0405.680-0415.000 | 1.100
P=2059 | X=0107.330-0177.080 | Y=0411.440-0420.760 | hóa thôn Tàu Ô
P=2059 | X=0309.240-0359.320 | Y=0411.440-0420.760 | thôn Tàu Ô
P=2059 | X=0239.140-0307.140 | Y=0417.200-0426.520 | không tiếp giáp
P=2059 | X=0239.140-0306.680 | Y=0426.840-0438.080 | đường Quốc lộ
P=2059 | X=0239.140-0253.540 | Y=0440.240-0449.560 | 13)
P=2059 | X=0309.240-0368.390 | Y=0458.260-0467.580 | Ngã ba (thửa
P=2059 | X=0107.330-0224.290 | Y=0462.140-0473.380 | Đường nhựa vào Nhà văn
P=2059 | X=0239.140-0296.110 | Y=0462.140-0473.380 | Nhà văn hóa
P=2059 | X=0309.240-0405.590 | Y=0467.900-0479.140 | đất số 625, từ 1.600
P=2059 | X=0092.900-0104.020 | Y=0469.780-0479.100 | 81
P=2059 | X=0426.410-0451.460 | Y=0469.780-0479.100 | 1.100
P=2059 | X=0505.390-0522.030 | Y=0469.780-0479.100 | 970
