TABLE=062 | AREA=Phường An Lộc | SECTION=non-agricultural | SEGMENTS=1
P=1991 | X=0284.260-0346.030 | Y=0638.830-0650.070 | Đường TPT 1
P=1991 | X=0381.020-0397.660 | Y=0640.710-0650.030 | 970
P=1991 | X=0428.570-0445.210 | Y=0640.710-0650.030 | 680
P=1991 | X=0505.390-0522.030 | Y=0640.710-0650.030 | 580
P=1991 | X=0092.900-0246.390 | Y=0656.830-0668.070 | 98 Đường TPT 44 Đường TPT 20
P=1991 | X=0284.260-0351.560 | Y=0656.830-0668.070 | Đường TPT 19
P=1991 | X=0381.020-0397.660 | Y=0658.710-0668.030 | 690
P=1991 | X=0428.570-0445.210 | Y=0658.710-0668.030 | 480
P=1991 | X=0505.390-0522.030 | Y=0658.710-0668.030 | 410
P=1991 | X=0284.260-0346.030 | Y=0674.830-0686.070 | Đường TPT 4
P=1991 | X=0092.900-0245.410 | Y=0680.590-0691.830 | 99 Đường TPT 46 Đường TLT 34
P=1991 | X=0381.020-0397.660 | Y=0682.470-0691.790 | 650
P=1991 | X=0428.570-0445.210 | Y=0682.470-0691.790 | 450
P=1991 | X=0505.390-0522.030 | Y=0682.470-0691.790 | 390
P=1991 | X=0284.260-0358.440 | Y=0686.350-0697.590 | (dọc Đường ray)
P=1991 | X=0090.020-0245.410 | Y=0704.370-0715.610 | 100 Đường TPT 47 Đường TLT 34
P=1991 | X=0284.260-0346.030 | Y=0704.370-0715.610 | Đường TPT 4
P=1991 | X=0381.020-0397.660 | Y=0706.260-0715.580 | 650
P=1991 | X=0428.570-0445.210 | Y=0706.260-0715.580 | 450
P=1991 | X=0505.390-0522.030 | Y=0706.260-0715.580 | 390
P=1992 | X=0284.260-0358.440 | Y=0072.740-0083.980 | (dọc Đường ray)
P=1992 | X=0090.020-0245.410 | Y=0090.740-0101.980 | 101 Đường TPT 48 Đường TLT 30
P=1992 | X=0284.260-0347.710 | Y=0090.740-0101.980 | Đường TLT30
P=1992 | X=0381.020-0397.660 | Y=0092.620-0101.940 | 810
P=1992 | X=0428.570-0445.210 | Y=0092.620-0101.940 | 570
P=1992 | X=0505.390-0522.030 | Y=0092.620-0101.940 | 490
P=1992 | X=0179.110-0269.950 | Y=0108.740-0119.980 | Đập Suối Trầu (ranh
P=1992 | X=0090.020-0174.610 | Y=0114.530-0125.770 | 102 Đường TPT 49
P=1992 | X=0284.260-0346.030 | Y=0114.530-0125.770 | Đường TPT 2
P=1992 | X=0381.020-0397.660 | Y=0116.410-0125.730 | 650
P=1992 | X=0428.570-0445.210 | Y=0116.410-0125.730 | 450
P=1992 | X=0505.390-0522.030 | Y=0116.410-0125.730 | 390
P=1992 | X=0179.110-0272.010 | Y=0120.290-0131.530 | phường An Lộc (cũ))
P=1992 | X=0284.260-0353.480 | Y=0138.290-0149.530 | Đường Quốc lộ
P=1992 | X=0090.020-0246.390 | Y=0144.050-0155.290 | 103 Đường TPT 50 Đường TPT 48
P=1992 | X=0381.020-0397.660 | Y=0145.930-0155.250 | 970
P=1992 | X=0428.570-0445.210 | Y=0145.930-0155.250 | 680
P=1992 | X=0505.390-0522.030 | Y=0145.930-0155.250 | 580
P=1992 | X=0284.260-0295.380 | Y=0151.690-0161.010 | 13
P=1992 | X=0090.020-0246.390 | Y=0167.810-0179.050 | 104 Đường TPT 51 Đường TPT 49
P=1992 | X=0284.260-0351.560 | Y=0167.810-0179.050 | Đường TPT 39
P=1992 | X=0381.020-0397.660 | Y=0169.690-0179.010 | 690
P=1992 | X=0428.570-0445.210 | Y=0169.690-0179.010 | 480
P=1992 | X=0505.390-0522.030 | Y=0169.690-0179.010 | 410
P=1992 | X=0090.020-0246.390 | Y=0185.810-0197.050 | 105 Đường TPT 52 Đường TPT 40
P=1992 | X=0284.260-0351.560 | Y=0185.810-0197.050 | Đường TPT 51
P=1992 | X=0381.020-0397.660 | Y=0187.690-0197.010 | 650
P=1992 | X=0423.050-0445.210 | Y=0187.690-0197.010 | 4501
P=1992 | X=0505.390-0522.030 | Y=0187.690-0197.010 | 390
P=1992 | X=0090.020-0246.390 | Y=0203.830-0215.070 | 106 Đường TPT 53 Đường TPT 33
P=1992 | X=0284.260-0351.560 | Y=0203.830-0215.070 | Đường TPT 29
P=1992 | X=0381.020-0397.660 | Y=0205.710-0215.030 | 810
P=1992 | X=0428.570-0445.210 | Y=0205.710-0215.030 | 570
P=1992 | X=0505.390-0522.030 | Y=0205.710-0215.030 | 490
P=1992 | X=0090.020-0168.100 | Y=0221.830-0233.070 | 107 Đường TLT 1
P=1992 | X=0179.110-0239.880 | Y=0221.830-0233.070 | Đường TLT 2
P=1992 | X=0284.260-0351.560 | Y=0221.830-0233.070 | Đường ĐT 757
P=1992 | X=0381.020-0397.660 | Y=0223.710-0233.030 | 780
P=1992 | X=0428.570-0445.210 | Y=0223.710-0233.030 | 540
P=1992 | X=0505.390-0522.030 | Y=0223.710-0233.030 | 470
P=1992 | X=0090.020-0168.100 | Y=0239.830-0251.070 | 108 Đường TLT 2
P=1992 | X=0179.110-0262.020 | Y=0239.830-0251.070 | Đường Quốc lộ 13
P=1992 | X=0284.260-0397.910 | Y=0239.830-0251.070 | Đường ray xe lửa 1.300
P=1992 | X=0428.570-0445.210 | Y=0241.710-0251.030 | 910
P=1992 | X=0505.390-0522.030 | Y=0241.710-0251.030 | 780
P=1992 | X=0090.020-0168.100 | Y=0257.830-0269.070 | 109 Đường TLT 2
P=1992 | X=0179.110-0258.190 | Y=0257.830-0269.070 | Đường ray xe lửa
P=1992 | X=0284.260-0350.580 | Y=0257.830-0269.070 | Đường TLT 34
P=1992 | X=0372.860-0397.910 | Y=0259.710-0269.030 | 1.100
P=1992 | X=0428.570-0445.210 | Y=0259.710-0269.030 | 790
P=1992 | X=0505.390-0522.030 | Y=0259.710-0269.030 | 680
P=1992 | X=0090.020-0168.100 | Y=0275.830-0287.070 | 110 Đường TLT 2
P=1992 | X=0179.110-0245.410 | Y=0275.830-0287.070 | Đường TLT 34
P=1992 | X=0284.260-0351.560 | Y=0275.830-0287.070 | Đường ĐT 757
P=1992 | X=0381.020-0397.660 | Y=0277.710-0287.030 | 970
P=1992 | X=0428.570-0445.210 | Y=0277.710-0287.030 | 680
P=1992 | X=0505.390-0522.030 | Y=0277.710-0287.030 | 580
P=1992 | X=0090.020-0168.100 | Y=0293.860-0305.100 | 111 Đường TLT 3
P=1992 | X=0179.110-0262.020 | Y=0293.860-0305.100 | Đường Quốc lộ 13
P=1992 | X=0284.260-0350.580 | Y=0293.860-0305.100 | Đường TLT 20
P=1992 | X=0372.860-0397.910 | Y=0295.740-0305.060 | 1.200
P=1992 | X=0428.570-0445.210 | Y=0295.740-0305.060 | 850
P=1992 | X=0505.390-0522.030 | Y=0295.740-0305.060 | 730
P=1992 | X=0090.020-0168.100 | Y=0311.860-0323.100 | 112 Đường TLT 3
P=1992 | X=0179.110-0245.410 | Y=0311.860-0323.100 | Đường TLT 20
P=1992 | X=0284.260-0350.580 | Y=0311.860-0323.100 | Đường TLT 21
P=1992 | X=0381.020-0397.660 | Y=0313.740-0323.060 | 970
P=1992 | X=0428.570-0445.210 | Y=0313.740-0323.060 | 680
P=1992 | X=0505.390-0522.030 | Y=0313.740-0323.060 | 580
P=1992 | X=0284.260-0364.350 | Y=0329.860-0341.100 | Xóm (Đường TPT
P=1992 | X=0090.020-0168.100 | Y=0335.620-0346.860 | 113 Đường TLT 3
P=1992 | X=0179.110-0245.410 | Y=0335.620-0346.860 | Đường TLT 21
P=1992 | X=0381.020-0397.660 | Y=0337.500-0346.820 | 970
P=1992 | X=0428.570-0445.210 | Y=0337.500-0346.820 | 680
P=1992 | X=0505.390-0522.030 | Y=0337.500-0346.820 | 580
P=1992 | X=0284.260-0293.140 | Y=0343.260-0352.580 | 1)
P=1992 | X=0107.330-0168.100 | Y=0359.380-0370.620 | Đường TLT 4
P=1992 | X=0284.260-0353.480 | Y=0365.160-0376.400 | Đường Quốc lộ
P=1992 | X=0179.110-0262.020 | Y=0370.920-0382.160 | Đường Quốc lộ 13
P=1992 | X=0090.020-0164.550 | Y=0372.800-0382.120 | 114 (Vòng quanh
P=1992 | X=0381.020-0397.660 | Y=0372.800-0382.120 | 970
P=1992 | X=0428.570-0445.210 | Y=0372.800-0382.120 | 680
P=1992 | X=0505.390-0522.030 | Y=0372.800-0382.120 | 580
P=1992 | X=0284.260-0295.380 | Y=0378.560-0387.880 | 13
P=1992 | X=0107.330-0151.950 | Y=0382.440-0393.680 | Đài liệt sĩ)
P=1992 | X=0090.020-0168.150 | Y=0400.200-0411.440 | 115 Đường TLT 5
P=1992 | X=0179.110-0262.020 | Y=0400.200-0411.440 | Đường Quốc lộ 13
P=1992 | X=0284.260-0350.580 | Y=0400.200-0411.440 | Đường TLT 29
P=1992 | X=0372.860-0397.910 | Y=0402.080-0411.400 | 1.200
P=1992 | X=0428.570-0445.210 | Y=0402.080-0411.400 | 850
P=1992 | X=0505.390-0522.030 | Y=0402.080-0411.400 | 730
P=1992 | X=0284.260-0354.840 | Y=0418.200-0429.440 | Ranh vùng đệm
P=1992 | X=0090.020-0168.100 | Y=0429.720-0440.960 | 116 Đường TLT 5
P=1992 | X=0179.110-0245.410 | Y=0429.720-0440.960 | Đường TLT 29
P=1992 | X=0284.260-0357.810 | Y=0429.720-0440.960 | (Đường vào nhà
P=1992 | X=0372.860-0397.910 | Y=0431.600-0440.920 | 1.100
P=1992 | X=0428.570-0445.210 | Y=0431.600-0440.920 | 740
P=1992 | X=0505.390-0522.030 | Y=0431.600-0440.920 | 630
P=1992 | X=0284.260-0344.480 | Y=0441.240-0452.480 | máy xi măng)
P=1992 | X=0090.020-0168.100 | Y=0459.260-0470.500 | 117 Đường TLT 6
P=1992 | X=0179.110-0262.020 | Y=0459.260-0470.500 | Đường Quốc lộ 13
P=1992 | X=0284.260-0351.560 | Y=0459.260-0470.500 | Đường ĐT 757
P=1992 | X=0381.020-0397.660 | Y=0461.140-0470.460 | 780
P=1992 | X=0428.570-0445.210 | Y=0461.140-0470.460 | 540
P=1992 | X=0505.390-0522.030 | Y=0461.140-0470.460 | 470
P=1992 | X=0090.020-0168.100 | Y=0477.260-0488.500 | 118 Đường TLT 7
P=1992 | X=0284.260-0345.050 | Y=0477.260-0488.500 | Đường TLT 6
P=1992 | X=0179.110-0234.400 | Y=0479.140-0488.460 | Suối Cần Lê
P=1992 | X=0381.020-0397.660 | Y=0479.140-0488.460 | 780
P=1992 | X=0428.570-0445.210 | Y=0479.140-0488.460 | 540
P=1992 | X=0505.390-0522.030 | Y=0479.140-0488.460 | 470
P=1992 | X=0179.110-0281.460 | Y=0495.260-0506.500 | Thửa đất số 81, tờ bản
P=1992 | X=0090.020-0168.100 | Y=0501.020-0512.260 | 119 Đường TLT 8
P=1992 | X=0284.260-0345.050 | Y=0501.020-0512.260 | Đường TLT 6
P=1992 | X=0381.020-0397.660 | Y=0502.900-0512.220 | 780
P=1992 | X=0428.570-0445.210 | Y=0502.900-0512.220 | 540
P=1992 | X=0505.390-0522.030 | Y=0502.900-0512.220 | 470
P=1992 | X=0179.110-0217.350 | Y=0506.780-0518.020 | đồ số 10
P=1992 | X=0090.020-0168.100 | Y=0524.780-0536.020 | 120 Đường TLT 9
P=1992 | X=0179.110-0239.880 | Y=0524.780-0536.020 | Đường TLT 6
P=1992 | X=0284.260-0347.710 | Y=0524.780-0536.020 | Đường TLT10
P=1992 | X=0381.020-0397.660 | Y=0526.660-0535.980 | 780
P=1992 | X=0428.570-0445.210 | Y=0526.660-0535.980 | 540
P=1992 | X=0505.390-0522.030 | Y=0526.660-0535.980 | 470
P=1992 | X=0090.020-0239.880 | Y=0542.810-0554.050 | 121 Đường TLT 10 Đường TLT 6
P=1992 | X=0284.260-0350.580 | Y=0542.810-0554.050 | Đường TLT 11
P=1992 | X=0381.020-0397.660 | Y=0544.690-0554.010 | 780
P=1992 | X=0428.570-0445.210 | Y=0544.690-0554.010 | 540
P=1992 | X=0505.390-0522.030 | Y=0544.690-0554.010 | 470
P=1992 | X=0090.020-0237.020 | Y=0560.810-0572.050 | 122 Đường TLT 11 Đường TLT1
P=1992 | X=0284.260-0363.350 | Y=0560.810-0572.050 | Đường ray xe lửa
P=1992 | X=0381.020-0397.660 | Y=0562.690-0572.010 | 780
P=1992 | X=0428.570-0445.210 | Y=0562.690-0572.010 | 540
P=1992 | X=0505.390-0522.030 | Y=0562.690-0572.010 | 470
P=1992 | X=0090.020-0246.430 | Y=0578.810-0590.050 | 123 Đường TLT 12 Đường ĐT 757
P=1992 | X=0284.260-0350.580 | Y=0578.810-0590.050 | Đường TLT 13
P=1992 | X=0381.020-0397.660 | Y=0580.690-0590.010 | 780
P=1992 | X=0428.570-0445.210 | Y=0580.690-0590.010 | 540
P=1992 | X=0505.390-0522.030 | Y=0580.690-0590.010 | 470
P=1992 | X=0090.020-0245.410 | Y=0596.810-0608.050 | 124 Đường TLT 13 Đường TLT 15
P=1992 | X=0284.260-0345.050 | Y=0596.810-0608.050 | Đường TLT 1
P=1992 | X=0381.020-0397.660 | Y=0598.690-0608.010 | 780
P=1992 | X=0428.570-0445.210 | Y=0598.690-0608.010 | 540
P=1992 | X=0505.390-0522.030 | Y=0598.690-0608.010 | 470
P=1992 | X=0090.020-0262.020 | Y=0614.810-0626.050 | 125 Đường TLT 14 Đường Quốc lộ 13
P=1992 | X=0284.260-0350.580 | Y=0614.810-0626.050 | Đường TLT 12
P=1992 | X=0381.020-0397.660 | Y=0616.690-0626.010 | 890
P=1992 | X=0428.570-0445.210 | Y=0616.690-0626.010 | 620
P=1992 | X=0505.390-0522.030 | Y=0616.690-0626.010 | 530
P=1992 | X=0090.020-0264.900 | Y=0632.830-0644.070 | 126 Đường TLT 15 Đường Quốc lộ 1 3
P=1992 | X=0284.260-0350.580 | Y=0632.830-0644.070 | Đường TLT 13
P=1992 | X=0381.020-0397.660 | Y=0634.710-0644.030 | 890
P=1992 | X=0428.570-0445.210 | Y=0634.710-0644.030 | 620
P=1992 | X=0505.390-0522.030 | Y=0634.710-0644.030 | 530
P=1992 | X=0090.020-0245.410 | Y=0650.830-0662.070 | 127 Đường TLT 15 Đường TLT 13
P=1992 | X=0284.260-0345.050 | Y=0650.830-0662.070 | Đường TLT 2
P=1992 | X=0381.020-0397.660 | Y=0652.710-0662.030 | 780
P=1992 | X=0428.570-0445.210 | Y=0652.710-0662.030 | 540
P=1992 | X=0505.390-0522.030 | Y=0652.710-0662.030 | 470
P=1992 | X=0090.020-0262.020 | Y=0668.830-0680.070 | 128 Đường TLT 16 Đường Quốc lộ 13
P=1992 | X=0284.260-0350.580 | Y=0668.830-0680.070 | Đường TLT 17
P=1992 | X=0381.020-0397.660 | Y=0670.710-0680.030 | 890
P=1992 | X=0428.570-0445.210 | Y=0670.710-0680.030 | 620
P=1992 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 530
P=1992 | X=0090.020-0245.410 | Y=0686.830-0698.070 | 129 Đường TLT 16 Đường TLT 17
P=1992 | X=0284.260-0350.580 | Y=0686.830-0698.070 | Đường TLT 40
P=1992 | X=0381.020-0397.660 | Y=0688.710-0698.030 | 780
P=1992 | X=0428.570-0445.210 | Y=0688.710-0698.030 | 540
P=1992 | X=0505.390-0522.030 | Y=0688.710-0698.030 | 470
P=1992 | X=0090.020-0245.410 | Y=0704.850-0716.090 | 130 Đường TLT17 Đường TLT 16
P=1992 | X=0284.260-0350.580 | Y=0704.850-0716.090 | Đường TLT 18
P=1992 | X=0381.020-0397.660 | Y=0706.740-0716.060 | 780
P=1992 | X=0428.570-0445.210 | Y=0706.740-0716.060 | 540
P=1992 | X=0505.390-0522.030 | Y=0706.740-0716.060 | 470
P=1993 | X=0090.020-0262.020 | Y=0078.740-0089.980 | 131 Đường TLT 18 Đường Quốc lộ 13
P=1993 | X=0284.260-0350.580 | Y=0078.740-0089.980 | Đường TLT 17
P=1993 | X=0381.020-0397.660 | Y=0080.620-0089.940 | 890
P=1993 | X=0428.570-0445.210 | Y=0080.620-0089.940 | 620
P=1993 | X=0505.390-0522.030 | Y=0080.620-0089.940 | 530
P=1993 | X=0179.110-0262.020 | Y=0096.740-0107.980 | Đường Quốc lộ 13
P=1993 | X=0090.020-0173.630 | Y=0102.500-0113.740 | 132 Đường TLT 19
P=1993 | X=0284.260-0345.050 | Y=0102.500-0113.740 | Đường TLT 2
P=1993 | X=0381.020-0397.660 | Y=0104.380-0113.700 | 970
P=1993 | X=0428.570-0445.210 | Y=0104.380-0113.700 | 680
P=1993 | X=0505.390-0522.030 | Y=0104.380-0113.700 | 580
P=1993 | X=0179.110-0203.110 | Y=0110.140-0119.460 | (chợ)
P=1993 | X=0090.020-0239.880 | Y=0126.290-0137.530 | 133 Đường TLT 20 Đường TLT 2
P=1993 | X=0284.260-0345.050 | Y=0126.290-0137.530 | Đường TLT 3
P=1993 | X=0381.020-0397.660 | Y=0128.170-0137.490 | 970
P=1993 | X=0428.570-0445.210 | Y=0128.170-0137.490 | 680
P=1993 | X=0505.390-0522.030 | Y=0128.170-0137.490 | 580
P=1993 | X=0090.020-0245.410 | Y=0144.290-0155.530 | 134 Đường TLT 21 Đường TLT 20
P=1993 | X=0284.260-0345.050 | Y=0144.290-0155.530 | Đường TLT 3
P=1993 | X=0381.020-0397.660 | Y=0146.170-0155.490 | 970
P=1993 | X=0428.570-0445.210 | Y=0146.170-0155.490 | 680
P=1993 | X=0505.390-0522.030 | Y=0146.170-0155.490 | 580
P=1993 | X=0090.020-0262.020 | Y=0162.290-0173.530 | 135 Đường TLT 22 Đường Quốc lộ 13
P=1993 | X=0284.260-0350.580 | Y=0162.290-0173.530 | Đường TLT 23
P=1993 | X=0381.020-0397.660 | Y=0164.170-0173.490 | 810
P=1993 | X=0428.570-0445.210 | Y=0164.170-0173.490 | 570
P=1993 | X=0505.390-0522.030 | Y=0164.170-0173.490 | 490
P=1993 | X=0284.260-0359.010 | Y=0182.170-0191.490 | Cuối tuyến (thửa
P=1993 | X=0090.020-0245.410 | Y=0191.810-0203.050 | 136 Đường TLT 22 Đường TLT 23
P=1993 | X=0284.260-0359.980 | Y=0191.810-0203.050 | đất số 35, tờ bản
P=1993 | X=0381.020-0397.660 | Y=0193.690-0203.010 | 780
P=1993 | X=0428.570-0445.210 | Y=0193.690-0203.010 | 540
P=1993 | X=0505.390-0522.030 | Y=0193.690-0203.010 | 470
P=1993 | X=0284.260-0325.800 | Y=0203.350-0214.590 | đồ số 47)
P=1993 | X=0179.110-0263.660 | Y=0221.350-0232.590 | Đường Nhà máy xi
P=1993 | X=0090.020-0173.630 | Y=0227.110-0238.350 | 137 Đường TLT 23
P=1993 | X=0284.260-0350.580 | Y=0227.110-0238.350 | Đường TLT 22
P=1993 | X=0381.020-0397.660 | Y=0228.990-0238.310 | 780
P=1993 | X=0428.570-0445.210 | Y=0228.990-0238.310 | 540
P=1993 | X=0505.390-0522.030 | Y=0228.990-0238.310 | 470
P=1993 | X=0179.110-0204.390 | Y=0232.870-0244.110 | măng
P=1993 | X=0090.020-0245.410 | Y=0250.870-0262.110 | 138 Đường TLT 24 Đường TLT 23
P=1993 | X=0284.260-0350.580 | Y=0250.870-0262.110 | Đường TLT 22
P=1993 | X=0381.020-0397.660 | Y=0252.750-0262.070 | 780
P=1993 | X=0428.570-0445.210 | Y=0252.750-0262.070 | 540
P=1993 | X=0505.390-0522.030 | Y=0252.750-0262.070 | 470
P=1993 | X=0090.020-0245.410 | Y=0268.870-0280.110 | 139 Đường TLT 25 Đường TLT 22
P=1993 | X=0284.260-0350.580 | Y=0268.870-0280.110 | Đường TLT 24
P=1993 | X=0381.020-0397.660 | Y=0270.750-0280.070 | 780
P=1993 | X=0428.570-0445.210 | Y=0270.750-0280.070 | 540
P=1993 | X=0505.390-0522.030 | Y=0270.750-0280.070 | 470
P=1993 | X=0179.110-0269.180 | Y=0286.900-0298.140 | Đường TLT 4 (Vòng
P=1993 | X=0090.020-0173.630 | Y=0292.660-0303.900 | 140 Đường TLT 26
P=1993 | X=0284.260-0345.050 | Y=0292.660-0303.900 | Đường TLT 5
P=1993 | X=0381.020-0397.660 | Y=0294.540-0303.860 | 810
P=1993 | X=0428.570-0445.210 | Y=0294.540-0303.860 | 570
P=1993 | X=0505.390-0522.030 | Y=0294.540-0303.860 | 490
P=1993 | X=0179.110-0254.240 | Y=0298.420-0309.660 | quanh Đài liệt sĩ)
P=1993 | X=0090.020-0262.020 | Y=0316.420-0327.660 | 141 Đường TLT 27 Đường Quốc lộ 13
P=1993 | X=0284.260-0350.580 | Y=0316.420-0327.660 | Đường TLT 28
P=1993 | X=0372.860-0397.910 | Y=0318.300-0327.620 | 1.200
P=1993 | X=0428.570-0445.210 | Y=0318.300-0327.620 | 850
P=1993 | X=0505.390-0522.030 | Y=0318.300-0327.620 | 730
P=1993 | X=0090.020-0245.410 | Y=0334.420-0345.660 | 142 Đường TLT 27 Đường TLT 28
P=1993 | X=0284.260-0350.580 | Y=0334.420-0345.660 | Đường TLT 43
P=1993 | X=0381.020-0397.660 | Y=0336.300-0345.620 | 970
P=1993 | X=0428.570-0445.210 | Y=0336.300-0345.620 | 680
P=1993 | X=0505.390-0522.030 | Y=0336.300-0345.620 | 580
P=1993 | X=0090.020-0245.410 | Y=0352.420-0363.660 | 143 Đường TLT 27 Đường TLT 43
P=1993 | X=0284.260-0345.050 | Y=0352.420-0363.660 | Đường TLT 5
P=1993 | X=0381.020-0397.660 | Y=0354.300-0363.620 | 780
P=1993 | X=0428.570-0445.210 | Y=0354.300-0363.620 | 540
P=1993 | X=0505.390-0522.030 | Y=0354.300-0363.620 | 470
P=1993 | X=0090.020-0245.410 | Y=0370.440-0381.680 | 144 Đường TLT 28 Đường TLT 27
P=1993 | X=0284.260-0345.080 | Y=0370.440-0381.680 | Đường TLT 5
P=1993 | X=0381.020-0397.660 | Y=0372.320-0381.640 | 780
P=1993 | X=0428.570-0445.210 | Y=0372.320-0381.640 | 540
P=1993 | X=0505.390-0522.030 | Y=0372.320-0381.640 | 470
P=1993 | X=0090.020-0239.880 | Y=0388.440-0399.680 | 145 Đường TLT 29 Đường TLT 5
P=1993 | X=0284.260-0350.580 | Y=0388.440-0399.680 | Đường TLT 31
P=1993 | X=0381.020-0397.660 | Y=0390.320-0399.640 | 650
P=1993 | X=0428.570-0445.210 | Y=0390.320-0399.640 | 450
P=1993 | X=0505.390-0522.030 | Y=0390.320-0399.640 | 390
P=1993 | X=0090.020-0239.880 | Y=0406.200-0417.440 | 146 Đường TLT 30 Đường TLT 5
P=1993 | X=0284.260-0345.050 | Y=0406.200-0417.440 | Đường TLT 5
P=1993 | X=0381.020-0397.660 | Y=0408.080-0417.400 | 650
P=1993 | X=0428.570-0445.210 | Y=0408.080-0417.400 | 450
P=1993 | X=0505.390-0522.030 | Y=0408.080-0417.400 | 390
P=1993 | X=0090.020-0239.880 | Y=0424.200-0435.440 | 147 Đường TLT 31 Đường TLT 5
P=1993 | X=0284.260-0350.580 | Y=0424.200-0435.440 | Đường TLT 29
P=1993 | X=0381.020-0397.660 | Y=0426.080-0435.400 | 650
P=1993 | X=0428.570-0445.210 | Y=0426.080-0435.400 | 450
P=1993 | X=0505.390-0522.030 | Y=0426.080-0435.400 | 390
P=1993 | X=0090.020-0245.410 | Y=0442.200-0453.440 | 148 Đường TLT 32 Đường TLT 31
P=1993 | X=0284.260-0350.580 | Y=0442.200-0453.440 | Đường TLT 31
P=1993 | X=0381.020-0397.660 | Y=0444.080-0453.400 | 650
P=1993 | X=0428.570-0445.210 | Y=0444.080-0453.400 | 450
P=1993 | X=0505.390-0522.030 | Y=0444.080-0453.400 | 390
P=1993 | X=0090.020-0239.880 | Y=0460.220-0471.460 | 149 Đường TLT 33 Đường TLT 2
P=1993 | X=0284.260-0345.050 | Y=0460.220-0471.460 | Đường TLT 2
P=1993 | X=0381.020-0397.660 | Y=0462.100-0471.420 | 650
P=1993 | X=0428.570-0445.210 | Y=0462.100-0471.420 | 450
P=1993 | X=0505.390-0522.030 | Y=0462.100-0471.420 | 390
P=1993 | X=0090.020-0239.880 | Y=0478.220-0489.460 | 150 Đường TLT 34 Đường TLT 2
P=1993 | X=0284.260-0346.030 | Y=0478.220-0489.460 | Đường TPT 5
P=1993 | X=0381.020-0397.660 | Y=0480.100-0489.420 | 650
P=1993 | X=0428.570-0445.210 | Y=0480.100-0489.420 | 450
P=1993 | X=0505.390-0522.030 | Y=0480.100-0489.420 | 390
P=1993 | X=0090.020-0245.410 | Y=0496.220-0507.460 | 151 Đường TLT 35 Đường TLT 34
P=1993 | X=0284.260-0350.580 | Y=0496.220-0507.460 | Đường TLT 39
P=1993 | X=0381.020-0397.660 | Y=0498.100-0507.420 | 650
P=1993 | X=0428.570-0445.210 | Y=0498.100-0507.420 | 450
P=1993 | X=0505.390-0522.030 | Y=0498.100-0507.420 | 390
P=1993 | X=0090.020-0239.880 | Y=0514.220-0525.460 | 152 Đường TLT36 Đường TLT 2
P=1993 | X=0284.260-0346.030 | Y=0514.220-0525.460 | Đường TPT 4
P=1993 | X=0381.020-0397.660 | Y=0516.100-0525.420 | 650
P=1993 | X=0428.570-0445.210 | Y=0516.100-0525.420 | 450
P=1993 | X=0505.390-0522.030 | Y=0516.100-0525.420 | 390
P=1993 | X=0090.020-0239.880 | Y=0532.220-0543.460 | 153 Đường TLT 37 Đường TLT 2
P=1993 | X=0284.260-0346.030 | Y=0532.220-0543.460 | Đường TPT 5
P=1993 | X=0381.020-0397.660 | Y=0534.100-0543.420 | 650
P=1993 | X=0428.570-0445.210 | Y=0534.100-0543.420 | 450
P=1993 | X=0505.390-0522.030 | Y=0534.100-0543.420 | 390
P=1993 | X=0090.020-0245.410 | Y=0550.250-0561.490 | 154 Đường TLT 38 Đường TLT 37
P=1993 | X=0284.260-0332.360 | Y=0552.130-0561.450 | Cuối tuyến
P=1993 | X=0381.020-0397.660 | Y=0552.130-0561.450 | 650
P=1993 | X=0428.570-0445.210 | Y=0552.130-0561.450 | 450
P=1993 | X=0505.390-0522.030 | Y=0552.130-0561.450 | 390
P=1993 | X=0090.020-0239.880 | Y=0568.250-0579.490 | 155 Đường TLT 39 Đường TLT 2
P=1993 | X=0284.260-0350.580 | Y=0568.250-0579.490 | Đường TLT 37
P=1993 | X=0381.020-0397.660 | Y=0570.130-0579.450 | 650
P=1993 | X=0428.570-0445.210 | Y=0570.130-0579.450 | 450
P=1993 | X=0505.390-0522.030 | Y=0570.130-0579.450 | 390
P=1993 | X=0090.020-0239.880 | Y=0586.250-0597.490 | 156 Đường TLT 40 Đường TLT 2
P=1993 | X=0284.260-0350.580 | Y=0586.250-0597.490 | Đường TLT 16
P=1993 | X=0381.020-0397.660 | Y=0588.130-0597.450 | 650
P=1993 | X=0428.570-0445.210 | Y=0588.130-0597.450 | 450
P=1993 | X=0505.390-0522.030 | Y=0588.130-0597.450 | 390
P=1993 | X=0090.020-0167.390 | Y=0604.250-0615.490 | 157 Đường TLT4l
P=1993 | X=0179.110-0246.390 | Y=0604.250-0615.490 | Đường ĐT 757
P=1993 | X=0284.260-0345.050 | Y=0604.250-0615.490 | Đường TLT 6
P=1993 | X=0381.020-0397.660 | Y=0606.130-0615.450 | 650
P=1993 | X=0428.570-0445.210 | Y=0606.130-0615.450 | 450
P=1993 | X=0505.390-0522.030 | Y=0606.130-0615.450 | 390
P=1993 | X=0090.020-0245.410 | Y=0622.270-0633.510 | 158 Đường TLT 42 Đường TLT 22
P=1993 | X=0284.260-0350.580 | Y=0622.270-0633.510 | Đường TLT 29
P=1993 | X=0381.020-0397.660 | Y=0624.150-0633.470 | 650
P=1993 | X=0428.570-0445.210 | Y=0624.150-0633.470 | 450
P=1993 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 390
