TABLE=064 | AREA=Phường Phước Long | SECTION=non-agricultural | SEGMENTS=1
P=2011 | X=0092.900-0104.020 | Y=0694.470-0703.790 | 39
P=2011 | X=0392.540-0417.590 | Y=0694.470-0703.790 | 2.600
P=2011 | X=0442.490-0467.540 | Y=0694.470-0703.790 | 1.800
P=2011 | X=0497.230-0522.280 | Y=0694.470-0703.790 | 1.500
P=2011 | X=0107.330-0141.910 | Y=0698.350-0709.590 | Văn Cừ
P=2011 | X=0193.990-0263.940 | Y=0698.350-0709.590 | tờ bản đồ số 04
P=2011 | X=0289.060-0309.290 | Y=0698.350-0709.590 | Tĩnh
P=2012 | X=0193.990-0371.950 | Y=0078.740-0089.980 | Ngã ba đường Hàm Đường Trần Hưng
P=2012 | X=0092.900-0183.000 | Y=0084.500-0095.740 | 40 Đường Trần Phú
P=2012 | X=0392.540-0417.590 | Y=0086.380-0095.700 | 3.400
P=2012 | X=0442.490-0467.540 | Y=0086.380-0095.700 | 2.400
P=2012 | X=0497.230-0522.280 | Y=0086.380-0095.700 | 2.000
P=2012 | X=0289.060-0307.400 | Y=0090.260-0101.500 | Đạo
P=2012 | X=0193.990-0214.480 | Y=0092.140-0101.460 | Nghi
P=2012 | X=0092.900-0244.260 | Y=0108.260-0119.500 | 41 Đường Thanh Niên Toàn tuyến
P=2012 | X=0392.540-0417.590 | Y=0110.140-0119.460 | 3.100
P=2012 | X=0442.490-0467.540 | Y=0110.140-0119.460 | 2.100
P=2012 | X=0497.230-0522.280 | Y=0110.140-0119.460 | 1.800
P=2012 | X=0193.990-0284.830 | Y=0126.290-0137.530 | Ngã ba Giáp Đường
P=2012 | X=0107.330-0182.310 | Y=0132.050-0143.290 | Đường Phan Bội
P=2012 | X=0193.990-0255.780 | Y=0137.810-0149.050 | 6/1 và Đường
P=2012 | X=0289.060-0370.120 | Y=0137.810-0149.050 | Đường Nguyễn Xí
P=2012 | X=0092.900-0104.020 | Y=0139.690-0149.010 | 42
P=2012 | X=0392.540-0417.590 | Y=0139.690-0149.010 | 3.400
P=2012 | X=0442.490-0467.540 | Y=0139.690-0149.010 | 2.400
P=2012 | X=0497.230-0522.280 | Y=0139.690-0149.010 | 2.000
P=2012 | X=0107.330-0131.190 | Y=0145.450-0154.770 | Châu
P=2012 | X=0193.990-0276.900 | Y=0151.210-0160.530 | Nguyễn Tất Thành
P=2012 | X=0193.990-0266.340 | Y=0167.330-0178.570 | Đường Hồ Long
P=2012 | X=0289.060-0378.680 | Y=0167.330-0178.570 | Đường Nguyễn Văn
P=2012 | X=0092.900-0185.910 | Y=0173.090-0184.330 | 43 Đường Kim Đảng
P=2012 | X=0392.540-0417.590 | Y=0174.970-0184.290 | 3.400
P=2012 | X=0442.490-0467.540 | Y=0174.970-0184.290 | 2.400
P=2012 | X=0497.230-0522.280 | Y=0174.970-0184.290 | 2.000
P=2012 | X=0193.990-0216.310 | Y=0180.730-0190.050 | Thủy
P=2012 | X=0289.060-0310.490 | Y=0180.730-0190.050 | Giáp
P=2012 | X=0092.900-0179.680 | Y=0196.850-0208.090 | 44 Đường Bà Triệu
P=2012 | X=0193.990-0244.260 | Y=0198.730-0208.050 | Toàn tuyến
P=2012 | X=0392.540-0417.590 | Y=0198.730-0208.050 | 3.100
P=2012 | X=0442.490-0467.540 | Y=0198.730-0208.050 | 2.100
P=2012 | X=0497.230-0522.280 | Y=0198.730-0208.050 | 1.800
P=2012 | X=0107.330-0175.340 | Y=0214.870-0226.110 | Đường Cao Bá
P=2012 | X=0092.900-0104.020 | Y=0222.510-0231.830 | 45
P=2012 | X=0193.990-0244.260 | Y=0222.510-0231.830 | Toàn tuyến
P=2012 | X=0392.540-0417.590 | Y=0222.510-0231.830 | 3.100
P=2012 | X=0442.490-0467.540 | Y=0222.510-0231.830 | 2.100
P=2012 | X=0497.230-0522.280 | Y=0222.510-0231.830 | 1.800
P=2012 | X=0107.330-0129.090 | Y=0228.270-0237.590 | Quát
P=2012 | X=0107.330-0189.250 | Y=0244.390-0255.630 | Đường Phan Đình
P=2012 | X=0092.900-0104.020 | Y=0251.790-0261.110 | 46
P=2012 | X=0193.990-0244.260 | Y=0251.790-0261.110 | Toàn tuyến
P=2012 | X=0392.540-0417.590 | Y=0251.790-0261.110 | 3.100
P=2012 | X=0442.490-0467.540 | Y=0251.790-0261.110 | 2.100
P=2012 | X=0497.230-0522.280 | Y=0251.790-0261.110 | 1.800
P=2012 | X=0107.330-0125.720 | Y=0257.550-0266.870 | Giót
P=2012 | X=0107.330-0171.260 | Y=0273.670-0284.910 | Đường Hoàng
P=2012 | X=0092.900-0104.020 | Y=0281.310-0290.630 | 47
P=2012 | X=0193.990-0244.260 | Y=0281.310-0290.630 | Toàn tuyến
P=2012 | X=0392.540-0417.590 | Y=0281.310-0290.630 | 2.600
P=2012 | X=0442.490-0467.540 | Y=0281.310-0290.630 | 1.800
P=2012 | X=0497.230-0522.280 | Y=0281.310-0290.630 | 1.500
P=2012 | X=0107.330-0128.050 | Y=0287.100-0296.420 | Diệu
P=2012 | X=0107.330-0176.310 | Y=0303.220-0314.460 | Đường Nguyễn
P=2012 | X=0193.990-0284.830 | Y=0303.220-0314.460 | Ngã ba Giáp Đường
P=2012 | X=0289.060-0370.120 | Y=0308.980-0320.220 | Đường Nguyễn Xí
P=2012 | X=0092.900-0104.020 | Y=0310.860-0320.180 | 48
P=2012 | X=0392.540-0417.590 | Y=0310.860-0320.180 | 3.400
P=2012 | X=0442.490-0467.540 | Y=0310.860-0320.180 | 2.400
P=2012 | X=0497.230-0522.280 | Y=0310.860-0320.180 | 2.000
P=2012 | X=0107.330-0149.170 | Y=0314.740-0325.980 | Văn Giáp
P=2012 | X=0193.990-0256.900 | Y=0316.620-0325.940 | Hồ Long Thủy
P=2012 | X=0107.330-0176.310 | Y=0332.740-0343.980 | Đường Nguyễn
P=2012 | X=0289.060-0364.770 | Y=0332.740-0343.980 | Hết tuyến đường
P=2012 | X=0193.990-0275.060 | Y=0338.500-0349.740 | Đường Nguyễn Xí
P=2012 | X=0092.900-0104.020 | Y=0340.380-0349.700 | 49
P=2012 | X=0392.540-0417.590 | Y=0340.380-0349.700 | 3.100
P=2012 | X=0442.490-0467.540 | Y=0340.380-0349.700 | 2.100
P=2012 | X=0497.230-0522.280 | Y=0340.380-0349.700 | 1.800
P=2012 | X=0107.330-0149.160 | Y=0344.260-0355.500 | Văn Giáp
P=2012 | X=0289.060-0312.440 | Y=0346.140-0355.460 | nhựa
P=2012 | X=0107.330-0180.390 | Y=0362.260-0373.500 | Đường Nối Trần
P=2012 | X=0193.990-0379.910 | Y=0368.040-0379.280 | Ngã ba Giáp đường Ngã ba Giáp Đường
P=2012 | X=0092.900-0173.880 | Y=0375.680-0385.000 | 50 Quang Khải và
P=2012 | X=0392.540-0417.590 | Y=0375.680-0385.000 | 2.900
P=2012 | X=0442.490-0467.540 | Y=0375.680-0385.000 | 2.000
P=2012 | X=0497.230-0522.280 | Y=0375.680-0385.000 | 1.700
P=2012 | X=0289.060-0364.300 | Y=0379.560-0390.800 | Nguyễn Văn Trỗi
P=2012 | X=0193.990-0270.180 | Y=0381.440-0390.760 | Trần Quang Khải
P=2012 | X=0107.330-0182.550 | Y=0385.320-0396.560 | Nguyễn Văn Trỗi
P=2012 | X=0107.330-0175.320 | Y=0403.320-0414.560 | Đường hẻm Lê
P=2012 | X=0107.330-0183.730 | Y=0414.840-0426.080 | Văn Duyệt (Cách
P=2012 | X=0193.990-0283.150 | Y=0420.600-0431.840 | Ngã ba Giáp đường
P=2012 | X=0092.900-0188.320 | Y=0428.240-0437.560 | 51 ngã ba Lý Thái Tổ
P=2012 | X=0289.060-0332.130 | Y=0428.240-0437.560 | Hết tuyến
P=2012 | X=0392.540-0417.590 | Y=0428.240-0437.560 | 3.100
P=2012 | X=0442.490-0467.540 | Y=0428.240-0437.560 | 2.100
P=2012 | X=0497.230-0522.280 | Y=0428.240-0437.560 | 1.800
P=2012 | X=0193.990-0254.660 | Y=0432.120-0443.360 | Lê Văn Duyệt
P=2012 | X=0107.330-0181.430 | Y=0437.880-0449.120 | và Lê Văn Duyệt
P=2012 | X=0107.330-0130.360 | Y=0451.300-0460.620 | 50m)
P=2012 | X=0107.330-0176.780 | Y=0467.420-0478.660 | Đường vào sân
P=2012 | X=0193.990-0284.830 | Y=0467.420-0478.660 | Ngã ba Giáp Đường
P=2012 | X=0289.060-0376.070 | Y=0473.180-0484.420 | Ranh sân vận động
P=2012 | X=0092.900-0104.020 | Y=0475.060-0484.380 | 52
P=2012 | X=0392.540-0417.590 | Y=0475.060-0484.380 | 2.900
P=2012 | X=0442.490-0467.540 | Y=0475.060-0484.380 | 2.000
P=2012 | X=0497.230-0522.270 | Y=0475.060-0484.380 | 1.700
P=2012 | X=0107.330-0148.700 | Y=0478.940-0490.180 | vận động
P=2012 | X=0193.990-0254.660 | Y=0478.940-0490.180 | Lê Văn Duyệt
P=2012 | X=0107.330-0165.740 | Y=0496.940-0508.180 | Đường Hùng
P=2012 | X=0193.990-0365.480 | Y=0496.940-0508.180 | Từ Đường Hồ Long Cầu giáp ranh xã
P=2012 | X=0092.900-0104.020 | Y=0504.580-0513.900 | 53
P=2012 | X=0392.540-0417.590 | Y=0504.580-0513.900 | 2.900
P=2012 | X=0442.490-0467.540 | Y=0504.580-0513.900 | 2.000
P=2012 | X=0497.230-0522.280 | Y=0504.580-0513.900 | 1.700
P=2012 | X=0107.330-0138.610 | Y=0508.220-0519.460 | Vương
P=2012 | X=0289.060-0361.050 | Y=0508.220-0519.460 | Long Giang (cũ)
P=2012 | X=0193.990-0216.310 | Y=0510.100-0519.420 | Thủy
P=2012 | X=0107.330-0173.150 | Y=0526.220-0537.460 | Đường hẻm ra
P=2012 | X=0107.330-0190.200 | Y=0537.770-0549.010 | Đường Trần Hưng
P=2012 | X=0092.900-0104.020 | Y=0545.410-0554.730 | 54
P=2012 | X=0193.990-0244.260 | Y=0545.410-0554.730 | Toàn tuyến
P=2012 | X=0392.540-0417.590 | Y=0545.410-0554.730 | 2.900
P=2012 | X=0442.490-0467.540 | Y=0545.410-0554.730 | 2.000
P=2012 | X=0497.230-0522.280 | Y=0545.410-0554.730 | 1.700
P=2012 | X=0107.330-0187.530 | Y=0549.290-0560.530 | Đạo về đường Tự
P=2012 | X=0107.330-0120.130 | Y=0562.690-0572.010 | Do
P=2012 | X=0107.330-0162.610 | Y=0578.810-0590.050 | Đường Trần
P=2012 | X=0193.990-0266.340 | Y=0584.570-0595.810 | Đường Hồ Long
P=2012 | X=0289.060-0361.400 | Y=0584.570-0595.810 | Đường Lê Hồng
P=2012 | X=0092.900-0179.670 | Y=0592.210-0601.530 | 55 Quang Khải (nối
P=2012 | X=0392.540-0417.580 | Y=0592.210-0601.530 | 3.000
P=2012 | X=0442.490-0467.540 | Y=0592.210-0601.530 | 2.100
P=2012 | X=0497.230-0522.280 | Y=0592.210-0601.530 | 1.800
P=2012 | X=0193.990-0216.310 | Y=0597.970-0607.290 | Thủy
P=2012 | X=0289.060-0317.950 | Y=0597.970-0607.290 | Phong
P=2012 | X=0107.330-0124.120 | Y=0603.730-0613.050 | dài)
P=2012 | X=0289.060-0374.950 | Y=0619.870-0631.110 | Hối tuyến (thửa đất
P=2012 | X=0107.330-0167.810 | Y=0625.630-0636.870 | Đường Phạm
P=2012 | X=0193.990-0287.460 | Y=0625.630-0636.870 | Đường Xô Viết Nghệ
P=2012 | X=0289.060-0375.340 | Y=0631.390-0642.630 | số 44, tờ bản đồ số
P=2012 | X=0092.900-0104.020 | Y=0633.270-0642.590 | 56
P=2012 | X=0392.540-0417.590 | Y=0633.270-0642.590 | 1.700
P=2012 | X=0442.490-0467.540 | Y=0633.270-0642.590 | 1.200
P=2012 | X=0497.230-0522.280 | Y=0633.270-0642.590 | 1.000
P=2012 | X=0193.990-0214.220 | Y=0637.150-0648.390 | Tĩnh
P=2012 | X=0107.330-0153.480 | Y=0639.030-0648.350 | Hồng Thái
P=2012 | X=0289.060-0303.460 | Y=0644.790-0654.110 | 05)
P=2012 | X=0289.060-0358.770 | Y=0660.910-0672.150 | Đến hết Đường
P=2012 | X=0193.990-0283.620 | Y=0666.670-0677.910 | Đường Nguyễn Văn
P=2012 | X=0092.900-0188.390 | Y=0672.430-0683.670 | 57 Đường Nguyễn Xí
P=2012 | X=0289.060-0379.910 | Y=0674.310-0683.630 | nhựa (giáp ranh bến
P=2012 | X=0392.540-0417.590 | Y=0674.310-0683.630 | 3.000
P=2012 | X=0442.490-0467.540 | Y=0674.310-0683.630 | 2.100
P=2012 | X=0497.230-0522.280 | Y=0674.310-0683.630 | 1.800
P=2012 | X=0193.990-0215.420 | Y=0680.070-0689.390 | Giáp
P=2012 | X=0289.060-0303.210 | Y=0685.830-0695.150 | xe)
P=2012 | X=0092.900-0353.250 | Y=0701.970-0713.210 | 58 Đường Cù Chính Đường Cách Mạng Đến Hết tuyến
P=2012 | X=0392.540-0417.590 | Y=0703.860-0713.180 | 1.700
P=2012 | X=0442.490-0467.540 | Y=0703.860-0713.180 | 1.200
P=2012 | X=0497.230-0522.280 | Y=0703.860-0713.180 | 1.000
P=2013 | X=0107.330-0123.970 | Y=0074.620-0083.940 | Lan
P=2013 | X=0193.990-0245.100 | Y=0074.620-0083.940 | Tháng Tám
P=2013 | X=0107.330-0181.350 | Y=0090.740-0101.980 | Đường Hồ Huân
P=2013 | X=0193.990-0242.550 | Y=0096.500-0107.740 | Đường 6/1
P=2013 | X=0289.060-0353.250 | Y=0096.500-0107.740 | Đến Hết tuyến
P=2013 | X=0092.900-0104.020 | Y=0098.380-0107.700 | 59
P=2013 | X=0392.540-0417.590 | Y=0098.380-0107.700 | 1.300
P=2013 | X=0450.650-0467.290 | Y=0098.380-0107.700 | 890
P=2013 | X=0505.390-0522.030 | Y=0098.380-0107.700 | 770
P=2013 | X=0107.330-0139.090 | Y=0104.140-0113.460 | Nghiệp
P=2013 | X=0107.330-0260.310 | Y=0120.290-0131.530 | Đường nhựa bên Đường Lê Văn
P=2013 | X=0289.060-0361.400 | Y=0120.290-0131.530 | Đường Hồ Long
P=2013 | X=0092.900-0104.020 | Y=0127.930-0137.250 | 60
P=2013 | X=0392.540-0417.590 | Y=0127.930-0137.250 | 3.000
P=2013 | X=0442.490-0467.540 | Y=0127.930-0137.250 | 2.100
P=2013 | X=0497.230-0522.280 | Y=0127.930-0137.250 | 1.800
P=2013 | X=0107.330-0220.070 | Y=0131.810-0143.050 | hông sân vận động Duyệt
P=2013 | X=0289.060-0311.400 | Y=0133.690-0143.010 | Thủy
P=2013 | X=0107.330-0184.720 | Y=0149.810-0161.050 | Đường nhựa đấu
P=2013 | X=0092.900-0244.260 | Y=0161.330-0172.570 | 61 nối ra Đường bên Toàn tuyến
P=2013 | X=0392.540-0417.590 | Y=0163.210-0172.530 | 2.600
P=2013 | X=0442.490-0467.540 | Y=0163.210-0172.530 | 1.800
P=2013 | X=0497.230-0522.280 | Y=0163.210-0172.530 | 1.500
P=2013 | X=0107.330-0192.640 | Y=0172.850-0184.090 | hông sân vận động
P=2013 | X=0107.330-0183.510 | Y=0190.850-0202.090 | Đường bên hông
P=2013 | X=0289.060-0377.560 | Y=0190.850-0202.090 | Thửa đất số 193, tờ
P=2013 | X=0193.990-0275.940 | Y=0196.610-0207.850 | Đường Lý Thái Tổ
P=2013 | X=0092.900-0104.020 | Y=0198.490-0207.810 | 62
P=2013 | X=0392.540-0417.590 | Y=0198.490-0207.810 | 1.700
P=2013 | X=0442.490-0467.540 | Y=0198.490-0207.810 | 1.200
P=2013 | X=0497.230-0522.280 | Y=0198.490-0207.810 | 1.000
P=2013 | X=0289.060-0346.760 | Y=0202.390-0213.630 | bản đồ số 03
P=2013 | X=0107.330-0174.130 | Y=0204.270-0213.590 | công an PCCC
P=2013 | X=0107.330-0174.290 | Y=0220.390-0231.630 | Đường Lê Quý
P=2013 | X=0289.060-0366.470 | Y=0220.390-0231.630 | Giáp đường Trần
P=2013 | X=0193.990-0266.580 | Y=0225.910-0237.150 | Giáp Đường 6/1
P=2013 | X=0092.900-0104.020 | Y=0227.790-0237.110 | 63
P=2013 | X=0392.540-0417.590 | Y=0227.790-0237.110 | 7.100
P=2013 | X=0442.490-0467.540 | Y=0227.790-0237.110 | 4.900
P=2013 | X=0497.230-0522.280 | Y=0227.790-0237.110 | 4.200
P=2013 | X=0107.330-0125.660 | Y=0231.670-0242.910 | Đôn
P=2013 | X=0289.060-0335.240 | Y=0231.670-0242.910 | Hưng Đạo
P=2013 | X=0289.060-0383.740 | Y=0251.550-0260.870 | Hết ranh nhà trẻ Tuổi
P=2013 | X=0107.330-0174.290 | Y=0261.190-0272.430 | Đường Lê Quý
P=2013 | X=0193.990-0273.070 | Y=0261.190-0272.430 | Giáp Đường Trần
P=2013 | X=0289.060-0377.980 | Y=0261.190-0272.430 | Thơ (thửa đất số 12
P=2013 | X=0092.900-0104.020 | Y=0268.830-0278.150 | 64
P=2013 | X=0392.540-0417.590 | Y=0268.830-0278.150 | 2.900
P=2013 | X=0442.490-0467.540 | Y=0268.830-0278.150 | 2.000
P=2013 | X=0497.230-0522.280 | Y=0268.830-0278.150 | 1.700
P=2013 | X=0107.330-0125.660 | Y=0272.710-0283.950 | Đôn
P=2013 | X=0193.990-0240.180 | Y=0272.710-0283.950 | Hưng Đạo
P=2013 | X=0289.060-0373.030 | Y=0272.710-0283.950 | và Thửa đất số 64,
P=2013 | X=0289.060-0367.800 | Y=0284.260-0295.500 | tờ bản đồ số 125)
P=2013 | X=0193.990-0288.660 | Y=0304.140-0313.460 | Hết ranh nhà trẻ Tuổi
P=2013 | X=0107.330-0174.290 | Y=0313.780-0325.020 | Đường Lê Quý
P=2013 | X=0193.990-0366.430 | Y=0313.780-0325.020 | Thơ (thửa đất, số 12 Giáp đường Đinh
P=2013 | X=0092.900-0104.020 | Y=0321.420-0330.740 | 65
P=2013 | X=0392.540-0417.590 | Y=0321.420-0330.740 | 2.600
P=2013 | X=0442.490-0467.540 | Y=0321.420-0330.740 | 1.800
P=2013 | X=0497.230-0522.280 | Y=0321.420-0330.740 | 1.500
P=2013 | X=0107.330-0125.660 | Y=0325.300-0336.540 | Đôn
P=2013 | X=0193.990-0332.060 | Y=0325.300-0336.540 | và thửa đất số 64, tờ Công Trứ
P=2013 | X=0193.990-0260.500 | Y=0336.820-0348.060 | bản đồ số 125)
P=2013 | X=0107.330-0273.050 | Y=0354.820-0366.060 | Đường Nội ô chợ Giáp Đường Đinh
P=2013 | X=0289.060-0361.640 | Y=0360.580-0371.820 | Giáp Đường 6/1
P=2013 | X=0092.900-0104.020 | Y=0362.460-0371.780 | 66
P=2013 | X=0392.540-0417.590 | Y=0362.460-0371.780 | 9.800
P=2013 | X=0442.490-0467.540 | Y=0362.460-0371.780 | 6.800
P=2013 | X=0497.230-0522.280 | Y=0362.460-0371.780 | 5.900
P=2013 | X=0107.330-0163.100 | Y=0366.360-0377.600 | Phước Long
P=2013 | X=0193.990-0245.900 | Y=0368.240-0377.560 | Tiên Hoàng
P=2013 | X=0107.330-0377.750 | Y=0384.360-0395.600 | Đường Nguyễn Tất Ngã ba giao Đường Ngã ba giao Đường
P=2013 | X=0092.900-0104.020 | Y=0392.000-0401.320 | 67
P=2013 | X=0392.540-0417.590 | Y=0392.000-0401.320 | 5.800
P=2013 | X=0442.490-0467.540 | Y=0392.000-0401.320 | 4.000
P=2013 | X=0497.230-0522.280 | Y=0392.000-0401.320 | 3.500
P=2013 | X=0193.990-0246.980 | Y=0395.880-0407.120 | Võ Văn Kiệt
P=2013 | X=0289.060-0359.240 | Y=0395.880-0407.120 | Tôn Đức Thắng
P=2013 | X=0107.330-0135.740 | Y=0397.760-0407.080 | Thành
P=2013 | X=0107.330-0282.670 | Y=0413.880-0425.120 | Đường Nguyễn Tất Ngã ba giao Đường
P=2013 | X=0092.900-0104.020 | Y=0421.520-0430.840 | 68
P=2013 | X=0289.060-0357.080 | Y=0421.520-0430.840 | Cầu Suối Dung
P=2013 | X=0392.540-0417.590 | Y=0421.520-0430.840 | 5.100
P=2013 | X=0442.490-0467.540 | Y=0421.520-0430.840 | 3.600
P=2013 | X=0497.230-0522.280 | Y=0421.520-0430.840 | 3.100
P=2013 | X=0193.990-0264.180 | Y=0425.400-0436.640 | Tôn Đức Thắng
P=2013 | X=0107.330-0135.740 | Y=0427.280-0436.600 | Thành
P=2013 | X=0193.990-0288.900 | Y=0445.280-0454.600 | Cầu Suối Dung (thửa
P=2013 | X=0107.330-0193.680 | Y=0449.180-0460.420 | Đường Nguyễn Tất
P=2013 | X=0289.060-0377.740 | Y=0449.180-0460.420 | Ngã ba đường Trần
P=2013 | X=0193.990-0278.110 | Y=0454.940-0466.180 | đất số 2, tờ bản đồ
P=2013 | X=0092.900-0104.020 | Y=0456.820-0466.140 | 69
P=2013 | X=0392.540-0417.590 | Y=0456.820-0466.140 | 8.500
P=2013 | X=0442.490-0467.540 | Y=0456.820-0466.140 | 6.000
P=2013 | X=0497.230-0522.280 | Y=0456.820-0466.140 | 5.100
P=2013 | X=0289.060-0335.240 | Y=0460.700-0471.940 | Hưng Đạo
P=2013 | X=0107.330-0135.740 | Y=0462.580-0471.900 | Thành
P=2013 | X=0193.990-0227.110 | Y=0468.100-0477.420 | số 116)
P=2013 | X=0289.060-0358.280 | Y=0484.220-0495.460 | Tượng Đức Mẹ
P=2013 | X=0107.330-0273.070 | Y=0489.980-0501.220 | Đường Nguyễn Tất Giáp Đường Trần
P=2013 | X=0289.060-0372.030 | Y=0495.740-0506.980 | (thửa đất số 78, tờ
P=2013 | X=0092.900-0104.020 | Y=0497.620-0506.940 | 70
P=2013 | X=0392.540-0417.590 | Y=0497.620-0506.940 | 6.000
P=2013 | X=0442.490-0467.540 | Y=0497.620-0506.940 | 4.200
P=2013 | X=0497.230-0522.280 | Y=0497.620-0506.940 | 3.600
P=2013 | X=0193.990-0240.180 | Y=0501.500-0512.740 | Hưng Đạo
P=2013 | X=0107.330-0135.740 | Y=0503.380-0512.700 | Thành
P=2013 | X=0289.060-0350.040 | Y=0507.260-0518.500 | bản đồ số 62)
P=2013 | X=0193.990-0263.220 | Y=0525.260-0536.500 | Tượng Đức Mẹ
P=2013 | X=0107.330-0193.680 | Y=0531.020-0542.260 | Đường Nguyễn Tất
P=2013 | X=0193.990-0276.950 | Y=0536.810-0548.050 | (thửa đất số 78, tờ
P=2013 | X=0092.900-0104.020 | Y=0538.690-0548.010 | 71
P=2013 | X=0289.060-0349.410 | Y=0538.690-0548.010 | Cầu Thác Mẹ
P=2013 | X=0392.540-0417.590 | Y=0538.690-0548.010 | 2.600
P=2013 | X=0442.490-0467.540 | Y=0538.690-0548.010 | 1.800
P=2013 | X=0497.230-0522.280 | Y=0538.690-0548.010 | 1.500
P=2013 | X=0107.330-0135.740 | Y=0544.450-0553.770 | Thành
P=2013 | X=0193.990-0254.980 | Y=0548.330-0559.570 | bản đồ số 62)
P=2013 | X=0107.330-0193.680 | Y=0566.330-0577.570 | Đường Nguyễn Tất
P=2013 | X=0289.060-0367.130 | Y=0568.210-0577.530 | Giáp ranh xã Phú
P=2013 | X=0092.900-0104.020 | Y=0573.970-0583.290 | 72
P=2013 | X=0193.990-0254.350 | Y=0573.970-0583.290 | Cầu Thác Mẹ
P=2013 | X=0392.540-0417.590 | Y=0573.970-0583.290 | 2.000
P=2013 | X=0442.490-0467.540 | Y=0573.970-0583.290 | 1.400
P=2013 | X=0497.230-0522.280 | Y=0573.970-0583.290 | 1.200
P=2013 | X=0289.060-0315.780 | Y=0577.850-0589.090 | Nghĩa
P=2013 | X=0107.330-0135.740 | Y=0579.730-0589.050 | Thành
P=2013 | X=0193.990-0379.810 | Y=0595.850-0607.090 | Giáp Đường Nguyễn Giáp Đường Lê Quý
P=2013 | X=0092.900-0192.640 | Y=0601.610-0612.850 | 73 Đường Ngô Quyền
P=2013 | X=0392.540-0417.580 | Y=0603.490-0612.810 | 3.400
P=2013 | X=0442.490-0467.540 | Y=0603.490-0612.810 | 2.400
P=2013 | X=0497.230-0522.280 | Y=0603.490-0612.810 | 2.000
P=2013 | X=0289.060-0307.390 | Y=0607.370-0618.610 | Đôn
P=2013 | X=0193.990-0239.670 | Y=0609.250-0618.570 | Tất Thành
P=2013 | X=0107.330-0176.310 | Y=0625.390-0636.630 | Đường Nguyễn
P=2013 | X=0193.990-0273.050 | Y=0625.390-0636.630 | Giáp Đường Đinh
P=2013 | X=0289.060-0368.150 | Y=0625.390-0636.630 | Giáp Đường Trần
P=2013 | X=0092.900-0104.020 | Y=0633.030-0642.350 | 74
P=2013 | X=0392.540-0417.590 | Y=0633.030-0642.350 | 2.900
P=2013 | X=0442.490-0467.540 | Y=0633.030-0642.350 | 2.000
P=2013 | X=0497.230-0522.280 | Y=0633.030-0642.350 | 1.700
P=2013 | X=0289.060-0335.240 | Y=0636.910-0648.150 | Hưng Đạo
P=2013 | X=0107.330-0154.210 | Y=0638.790-0648.110 | Chí Thanh
P=2013 | X=0193.990-0245.900 | Y=0638.790-0648.110 | Tiên Hoàng
P=2013 | X=0289.060-0379.910 | Y=0656.790-0666.110 | Hết tuyến nhựa hiện
P=2013 | X=0289.060-0380.470 | Y=0666.430-0677.670 | hữu (thửa đất số 03,
P=2013 | X=0107.330-0285.300 | Y=0672.190-0683.430 | Đường Đinh Công Giáp đường Nguyễn
P=2013 | X=0289.060-0378.210 | Y=0677.950-0689.190 | tờ bản đồ số 122 và
P=2013 | X=0092.900-0104.020 | Y=0679.830-0689.150 | 75
P=2013 | X=0392.540-0417.590 | Y=0679.830-0689.150 | 2.400
P=2013 | X=0442.490-0467.540 | Y=0679.830-0689.150 | 1.700
P=2013 | X=0497.230-0522.280 | Y=0679.830-0689.150 | 1.400
P=2013 | X=0107.330-0123.670 | Y=0685.590-0694.910 | Trứ
P=2013 | X=0193.990-0239.670 | Y=0685.590-0694.910 | Tất Thành
P=2013 | X=0289.060-0368.670 | Y=0689.470-0700.710 | thửa đất số 25, tờ
P=2013 | X=0289.060-0350.040 | Y=0700.770-0712.010 | bản đồ số 54)
P=2014 | X=0092.900-0179.670 | Y=0078.740-0089.980 | 76 Đường Yên Thế
P=2014 | X=0193.990-0244.260 | Y=0080.620-0089.940 | Toàn tuyến
P=2014 | X=0392.540-0417.590 | Y=0080.620-0089.940 | 2.000
P=2014 | X=0442.490-0467.540 | Y=0080.620-0089.940 | 1.400
P=2014 | X=0497.230-0522.280 | Y=0080.620-0089.940 | 1.200
P=2014 | X=0193.990-0374.380 | Y=0096.740-0107.980 | Giáp Đường Nguyễn Đập tràn Thủy điện
P=2014 | X=0092.900-0170.070 | Y=0102.500-0113.740 | 77 Đường Lê Lợi
P=2014 | X=0392.540-0417.590 | Y=0104.380-0113.700 | 1.700
P=2014 | X=0442.490-0467.540 | Y=0104.380-0113.700 | 1.200
P=2014 | X=0497.230-0522.280 | Y=0104.380-0113.700 | 1.000
P=2014 | X=0289.060-0329.030 | Y=0108.260-0119.500 | Thác Mơ
P=2014 | X=0193.990-0239.670 | Y=0110.140-0119.460 | Tất Thành
P=2014 | X=0107.330-0176.310 | Y=0126.290-0137.530 | Đường Nguyễn
P=2014 | X=0193.990-0368.150 | Y=0126.290-0137.530 | Giáp Đường Nguyễn Giáp Đường Trần
P=2014 | X=0092.900-0104.020 | Y=0133.930-0143.250 | 78
P=2014 | X=0392.540-0417.590 | Y=0133.930-0143.250 | 1.800
P=2014 | X=0442.490-0467.540 | Y=0133.930-0143.250 | 1.200
P=2014 | X=0497.230-0522.270 | Y=0133.930-0143.250 | 1.100
P=2014 | X=0107.330-0156.850 | Y=0137.810-0149.050 | Văn Huyên
