TABLE=081 | AREA=Xã Bù Đăng | SECTION=non-agricultural | SEGMENTS=1
P=2088 | X=0391.100-0407.740 | Y=0285.420-0294.740 | 560
P=2088 | X=0436.730-0453.370 | Y=0285.420-0294.740 | 390
P=2088 | X=0505.390-0522.030 | Y=0285.420-0294.740 | 340
P=2088 | X=0206.470-0290.070 | Y=0291.180-0300.500 | Thịnh (thôn 3 Minh
P=2088 | X=0107.330-0181.950 | Y=0295.060-0306.300 | 7 Minh Hưng cũ)
P=2088 | X=0291.240-0325.080 | Y=0295.060-0306.300 | đồ 124)
P=2088 | X=0206.470-0248.220 | Y=0300.820-0312.060 | Hưng cũ)
P=2088 | X=0107.330-0185.670 | Y=0318.820-0330.060 | Đường xâm nhập
P=2088 | X=0291.240-0365.460 | Y=0324.580-0335.820 | Khu dân cư thôn
P=2088 | X=0107.330-0180.840 | Y=0330.340-0341.580 | nhựa thôn Hưng
P=2088 | X=0206.470-0273.780 | Y=0336.100-0347.340 | Đường ĐT 760
P=2088 | X=0291.240-0378.200 | Y=0336.100-0347.340 | Hưng Thịnh (thôn 3
P=2088 | X=0092.900-0104.020 | Y=0337.980-0347.300 | 95
P=2088 | X=0391.100-0407.740 | Y=0337.980-0347.300 | 560
P=2088 | X=0436.730-0453.370 | Y=0337.980-0347.300 | 390
P=2088 | X=0505.390-0522.030 | Y=0337.980-0347.300 | 340
P=2088 | X=0107.330-0190.930 | Y=0343.740-0353.060 | Thịnh (thôn 3 Minh
P=2088 | X=0291.240-0357.700 | Y=0347.620-0358.860 | Minh Hưng cũ)
P=2088 | X=0107.330-0149.080 | Y=0353.380-0364.620 | Hưng cũ)
P=2088 | X=0107.330-0185.670 | Y=0371.400-0382.640 | Đường xâm nhập
P=2088 | X=0107.330-0180.840 | Y=0382.920-0394.160 | nhựa thôn Hưng
P=2088 | X=0107.330-0190.930 | Y=0396.080-0405.400 | Thịnh (thôn 3 Minh
P=2088 | X=0107.330-0198.450 | Y=0405.720-0416.960 | Hưng cũ) đi Nhà thờ
P=2088 | X=0206.470-0341.480 | Y=0411.480-0422.720 | Đường Quốc lộ 14 Toàn tuyến
P=2088 | X=0092.900-0104.020 | Y=0413.360-0422.680 | 96
P=2088 | X=0391.100-0407.740 | Y=0413.360-0422.680 | 560
P=2088 | X=0436.730-0453.370 | Y=0413.360-0422.680 | 390
P=2088 | X=0505.390-0522.030 | Y=0413.360-0422.680 | 340
P=2088 | X=0107.330-0195.480 | Y=0417.240-0428.480 | Giáo xứ Minh Hưng
P=2088 | X=0107.330-0194.280 | Y=0428.760-0440.000 | vào thôn Hưng Phú
P=2088 | X=0107.330-0190.910 | Y=0440.280-0451.520 | (thôn 5 Minh Hưng
P=2088 | X=0107.330-0121.250 | Y=0451.820-0463.060 | cũ)
P=2088 | X=0107.330-0187.540 | Y=0469.820-0481.060 | Đường bê tông từ
P=2088 | X=0107.330-0206.050 | Y=0481.340-0492.580 | Quốc lộ 14 thôn Hưng
P=2088 | X=0291.240-0376.500 | Y=0487.100-0498.340 | Đập Thủy lợi Hưng
P=2088 | X=0206.470-0289.380 | Y=0492.860-0504.100 | Đường Quốc lộ 14
P=2088 | X=0092.900-0190.930 | Y=0494.740-0504.060 | 97 Thịnh (thôn 3 Minh
P=2088 | X=0391.100-0407.740 | Y=0494.740-0504.060 | 560
P=2088 | X=0436.730-0453.370 | Y=0494.740-0504.060 | 390
P=2088 | X=0505.390-0522.030 | Y=0494.740-0504.060 | 340
P=2088 | X=0291.240-0309.080 | Y=0500.500-0509.820 | Phú
P=2088 | X=0107.330-0202.630 | Y=0504.380-0515.620 | Hưng cũ) đi Đập thủy
P=2088 | X=0107.330-0166.910 | Y=0515.900-0527.140 | lợi Hưng Phú
P=2088 | X=0107.330-0187.530 | Y=0533.930-0545.170 | Đường bê tông từ
P=2088 | X=0107.330-0188.750 | Y=0545.450-0556.690 | Quốc lộ 14 đi thôn
P=2088 | X=0107.330-0186.580 | Y=0556.970-0568.210 | Hưng Tân (thôn 1
P=2088 | X=0107.330-0195.470 | Y=0568.250-0579.490 | Minh Hưng cũ), vào
P=2088 | X=0291.240-0361.950 | Y=0575.890-0585.210 | Hết thửa 170 tờ
P=2088 | X=0092.900-0186.380 | Y=0579.770-0591.010 | 98 Nhà văn hóa thôn
P=2088 | X=0206.470-0289.380 | Y=0579.770-0591.010 | Đường Quốc lộ 14
P=2088 | X=0391.100-0407.740 | Y=0581.650-0590.970 | 560
P=2088 | X=0436.730-0453.370 | Y=0581.650-0590.970 | 390
P=2088 | X=0505.390-0522.030 | Y=0581.650-0590.970 | 340
P=2088 | X=0291.240-0341.240 | Y=0585.530-0596.770 | bản đồ 128
P=2088 | X=0107.330-0188.640 | Y=0591.290-0602.530 | Hưng Tân đến hết
P=2088 | X=0107.330-0193.120 | Y=0602.810-0614.050 | thửa 170 tờ bản đồ
P=2088 | X=0107.330-0192.880 | Y=0614.330-0625.570 | số 128 (đường ngã
P=2088 | X=0107.330-0148.380 | Y=0627.750-0637.070 | ba Hành)
P=2088 | X=0107.330-0185.670 | Y=0643.870-0655.110 | Đường xâm nhập
P=2088 | X=0107.330-0204.630 | Y=0655.390-0666.630 | nhựa từ Quốc lộ 14 đi
P=2088 | X=0291.240-0372.700 | Y=0661.150-0672.390 | Nhà văn hóa cộng
P=2088 | X=0107.330-0187.110 | Y=0666.910-0678.150 | nhà văn hóa cộng
P=2088 | X=0206.470-0363.560 | Y=0672.670-0683.910 | Đường Quốc lộ 14 đồng thôn Hưng
P=2088 | X=0092.900-0104.020 | Y=0674.550-0683.870 | 99
P=2088 | X=0391.100-0407.740 | Y=0674.550-0683.870 | 540
P=2088 | X=0436.730-0453.370 | Y=0674.550-0683.870 | 380
P=2088 | X=0505.390-0522.030 | Y=0674.550-0683.870 | 320
P=2088 | X=0107.330-0199.800 | Y=0678.430-0689.670 | đồng thôn Hưng Tân
P=2088 | X=0291.240-0308.600 | Y=0686.070-0695.390 | Tân
P=2088 | X=0107.330-0190.910 | Y=0689.950-0701.190 | (thôn 1 Minh Hưng
P=2088 | X=0107.330-0121.250 | Y=0701.490-0712.730 | cũ)
P=2089 | X=0107.330-0197.420 | Y=0078.740-0089.980 | Đường bê tông thôn
P=2089 | X=0107.330-0190.910 | Y=0090.260-0101.500 | Minh Hưng (thôn 2
P=2089 | X=0107.330-0192.640 | Y=0101.780-0113.020 | Minh Hưng cũ) tiếp
P=2089 | X=0206.470-0344.840 | Y=0107.540-0118.780 | Đường Quốc lộ 14 Cuối đường
P=2089 | X=0090.020-0106.660 | Y=0109.420-0118.740 | 100
P=2089 | X=0391.100-0407.740 | Y=0109.420-0118.740 | 600
P=2089 | X=0436.730-0453.370 | Y=0109.420-0118.740 | 420
P=2089 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 360
P=2089 | X=0107.330-0177.510 | Y=0115.180-0124.500 | giáp Quốc lộ 14
P=2089 | X=0107.330-0193.120 | Y=0124.850-0136.090 | (đường vào trường
P=2089 | X=0107.330-0204.260 | Y=0136.370-0147.610 | Mẫu giáo Minh Hưng)
P=2089 | X=0107.330-0189.730 | Y=0154.370-0165.610 | Ngã ba thôn Hưng
P=2089 | X=0206.470-0260.550 | Y=0156.250-0165.570 | Ngã ba giáp
P=2089 | X=0107.330-0182.030 | Y=0165.650-0176.890 | Tân đi thôn Minh
P=2089 | X=0206.470-0366.920 | Y=0165.650-0176.890 | đường thôn Hưng Ngã ba đường đi
P=2089 | X=0090.020-0106.660 | Y=0173.290-0182.610 | 101
P=2089 | X=0391.100-0407.740 | Y=0173.290-0182.610 | 540
P=2089 | X=0436.730-0453.370 | Y=0173.290-0182.610 | 380
P=2089 | X=0505.390-0522.030 | Y=0173.290-0182.610 | 320
P=2089 | X=0107.330-0185.390 | Y=0177.170-0188.410 | Hưng, thôn Hưng
P=2089 | X=0206.470-0359.230 | Y=0177.170-0188.410 | Tân (đường ngã thôn Hưng Phú
P=2089 | X=0107.330-0247.520 | Y=0188.690-0199.930 | Thịnh, thôn Hưng Phú ba Hành)
P=2089 | X=0206.470-0276.190 | Y=0206.710-0217.950 | Giáp Đường Lê
P=2089 | X=0107.330-0184.690 | Y=0212.470-0223.710 | Đường thôn Vĩnh
P=2089 | X=0291.240-0360.360 | Y=0212.470-0223.710 | Giáp Đường Lý
P=2089 | X=0206.470-0284.800 | Y=0220.110-0229.430 | Hồng Phong (nhà
P=2089 | X=0291.240-0370.280 | Y=0223.990-0235.230 | Thường Kiệt (nhà
P=2089 | X=0090.020-0200.790 | Y=0225.870-0235.190 | 102 Thiện (vào quán Hồn
P=2089 | X=0382.940-0407.990 | Y=0225.870-0235.190 | 1.800
P=2089 | X=0428.570-0453.620 | Y=0225.870-0235.190 | 1.300
P=2089 | X=0497.230-0522.280 | Y=0225.870-0235.190 | 1.100
P=2089 | X=0206.470-0260.340 | Y=0231.630-0240.950 | ông Nguyễn
P=2089 | X=0107.330-0128.210 | Y=0237.390-0246.710 | Việt)
P=2089 | X=0291.240-0346.200 | Y=0237.390-0246.710 | yến Bốn Xê)
P=2089 | X=0206.470-0272.750 | Y=0241.270-0252.510 | Thượng Dũng)
P=2089 | X=0107.330-0194.110 | Y=0259.270-0270.510 | Đường hai bên trái,
P=2089 | X=0107.330-0192.600 | Y=0270.790-0282.030 | phải khu dân cư và
P=2089 | X=0090.020-0106.660 | Y=0278.430-0287.750 | 103
P=2089 | X=0206.470-0256.740 | Y=0278.430-0287.750 | Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0278.430-0287.750 | 5.000
P=2089 | X=0428.570-0453.620 | Y=0278.430-0287.750 | 3.500
P=2089 | X=0497.230-0522.280 | Y=0278.430-0287.750 | 3.000
P=2089 | X=0107.330-0198.150 | Y=0282.340-0293.580 | thương mại, Dịch vụ
P=2089 | X=0107.330-0174.840 | Y=0295.740-0305.060 | Phan Bội Châu
P=2089 | X=0107.330-0188.080 | Y=0311.860-0323.100 | Đường nội bộ khu
P=2089 | X=0090.020-0181.830 | Y=0323.380-0334.620 | 104 dân cư Phan Bội
P=2089 | X=0206.470-0256.740 | Y=0325.260-0334.580 | Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0325.260-0334.580 | 2.700
P=2089 | X=0428.570-0453.610 | Y=0325.260-0334.580 | 1.900
P=2089 | X=0497.230-0522.280 | Y=0325.260-0334.580 | 1.600
P=2089 | X=0107.330-0131.190 | Y=0336.780-0346.100 | Châu
P=2089 | X=0107.330-0199.100 | Y=0352.900-0364.140 | Đường phía sau khu
P=2089 | X=0107.330-0187.570 | Y=0364.180-0375.420 | dân cư và thương
P=2089 | X=0090.020-0106.660 | Y=0371.840-0381.160 | 105
P=2089 | X=0206.470-0256.740 | Y=0371.840-0381.160 | Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0371.840-0381.160 | 3.600
P=2089 | X=0428.570-0453.620 | Y=0371.840-0381.160 | 2.500
P=2089 | X=0497.230-0522.280 | Y=0371.840-0381.160 | 2.200
P=2089 | X=0107.330-0205.830 | Y=0377.600-0386.920 | mại, Dịch vụ Phan Bội
P=2089 | X=0107.330-0131.190 | Y=0389.120-0398.440 | Châu
P=2089 | X=0107.330-0188.070 | Y=0405.240-0416.480 | Các đường nội bộ
P=2089 | X=0090.020-0106.660 | Y=0412.880-0422.200 | 106
P=2089 | X=0206.470-0256.740 | Y=0412.880-0422.200 | Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0412.880-0422.200 | 2.700
P=2089 | X=0428.570-0453.620 | Y=0412.880-0422.200 | 1.900
P=2089 | X=0497.230-0522.280 | Y=0412.880-0422.200 | 1.600
P=2089 | X=0107.330-0198.630 | Y=0416.760-0428.000 | khu dân cư Đức Lập
P=2089 | X=0107.330-0196.920 | Y=0434.760-0446.000 | Đường N2 (Khu liên
P=2089 | X=0107.330-0180.680 | Y=0448.160-0457.480 | kế Dự án Trụ sở
P=2089 | X=0090.020-0256.740 | Y=0457.820-0469.060 | 107 Huyện ủy, Công an Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0459.700-0469.020 | 2.900
P=2089 | X=0428.570-0453.620 | Y=0459.700-0469.020 | 2.000
P=2089 | X=0497.230-0522.280 | Y=0459.700-0469.020 | 1.700
P=2089 | X=0107.330-0205.810 | Y=0469.340-0480.580 | huyện và các cơ quan
P=2089 | X=0107.330-0131.810 | Y=0482.740-0492.060 | khác)
P=2089 | X=0107.330-0196.920 | Y=0498.860-0510.100 | Đường N3 (Khu liên
P=2089 | X=0107.330-0180.680 | Y=0512.260-0521.580 | kế Dự án Trụ sở
P=2089 | X=0090.020-0256.740 | Y=0521.900-0533.140 | 108 Huyện ủy, Công an Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0523.780-0533.100 | 2.900
P=2089 | X=0428.570-0453.620 | Y=0523.780-0533.100 | 2.000
P=2089 | X=0497.230-0522.280 | Y=0523.780-0533.100 | 1.700
P=2089 | X=0107.330-0182.820 | Y=0533.450-0544.690 | huyện và các Cơ
P=2089 | X=0107.330-0156.780 | Y=0546.850-0556.170 | quan khác)
P=2089 | X=0107.330-0196.920 | Y=0562.970-0574.210 | Đường D2 (Khu liên
P=2089 | X=0107.330-0180.680 | Y=0576.130-0585.450 | kế Dự án Trụ sở
P=2089 | X=0090.020-0256.740 | Y=0585.770-0597.010 | 109 Huyện ủy, Công an Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0587.650-0596.970 | 2.900
P=2089 | X=0428.570-0453.610 | Y=0587.650-0596.970 | 2.000
P=2089 | X=0497.230-0522.280 | Y=0587.650-0596.970 | 1.700
P=2089 | X=0107.330-0205.810 | Y=0597.290-0608.530 | huyện và các cơ quan
P=2089 | X=0107.330-0131.810 | Y=0610.690-0620.010 | khác)
P=2089 | X=0107.330-0199.090 | Y=0626.830-0638.070 | Đường D2 (Khu Văn
P=2089 | X=0090.020-0187.080 | Y=0640.230-0649.550 | 110 hóa giáo dục thôn
P=2089 | X=0206.470-0256.740 | Y=0640.230-0649.550 | Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0640.230-0649.550 | 2.700
P=2089 | X=0428.570-0453.620 | Y=0640.230-0649.550 | 1.900
P=2089 | X=0497.230-0522.280 | Y=0640.230-0649.550 | 1.600
P=2089 | X=0107.330-0150.760 | Y=0649.870-0661.110 | Đức Hòa)
P=2089 | X=0107.330-0199.090 | Y=0667.870-0679.110 | Đường D3 (Khu Văn
P=2089 | X=0090.020-0187.080 | Y=0681.270-0690.590 | 111 hóa giáo dục thôn
P=2089 | X=0206.470-0256.740 | Y=0681.270-0690.590 | Toàn tuyến
P=2089 | X=0382.940-0407.990 | Y=0681.270-0690.590 | 2.700
P=2089 | X=0428.570-0453.620 | Y=0681.270-0690.590 | 1.900
P=2089 | X=0497.230-0522.280 | Y=0681.270-0690.590 | 1.600
P=2089 | X=0107.330-0150.760 | Y=0690.910-0702.150 | Đức Hòa)
P=2090 | X=0107.330-0194.790 | Y=0078.740-0089.980 | Đường nội bộ trong
P=2090 | X=0107.330-0192.430 | Y=0090.260-0101.500 | Khu dân cư thôn 3,
P=2090 | X=0206.470-0284.590 | Y=0090.260-0101.500 | Các tuyến đường
P=2090 | X=0090.020-0106.660 | Y=0097.900-0107.220 | 112
P=2090 | X=0382.940-0407.990 | Y=0097.900-0107.220 | 2.200
P=2090 | X=0428.570-0453.620 | Y=0097.900-0107.220 | 1.500
P=2090 | X=0497.230-0522.280 | Y=0097.900-0107.220 | 1.300
P=2090 | X=0107.330-0182.520 | Y=0101.780-0113.020 | Minh Hưng (thôn
P=2090 | X=0206.470-0284.000 | Y=0101.780-0113.020 | trong Khu dân cư
P=2090 | X=0107.330-0163.730 | Y=0113.300-0124.540 | Hưng Thịnh)
P=2090 | X=0107.330-0200.790 | Y=0131.330-0142.570 | Đường N1 - Khu dân
P=2090 | X=0090.020-0106.660 | Y=0138.970-0148.290 | 113
P=2090 | X=0206.470-0256.740 | Y=0138.970-0148.290 | Toàn tuyến
P=2090 | X=0382.940-0407.990 | Y=0138.970-0148.290 | 2.700
P=2090 | X=0428.570-0453.620 | Y=0138.970-0148.290 | 1.900
P=2090 | X=0497.230-0522.280 | Y=0138.970-0148.290 | 1.600
P=2090 | X=0107.330-0175.310 | Y=0142.850-0154.090 | cư Lê Quý Đôn
P=2090 | X=0107.330-0200.790 | Y=0160.850-0172.090 | Đường N2 - Khu dân
P=2090 | X=0090.020-0106.660 | Y=0168.490-0177.810 | 114
P=2090 | X=0206.470-0256.740 | Y=0168.490-0177.810 | Toàn tuyến
P=2090 | X=0382.940-0407.990 | Y=0168.490-0177.810 | 2.700
P=2090 | X=0428.570-0453.620 | Y=0168.490-0177.810 | 1.900
P=2090 | X=0497.230-0522.280 | Y=0168.490-0177.810 | 1.600
P=2090 | X=0107.330-0175.310 | Y=0172.370-0183.610 | cư Lê Quý Đôn
P=2090 | X=0107.330-0200.790 | Y=0190.370-0201.610 | Đường D4 - Khu dân
P=2090 | X=0090.020-0106.660 | Y=0198.010-0207.330 | 115
P=2090 | X=0206.470-0256.740 | Y=0198.010-0207.330 | Toàn tuyến
P=2090 | X=0382.940-0407.990 | Y=0198.010-0207.330 | 2.200
P=2090 | X=0428.570-0453.620 | Y=0198.010-0207.330 | 1.500
P=2090 | X=0497.230-0522.280 | Y=0198.010-0207.330 | 1.300
P=2090 | X=0107.330-0175.310 | Y=0201.670-0212.910 | cư Lê Quý Đôn
P=2090 | X=0107.330-0197.420 | Y=0219.670-0230.910 | Đường bê tông thôn
P=2090 | X=0107.330-0190.910 | Y=0231.190-0242.430 | Minh Hưng (thôn 2
P=2090 | X=0107.330-0192.640 | Y=0242.710-0253.950 | Minh Hưng cũ) tiếp
P=2090 | X=0291.240-0344.840 | Y=0248.470-0259.710 | Cuối đường
P=2090 | X=0090.020-0106.660 | Y=0250.350-0259.670 | 116
P=2090 | X=0206.470-0255.060 | Y=0250.350-0259.670 | Quốc lộ 14
P=2090 | X=0391.100-0407.740 | Y=0250.350-0259.670 | 720
P=2090 | X=0436.730-0453.370 | Y=0250.350-0259.670 | 500
P=2090 | X=0505.390-0522.030 | Y=0250.350-0259.670 | 430
P=2090 | X=0107.330-0177.510 | Y=0256.110-0265.430 | giáp Quốc lộ 14
P=2090 | X=0107.330-0184.220 | Y=0265.750-0276.990 | (đường vào chùa
P=2090 | X=0107.330-0177.400 | Y=0279.150-0288.470 | Hoàn Liên Hoa)
P=2090 | X=0107.330-0199.990 | Y=0295.300-0306.540 | Đường Phước Sơn -
P=2090 | X=0090.020-0256.740 | Y=0306.820-0318.060 | 117 Đồng Nai (địa phận Toàn tuyến
P=2090 | X=0391.100-0407.740 | Y=0308.700-0318.020 | 630
P=2090 | X=0436.730-0453.370 | Y=0308.700-0318.020 | 440
P=2090 | X=0505.390-0522.030 | Y=0308.700-0318.020 | 380
P=2090 | X=0107.330-0163.010 | Y=0318.340-0329.580 | xã Bù Đăng)
P=2090 | X=0107.330-0199.110 | Y=0336.340-0347.580 | Đường liên thôn (nối
P=2090 | X=0206.470-0262.260 | Y=0342.100-0353.340 | Giáp Đường
P=2090 | X=0291.240-0365.740 | Y=0347.860-0359.100 | Hết tờ bản đồ số
P=2090 | X=0107.330-0186.870 | Y=0349.740-0359.060 | dài từ Nguyễn Thị
P=2090 | X=0090.020-0106.660 | Y=0355.500-0364.820 | 118
P=2090 | X=0206.470-0282.410 | Y=0355.500-0364.820 | Nguyễn Thị Minh
P=2090 | X=0391.100-0407.740 | Y=0355.500-0364.820 | 630
P=2090 | X=0436.730-0453.370 | Y=0355.500-0364.820 | 440
P=2090 | X=0505.390-0522.030 | Y=0355.500-0364.820 | 380
P=2090 | X=0107.330-0193.070 | Y=0359.380-0370.620 | Minh Khai đi thôn 1
P=2090 | X=0291.240-0307.880 | Y=0361.260-0370.580 | 103
P=2090 | X=0206.470-0226.470 | Y=0367.040-0376.360 | Khai
P=2090 | X=0107.330-0150.770 | Y=0370.920-0382.160 | Đoàn kết)
P=2090 | X=0107.330-0201.830 | Y=0388.920-0400.160 | Các tuyến đường đất
P=2090 | X=0107.330-0205.830 | Y=0402.080-0411.400 | còn lại có bề rộng nhỏ
P=2090 | X=0090.020-0106.660 | Y=0407.840-0417.160 | 119
P=2090 | X=0206.470-0256.740 | Y=0407.840-0417.160 | Toàn tuyến
P=2090 | X=0391.100-0407.740 | Y=0407.840-0417.160 | 360
P=2090 | X=0436.730-0453.370 | Y=0407.840-0417.160 | 250
P=2090 | X=0505.390-0522.030 | Y=0407.840-0417.160 | 220
P=2090 | X=0107.330-0199.110 | Y=0411.720-0422.960 | hơn 4m hoặc đường
P=2090 | X=0107.330-0180.630 | Y=0425.120-0434.440 | không cắt lộ giới
P=2090 | X=0107.330-0199.120 | Y=0441.240-0452.480 | Các tuyến đường đã
P=2090 | X=0107.330-0201.810 | Y=0452.780-0464.020 | được đầu tư bê tông,
P=2090 | X=0090.020-0256.740 | Y=0464.300-0475.540 | 120 nhựa hoặc đường đất Toàn tuyến
P=2090 | X=0391.100-0407.740 | Y=0466.180-0475.500 | 500
P=2090 | X=0436.730-0453.370 | Y=0466.180-0475.500 | 350
P=2090 | X=0505.390-0522.030 | Y=0466.180-0475.500 | 300
P=2090 | X=0107.330-0197.680 | Y=0475.820-0487.060 | chưa được quy định
P=2090 | X=0107.330-0134.050 | Y=0487.340-0498.580 | ở trên
