TABLE=047 | AREA=Xã Thanh Sơn | SECTION=non-agricultural | SEGMENTS=1
P=1581 | X=0108.050-0136.050 | Y=0600.410-0611.650 | măng:
P=1581 | X=0108.050-0393.840 | Y=0617.950-0629.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1581 | X=0108.050-0331.690 | Y=0635.470-0646.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1581 | X=0108.050-0393.310 | Y=0653.230-0664.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1581 | X=0108.050-0378.890 | Y=0664.510-0675.750 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1581 | X=0093.380-0388.110 | Y=0676.030-0687.270 | 19 Ngã ba đường mới đến Bên trái, đến hết ranh thửa đất số 1, tờ
P=1581 | X=0414.860-0431.500 | Y=0677.910-0687.230 | 150
P=1581 | X=0462.170-0478.810 | Y=0677.910-0687.230 | 110
P=1581 | X=0511.150-0522.270 | Y=0677.910-0687.230 | 90
P=1581 | X=0108.050-0392.620 | Y=0687.550-0698.790 | BĐĐC số 52, xã Thanh Sơn; Bên phải, đến hết ranh thửa đất số
P=1581 | X=0108.050-0370.780 | Y=0699.070-0710.310 | 56, tờ BĐĐC số 124, xã Thanh Sơn có hiện trạng là đường
P=1582 | X=0108.050-0211.160 | Y=0072.500-0083.740 | nhựa, bê tông xi măng:
P=1582 | X=0108.050-0339.130 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1582 | X=0108.050-0385.220 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1582 | X=0108.050-0393.340 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1582 | X=0108.050-0378.890 | Y=0136.850-0148.090 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1582 | X=0108.050-0388.110 | Y=0148.370-0159.610 | Ngã ba đường mới đến Bên trái, đến hết ranh thửa đất số 1, tờ
P=1582 | X=0108.050-0392.620 | Y=0159.650-0170.890 | BĐĐC số 52, xã Thanh Sơn; Bên phải, đến hết ranh thửa đất số
P=1582 | X=0108.050-0370.780 | Y=0171.170-0182.410 | 56, tờ BĐĐC số 124, xã Thanh Sơn có hiện trạng là đường
P=1582 | X=0093.380-0211.170 | Y=0182.690-0197.250 | 20 nhựa, bê tông xi măng:
P=1582 | X=0414.860-0431.500 | Y=0187.930-0197.250 | 140
P=1582 | X=0462.170-0478.810 | Y=0187.930-0197.250 | 100
P=1582 | X=0511.150-0522.270 | Y=0187.930-0197.250 | 80
P=1582 | X=0108.050-0339.600 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1582 | X=0108.050-0361.360 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1582 | X=0108.050-0203.000 | Y=0229.270-0240.510 | >500m đến ≤1.000m.
P=1582 | X=0108.050-0331.220 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1582 | X=0108.050-0393.340 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1582 | X=0108.050-0378.890 | Y=0276.070-0287.310 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1582 | X=0108.050-0388.110 | Y=0287.620-0298.860 | Ngã ba đường mới đến Bên trái, đến hết ranh thửa đất số 1, tờ
P=1582 | X=0108.050-0392.620 | Y=0299.140-0310.380 | BĐĐC số 52, xã Thanh Sơn; Bên phải, đến hết ranh thửa đất số
P=1582 | X=0093.380-0370.780 | Y=0310.660-0322.100 | 21 56, tờ BĐĐC số 124, xã Thanh Sơn có hiện trạng là đường
P=1582 | X=0414.860-0431.500 | Y=0312.780-0322.100 | 130
P=1582 | X=0467.930-0479.050 | Y=0312.780-0322.100 | 85
P=1582 | X=0511.150-0522.270 | Y=0312.780-0322.100 | 75
P=1582 | X=0108.050-0211.190 | Y=0321.940-0333.180 | nhựa, bê tông xi măng:
P=1582 | X=0108.050-0393.840 | Y=0339.460-0350.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1582 | X=0108.050-0331.690 | Y=0356.980-0368.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1582 | X=0108.050-0192.610 | Y=0374.760-0386.000 | Đường Thanh Sơn
P=1582 | X=0292.200-0389.010 | Y=0374.760-0386.000 | Trường Tiểu học Liên
P=1582 | X=0214.630-0279.790 | Y=0380.520-0391.760 | Ngã ba đường
P=1582 | X=0292.200-0384.940 | Y=0386.280-0397.520 | Sơn (chỉ áp dụng đối
P=1582 | X=0093.380-0211.120 | Y=0388.160-0397.480 | 22 (Phía rẽ phải từ ngã ba
P=1582 | X=0414.860-0431.500 | Y=0388.160-0397.480 | 390
P=1582 | X=0462.170-0478.810 | Y=0388.160-0397.480 | 270
P=1582 | X=0505.390-0522.030 | Y=0388.160-0397.480 | 230
P=1582 | X=0214.630-0231.780 | Y=0393.920-0403.240 | mới
P=1582 | X=0292.200-0368.300 | Y=0397.800-0409.040 | với đường nhựa)
P=1582 | X=0108.050-0148.620 | Y=0399.680-0409.000 | Bến phà)
P=1582 | X=0108.050-0387.570 | Y=0415.560-0426.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1582 | X=0108.050-0381.110 | Y=0427.080-0438.320 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba đường
P=1582 | X=0108.050-0389.270 | Y=0438.600-0449.840 | mới đến Trường Tiểu học Liên Sơn (chỉ áp dụng đối với đường
P=1582 | X=0093.380-0344.420 | Y=0450.140-0461.580 | 23 nhựa) có hiện trạng là đường nhựa, bê tông xi măng:
P=1582 | X=0414.860-0431.500 | Y=0452.260-0461.580 | 195
P=1582 | X=0462.170-0478.810 | Y=0452.260-0461.580 | 140
P=1582 | X=0505.390-0522.030 | Y=0452.260-0461.580 | 120
P=1582 | X=0108.050-0339.130 | Y=0467.660-0478.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1582 | X=0108.050-0385.220 | Y=0485.180-0496.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
