TABLE=058 | AREA=Phường Minh Hưng | SECTION=non-agricultural | SEGMENTS=1
P=1951 | X=0382.700-0407.750 | Y=0224.670-0233.990 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0224.670-0233.990 | 870
P=1951 | X=0505.390-0522.030 | Y=0224.670-0233.990 | 740
P=1951 | X=0090.980-0223.830 | Y=0240.790-0252.030 | 215 Đường số 96 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0242.670-0251.990 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0242.670-0251.990 | 870
P=1951 | X=0505.390-0522.030 | Y=0242.670-0251.990 | 740
P=1951 | X=0090.980-0223.830 | Y=0258.790-0270.030 | 216 Đường số 97 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0260.670-0269.990 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0260.670-0269.990 | 870
P=1951 | X=0505.390-0522.030 | Y=0260.670-0269.990 | 740
P=1951 | X=0090.980-0223.830 | Y=0276.790-0288.030 | 217 Đường số 98 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0278.670-0287.990 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0278.670-0287.990 | 870
P=1951 | X=0505.390-0522.030 | Y=0278.670-0287.990 | 740
P=1951 | X=0090.980-0223.830 | Y=0294.820-0306.060 | 218 Đường số 99 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0296.700-0306.020 | 2.300
P=1951 | X=0427.610-0452.660 | Y=0296.700-0306.020 | 1.600
P=1951 | X=0497.230-0522.280 | Y=0296.700-0306.020 | 1.400
P=1951 | X=0109.490-0154.450 | Y=0312.820-0324.060 | Đường số
P=1951 | X=0090.980-0107.620 | Y=0320.460-0329.780 | 219
P=1951 | X=0173.590-0223.830 | Y=0320.460-0329.780 | Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0320.460-0329.780 | 2.300
P=1951 | X=0427.610-0452.660 | Y=0320.460-0329.780 | 1.600
P=1951 | X=0497.230-0522.280 | Y=0320.460-0329.780 | 1.400
P=1951 | X=0109.490-0126.130 | Y=0326.220-0335.540 | 100
P=1951 | X=0109.490-0154.450 | Y=0342.340-0353.580 | Đường số
P=1951 | X=0090.980-0107.620 | Y=0349.980-0359.300 | 220
P=1951 | X=0173.590-0223.830 | Y=0349.980-0359.300 | Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0349.980-0359.300 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0349.980-0359.300 | 870
P=1951 | X=0505.390-0522.030 | Y=0349.980-0359.300 | 740
P=1951 | X=0109.490-0126.130 | Y=0355.740-0365.060 | 101
P=1951 | X=0109.490-0154.450 | Y=0371.880-0383.120 | Đường số
P=1951 | X=0090.980-0107.620 | Y=0379.520-0388.840 | 221
P=1951 | X=0173.590-0223.830 | Y=0379.520-0388.840 | Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0379.520-0388.840 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0379.520-0388.840 | 870
P=1951 | X=0505.390-0522.030 | Y=0379.520-0388.840 | 740
P=1951 | X=0109.490-0126.130 | Y=0385.280-0394.600 | 102
P=1951 | X=0109.490-0154.450 | Y=0401.400-0412.640 | Đường số
P=1951 | X=0090.980-0107.620 | Y=0409.040-0418.360 | 222
P=1951 | X=0173.590-0223.830 | Y=0409.040-0418.360 | Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0409.040-0418.360 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0409.040-0418.360 | 870
P=1951 | X=0505.390-0522.030 | Y=0409.040-0418.360 | 740
P=1951 | X=0109.490-0126.130 | Y=0414.800-0424.120 | 103
P=1951 | X=0109.490-0154.450 | Y=0430.920-0442.160 | Đường số
P=1951 | X=0090.980-0107.620 | Y=0438.560-0447.880 | 223
P=1951 | X=0173.590-0223.830 | Y=0438.560-0447.880 | Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0438.560-0447.880 | 2.300
P=1951 | X=0427.610-0452.660 | Y=0438.560-0447.880 | 1.600
P=1951 | X=0497.230-0522.280 | Y=0438.560-0447.880 | 1.400
P=1951 | X=0109.490-0126.130 | Y=0444.080-0453.400 | 104
P=1951 | X=0109.490-0154.450 | Y=0460.220-0471.460 | Đường số
P=1951 | X=0090.980-0107.620 | Y=0467.860-0477.180 | 224
P=1951 | X=0173.590-0223.830 | Y=0467.860-0477.180 | Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0467.860-0477.180 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0467.860-0477.180 | 870
P=1951 | X=0505.390-0522.030 | Y=0467.860-0477.180 | 740
P=1951 | X=0109.490-0126.130 | Y=0473.620-0482.940 | 105
P=1951 | X=0109.490-0160.130 | Y=0489.740-0500.980 | Đường dọc
P=1951 | X=0109.490-0159.670 | Y=0501.260-0512.500 | khu dân cư
P=1951 | X=0090.980-0223.830 | Y=0514.660-0523.980 | 225 thuộc khu vực Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0514.660-0523.980 | 1.100
P=1951 | X=0435.770-0452.410 | Y=0514.660-0523.980 | 790
P=1951 | X=0505.390-0522.030 | Y=0514.660-0523.980 | 680
P=1951 | X=0109.490-0153.490 | Y=0526.180-0535.500 | Chợ Minh
P=1951 | X=0109.490-0134.530 | Y=0535.850-0547.090 | Hưng
P=1951 | X=0109.490-0170.160 | Y=0553.850-0565.090 | Đường nhựa,
P=1951 | X=0109.490-0153.500 | Y=0565.370-0576.610 | đường bê
P=1951 | X=0109.490-0160.690 | Y=0578.770-0588.090 | tông còn lại
P=1951 | X=0090.980-0107.620 | Y=0584.530-0593.850 | 226
P=1951 | X=0173.590-0223.830 | Y=0584.530-0593.850 | Toàn tuyến
P=1951 | X=0390.860-0407.500 | Y=0584.530-0593.850 | 640
P=1951 | X=0435.770-0452.410 | Y=0584.530-0593.850 | 450
P=1951 | X=0505.390-0522.030 | Y=0584.530-0593.850 | 380
P=1951 | X=0109.490-0173.190 | Y=0588.410-0599.650 | chưa quy định
P=1951 | X=0109.490-0164.690 | Y=0599.930-0611.170 | cụ thể ở các
P=1951 | X=0109.490-0148.680 | Y=0613.330-0622.650 | mục trên
P=1951 | X=0109.490-0154.690 | Y=0631.350-0640.670 | Các tuyến
P=1951 | X=0090.980-0156.210 | Y=0640.990-0652.230 | 227 đường đất
P=1951 | X=0173.590-0223.830 | Y=0642.870-0652.190 | Toàn tuyến
P=1951 | X=0390.860-0407.500 | Y=0642.870-0652.190 | 560
P=1951 | X=0435.770-0452.410 | Y=0642.870-0652.190 | 390
P=1951 | X=0505.390-0522.030 | Y=0642.870-0652.190 | 340
P=1951 | X=0109.490-0138.370 | Y=0654.150-0663.470 | còn lại
P=1951 | X=0109.490-0165.230 | Y=0670.030-0681.270 | Khu dân cư
P=1951 | X=0109.490-0149.640 | Y=0681.550-0692.790 | Đại Nam
P=1951 | X=0090.980-0305.730 | Y=0699.810-0711.050 | 228 Đường số 14 Cổng chào Khu dân Hết tuyến
P=1951 | X=0382.700-0407.750 | Y=0701.700-0711.020 | 8.000
P=1951 | X=0427.610-0452.660 | Y=0701.700-0711.020 | 5.600
P=1951 | X=0497.230-0522.280 | Y=0701.700-0711.020 | 4.800
P=1952 | X=0173.590-0254.280 | Y=0072.740-0083.980 | cư Đại Nam (Giáp
P=1952 | X=0173.590-0259.780 | Y=0084.260-0095.500 | Đường Quốc lộ 13)
P=1952 | X=0090.980-0162.850 | Y=0102.260-0113.500 | 229 Đường số 1
P=1952 | X=0173.590-0223.830 | Y=0104.140-0113.460 | Toàn tuyến
P=1952 | X=0382.700-0407.750 | Y=0104.140-0113.460 | 6.300
P=1952 | X=0427.610-0452.660 | Y=0104.140-0113.460 | 4.400
P=1952 | X=0497.230-0522.280 | Y=0104.140-0113.460 | 3.800
P=1952 | X=0109.490-0165.580 | Y=0120.290-0131.530 | Đường số 6,
P=1952 | X=0090.980-0107.620 | Y=0127.930-0137.250 | 230
P=1952 | X=0173.590-0223.830 | Y=0127.930-0137.250 | Toàn tuyến
P=1952 | X=0382.700-0407.750 | Y=0127.930-0137.250 | 6.300
P=1952 | X=0427.610-0452.660 | Y=0127.930-0137.250 | 4.400
P=1952 | X=0497.230-0522.280 | Y=0127.930-0137.250 | 3.800
P=1952 | X=0109.490-0143.160 | Y=0133.690-0143.010 | 7, 9, 10
P=1952 | X=0109.490-0165.580 | Y=0149.810-0161.050 | Đường số 4,
P=1952 | X=0090.980-0107.620 | Y=0157.450-0166.770 | 231
P=1952 | X=0173.590-0223.830 | Y=0157.450-0166.770 | Toàn tuyến
P=1952 | X=0382.700-0407.750 | Y=0157.450-0166.770 | 5.500
P=1952 | X=0427.610-0452.660 | Y=0157.450-0166.770 | 3.900
P=1952 | X=0497.230-0522.280 | Y=0157.450-0166.770 | 3.300
P=1952 | X=0109.490-0165.240 | Y=0163.210-0172.530 | 5, 11, 17, 19
P=1952 | X=0109.490-0160.210 | Y=0179.330-0190.570 | Các đường
P=1952 | X=0090.980-0223.830 | Y=0192.730-0202.050 | 232 còn lại trong Toàn tuyến
P=1952 | X=0382.700-0407.750 | Y=0192.730-0202.050 | 5.000
P=1952 | X=0427.610-0452.660 | Y=0192.730-0202.050 | 3.500
P=1952 | X=0497.230-0522.280 | Y=0192.730-0202.050 | 3.000
P=1952 | X=0109.490-0161.350 | Y=0202.390-0213.630 | Khu dân cư
P=1952 | X=0109.490-0165.230 | Y=0220.150-0231.390 | Khu dân cư
P=1952 | X=0109.490-0162.400 | Y=0231.430-0242.670 | Minh Hưng
P=1952 | X=0109.490-0118.050 | Y=0244.830-0254.150 | III
P=1952 | X=0262.660-0354.440 | Y=0261.190-0272.430 | Đường N4 - khu dân
P=1952 | X=0090.980-0156.850 | Y=0266.950-0278.190 | 233 Đường D3
P=1952 | X=0173.590-0247.510 | Y=0266.950-0278.190 | Đường ĐT 752B
P=1952 | X=0382.700-0407.750 | Y=0268.830-0278.150 | 5.000
P=1952 | X=0427.610-0452.660 | Y=0268.830-0278.150 | 3.500
P=1952 | X=0497.230-0522.280 | Y=0268.830-0278.150 | 3.000
P=1952 | X=0262.660-0337.910 | Y=0272.710-0283.950 | cư Minh Hưng III
P=1952 | X=0262.660-0356.120 | Y=0290.740-0301.980 | Đường D5 - Khu dân
P=1952 | X=0090.980-0156.850 | Y=0296.500-0307.740 | 234 Đường N4
P=1952 | X=0173.590-0256.500 | Y=0296.500-0307.740 | Đường Quốc lộ 13
P=1952 | X=0382.700-0407.750 | Y=0298.380-0307.700 | 4.500
P=1952 | X=0427.610-0452.660 | Y=0298.380-0307.700 | 3.200
P=1952 | X=0497.230-0522.280 | Y=0298.380-0307.700 | 2.700
P=1952 | X=0262.660-0337.910 | Y=0302.260-0313.500 | cư Minh Hưng III
P=1952 | X=0109.490-0160.210 | Y=0320.260-0331.500 | Các đường
P=1952 | X=0109.490-0164.040 | Y=0333.660-0342.980 | còn lại trong
P=1952 | X=0090.980-0107.620 | Y=0339.420-0348.740 | 235
P=1952 | X=0173.590-0223.830 | Y=0339.420-0348.740 | Toàn tuyến
P=1952 | X=0382.700-0407.750 | Y=0339.420-0348.740 | 4.000
P=1952 | X=0427.610-0452.660 | Y=0339.420-0348.740 | 2.800
P=1952 | X=0497.230-0522.280 | Y=0339.420-0348.740 | 2.400
P=1952 | X=0109.490-0161.350 | Y=0343.300-0354.540 | Khu dân cư
P=1952 | X=0109.490-0170.120 | Y=0354.820-0366.060 | Minh Hưng III
P=1952 | X=0109.490-0165.230 | Y=0372.600-0383.840 | Khu dân cư
P=1952 | X=0109.490-0163.610 | Y=0384.120-0395.360 | Phúc Hưng
P=1952 | X=0109.490-0164.780 | Y=0402.360-0413.600 | Đường Định
P=1952 | X=0090.980-0143.980 | Y=0413.880-0425.120 | 236 Hướng,
P=1952 | X=0173.590-0223.830 | Y=0415.760-0425.080 | Toàn tuyến
P=1952 | X=0382.700-0407.750 | Y=0415.760-0425.080 | 3.500
P=1952 | X=0427.610-0452.660 | Y=0415.760-0425.080 | 2.500
P=1952 | X=0497.230-0522.280 | Y=0415.760-0425.080 | 2.100
P=1952 | X=0109.490-0155.170 | Y=0425.400-0436.640 | đường N4
P=1952 | X=0109.490-0160.210 | Y=0443.400-0454.640 | Các đường
P=1952 | X=0109.490-0164.040 | Y=0456.820-0466.140 | còn lại trong
P=1952 | X=0090.980-0107.620 | Y=0462.580-0471.900 | 237
P=1952 | X=0173.590-0223.830 | Y=0462.580-0471.900 | Toàn tuyến
P=1952 | X=0382.700-0407.750 | Y=0462.580-0471.900 | 3.000
P=1952 | X=0427.610-0452.660 | Y=0462.580-0471.900 | 2.100
P=1952 | X=0497.230-0522.280 | Y=0462.580-0471.900 | 1.800
P=1952 | X=0109.490-0161.350 | Y=0466.220-0477.460 | Khu dân cư
P=1952 | X=0109.490-0160.200 | Y=0477.740-0488.980 | Phúc Hưng
