TABLE=066 | AREA=Xã Tân Lợi | SECTION=non-agricultural | SEGMENTS=1
P=2021 | X=0505.390-0522.030 | Y=0679.350-0688.670 | 480
P=2021 | X=0104.210-0239.420 | Y=0695.470-0706.710 | Các tuyến đường còn lại trong
P=2021 | X=0091.220-0102.340 | Y=0703.140-0712.460 | 15
P=2021 | X=0243.220-0293.460 | Y=0703.140-0712.460 | Toàn tuyến
P=2021 | X=0392.540-0409.180 | Y=0703.140-0712.460 | 800
P=2021 | X=0447.050-0463.690 | Y=0703.140-0712.460 | 560
P=2021 | X=0505.390-0522.030 | Y=0703.140-0712.460 | 480
P=2021 | X=0104.210-0224.480 | Y=0706.770-0718.010 | khu TTHC xã Tân Hưng cũ
P=2022 | X=0104.210-0239.420 | Y=0078.740-0089.980 | Các tuyến đường còn lại trong
P=2022 | X=0091.220-0102.340 | Y=0086.380-0095.700 | 16
P=2022 | X=0243.220-0293.460 | Y=0086.380-0095.700 | Toàn tuyến
P=2022 | X=0392.540-0409.180 | Y=0086.380-0095.700 | 800
P=2022 | X=0447.050-0463.690 | Y=0086.380-0095.700 | 560
P=2022 | X=0505.390-0522.030 | Y=0086.380-0095.700 | 480
P=2022 | X=0104.210-0217.770 | Y=0090.260-0101.500 | khu TTHC xã Tân Hòa cũ
P=2022 | X=0104.210-0239.420 | Y=0108.260-0119.500 | Các tuyến đường còn lại trong
P=2022 | X=0091.220-0102.340 | Y=0115.930-0125.250 | 17
P=2022 | X=0243.220-0293.460 | Y=0115.930-0125.250 | Toàn tuyến
P=2022 | X=0392.540-0409.180 | Y=0115.930-0125.250 | 800
P=2022 | X=0447.050-0463.690 | Y=0115.930-0125.250 | 560
P=2022 | X=0505.390-0522.030 | Y=0115.930-0125.250 | 480
P=2022 | X=0104.210-0213.740 | Y=0119.810-0131.050 | khu TTHC xã Tân Lợi cũ
P=2022 | X=0104.210-0231.520 | Y=0137.810-0149.050 | Các tuyến đường giao thông
P=2022 | X=0091.220-0293.460 | Y=0151.210-0160.530 | 18 có kết cấu nhựa, bê tông bề Toàn tuyến
P=2022 | X=0392.540-0409.180 | Y=0151.210-0160.530 | 450
P=2022 | X=0447.050-0463.690 | Y=0151.210-0160.530 | 320
P=2022 | X=0505.390-0522.030 | Y=0151.210-0160.530 | 270
P=2022 | X=0104.210-0237.030 | Y=0160.850-0172.090 | rộng mặt đường từ 5m trở lên
P=2022 | X=0104.210-0231.520 | Y=0178.850-0190.090 | Các tuyến đường giao thông
