TABLE=071 | AREA=Xã Lộc Hưng | SECTION=non-agricultural | SEGMENTS=1
P=2046 | X=0219.190-0282.180 | Y=0154.850-0166.090 | đường vào ấp
P=2046 | X=0102.770-0213.020 | Y=0160.610-0171.850 | Đường liên xã Lộc Hưng
P=2046 | X=0284.020-0341.460 | Y=0162.490-0171.810 | Giáp ranh xã
P=2046 | X=0090.500-0101.620 | Y=0168.250-0177.570 | 22
P=2046 | X=0219.190-0272.790 | Y=0168.250-0177.570 | 7 (giáp ranh
P=2046 | X=0370.700-0387.340 | Y=0168.250-0177.570 | 610
P=2046 | X=0420.410-0437.050 | Y=0168.250-0177.570 | 430
P=2046 | X=0505.390-0522.030 | Y=0168.250-0177.570 | 370
P=2046 | X=0102.770-0167.540 | Y=0172.130-0183.370 | - Lộc Thái (cũ)
P=2046 | X=0284.020-0342.580 | Y=0172.130-0183.370 | Lộc Thái (cũ)
P=2046 | X=0219.190-0282.180 | Y=0177.650-0188.890 | nhà bà Đỗ Thị
P=2046 | X=0219.190-0246.330 | Y=0191.050-0200.370 | Dung)
P=2046 | X=0102.770-0276.670 | Y=0207.190-0218.430 | Đường liên xã Lộc Hưng Ngã tư Đồng
P=2046 | X=0090.500-0101.620 | Y=0214.830-0224.150 | 23
P=2046 | X=0284.020-0333.780 | Y=0214.830-0224.150 | Cầu Suối 1
P=2046 | X=0370.700-0387.340 | Y=0214.830-0224.150 | 990
P=2046 | X=0420.410-0437.050 | Y=0214.830-0224.150 | 700
P=2046 | X=0505.390-0522.030 | Y=0214.830-0224.150 | 600
P=2046 | X=0102.770-0176.920 | Y=0218.710-0229.950 | - Lộc Khánh (cũ)
P=2046 | X=0219.190-0239.100 | Y=0220.590-0229.910 | Tâm
P=2046 | X=0102.770-0213.020 | Y=0236.710-0247.950 | Đường liên xã Lộc Hưng
P=2046 | X=0284.020-0341.460 | Y=0238.590-0247.910 | Giáp ranh xã
P=2046 | X=0090.500-0101.620 | Y=0244.350-0253.670 | 24
P=2046 | X=0219.190-0268.960 | Y=0244.350-0253.670 | Cầu Suối 1
P=2046 | X=0362.540-0387.590 | Y=0244.350-0253.670 | 1.100
P=2046 | X=0420.410-0437.050 | Y=0244.350-0253.670 | 800
P=2046 | X=0505.390-0522.030 | Y=0244.350-0253.670 | 690
P=2046 | X=0102.770-0176.920 | Y=0248.230-0259.470 | - Lộc Khánh (cũ)
P=2046 | X=0284.020-0351.950 | Y=0248.230-0259.470 | Lộc Khánh (cũ)
P=2046 | X=0219.190-0341.460 | Y=0266.230-0277.470 | Đường Quốc Giáp ranh xã
P=2046 | X=0090.500-0211.350 | Y=0271.990-0283.230 | 25 Đường tránh Quốc lộ 13
P=2046 | X=0370.700-0387.340 | Y=0273.870-0283.190 | 770
P=2046 | X=0420.410-0437.050 | Y=0273.870-0283.190 | 540
P=2046 | X=0505.390-0522.030 | Y=0273.870-0283.190 | 460
P=2046 | X=0284.020-0342.580 | Y=0277.750-0288.990 | Lộc Thái (cũ)
P=2046 | X=0219.190-0241.140 | Y=0279.630-0288.950 | lộ 13
P=2046 | X=0102.770-0216.150 | Y=0295.780-0307.020 | Các tuyến đường đấu nối
