TABLE=028 | AREA=Xã Xuân Phú | SECTION=non-agricultural | SEGMENTS=1
P=1022 | X=0505.630-0522.270 | Y=0237.150-0246.470 | 380
P=1022 | X=0106.850-0347.940 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1022 | X=0106.850-0148.990 | Y=0260.190-0269.510 | >1.000m.
P=1022 | X=0106.850-0330.490 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1022 | X=0309.720-0371.740 | Y=0295.500-0304.820 | Hết ranh thửa
P=1022 | X=0309.720-0365.790 | Y=0305.140-0316.380 | đất số 18, tờ
P=1022 | X=0309.720-0378.950 | Y=0316.660-0327.900 | BĐĐC số 28 về
P=1022 | X=0309.720-0378.300 | Y=0329.820-0339.140 | bên phải và hết
P=1022 | X=0106.850-0214.230 | Y=0333.700-0344.940 | Đường Bình Hòa - Long
P=1022 | X=0309.720-0383.260 | Y=0339.460-0350.700 | ranh thửa đất số
P=1022 | X=0092.900-0104.020 | Y=0341.340-0350.660 | 22
P=1022 | X=0235.300-0278.340 | Y=0341.340-0350.660 | Quốc lộ 1
P=1022 | X=0393.980-0419.030 | Y=0341.340-0350.660 | 1.600
P=1022 | X=0430.250-0455.300 | Y=0341.340-0350.660 | 1.100
P=1022 | X=0505.630-0522.270 | Y=0341.340-0350.660 | 960
P=1022 | X=0106.850-0135.740 | Y=0347.100-0356.420 | Khánh
P=1022 | X=0309.720-0372.680 | Y=0350.980-0362.220 | 259, tờ BĐĐC
P=1022 | X=0309.720-0367.160 | Y=0364.380-0373.700 | số 24 về bên
P=1022 | X=0309.720-0365.940 | Y=0375.920-0385.240 | trái, xã Xuân
P=1022 | X=0309.720-0327.560 | Y=0387.440-0396.760 | Phú
P=1022 | X=0106.850-0378.670 | Y=0403.320-0414.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình
P=1022 | X=0106.850-0371.590 | Y=0414.840-0426.080 | Hòa - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh thửa đất
P=1022 | X=0106.850-0365.260 | Y=0426.360-0437.600 | số 18, tờ BĐĐC số 28 về bên phải và hết ranh thửa đất số
P=1022 | X=0106.850-0380.610 | Y=0437.880-0449.120 | 259, tờ BĐĐC số 24 về bên trái, xã Xuân Phú có hiện trạng là
P=1022 | X=0092.900-0104.020 | Y=0445.760-0455.080 | 23
P=1022 | X=0402.140-0418.780 | Y=0445.760-0455.080 | 790
P=1022 | X=0438.410-0455.050 | Y=0445.760-0455.080 | 550
P=1022 | X=0505.630-0522.270 | Y=0445.760-0455.080 | 470
P=1022 | X=0106.850-0242.600 | Y=0449.420-0460.660 | đường nhựa, bê tông xi măng:
P=1022 | X=0106.850-0337.930 | Y=0466.940-0478.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1022 | X=0106.850-0384.020 | Y=0484.220-0495.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1022 | X=0106.850-0378.670 | Y=0501.980-0513.220 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình
P=1022 | X=0106.850-0371.590 | Y=0513.500-0524.740 | Hòa - Long Khánh đoạn từ Quốc lộ 1 đến Hết ranh thửa đất
P=1022 | X=0106.850-0365.260 | Y=0525.020-0536.260 | số 18, tờ BĐĐC số 28 về bên phải và hết ranh thửa đất số
P=1022 | X=0106.850-0380.610 | Y=0536.570-0547.810 | 259, tờ BĐĐC số 24 về bên trái, xã Xuân Phú có hiện trạng là
P=1022 | X=0106.850-0242.630 | Y=0548.090-0559.330 | đường nhựa, bê tông xi măng:
P=1022 | X=0092.900-0104.020 | Y=0559.090-0568.410 | 24
P=1022 | X=0402.140-0418.780 | Y=0559.090-0568.410 | 660
P=1022 | X=0438.410-0455.050 | Y=0559.090-0568.410 | 460
P=1022 | X=0505.630-0522.270 | Y=0559.090-0568.410 | 400
