TABLE=067 | AREA=Xã Đồng Tâm | SECTION=non-agricultural | SEGMENTS=1
P=2030 | X=0497.230-0522.280 | Y=0290.700-0300.020 | 1.300
P=2030 | X=0342.360-0400.420 | Y=0294.580-0305.820 | (Tân Phú cũ)
P=2030 | X=0107.330-0196.850 | Y=0296.460-0305.780 | Quân sự - Kiểm lâm
P=2030 | X=0252.340-0327.000 | Y=0302.220-0311.540 | công nghiệp Bắc
P=2030 | X=0252.340-0300.100 | Y=0311.860-0323.100 | Đồng Phú)
P=2030 | X=0342.360-0398.230 | Y=0329.860-0341.100 | Hết thửa đất
P=2030 | X=0107.330-0239.140 | Y=0335.620-0346.860 | Đường Tân Phú - Tân Phước
P=2030 | X=0252.340-0338.130 | Y=0335.620-0346.860 | Đường Cách Mạng
P=2030 | X=0342.360-0393.590 | Y=0343.260-0352.580 | số 57 và số
P=2030 | X=0092.900-0239.200 | Y=0347.140-0358.380 | 61 (Đường vào khu B - khu công
P=2030 | X=0252.340-0341.490 | Y=0347.140-0358.380 | Tháng Tám (Đường
P=2030 | X=0412.460-0437.510 | Y=0349.020-0358.340 | 3.300
P=2030 | X=0459.050-0484.100 | Y=0349.020-0358.340 | 2.300
P=2030 | X=0497.230-0522.280 | Y=0349.020-0358.340 | 2.000
P=2030 | X=0342.360-0401.990 | Y=0352.900-0364.140 | 32, tờ bản đồ
P=2030 | X=0107.330-0208.150 | Y=0358.660-0369.900 | nghiệp Bắc Đồng Phú)
P=2030 | X=0252.340-0288.570 | Y=0358.660-0369.900 | ĐT 741)
P=2030 | X=0342.360-0366.700 | Y=0366.060-0375.380 | số 43
P=2030 | X=0107.330-0239.140 | Y=0382.200-0393.440 | Đường Tân Phú - Tân Phước
P=2030 | X=0252.340-0331.490 | Y=0382.200-0393.440 | Từ ranh Thửa đất
P=2030 | X=0342.360-0401.590 | Y=0382.200-0393.440 | Hết Thửa đất
P=2030 | X=0092.900-0239.200 | Y=0393.720-0404.960 | 62 (Đường vào khu B - khu công
P=2030 | X=0252.340-0330.930 | Y=0393.720-0404.960 | số 472, tờ bản đồ
P=2030 | X=0342.360-0401.500 | Y=0395.600-0404.920 | số 63, tờ bản
P=2030 | X=0412.460-0437.510 | Y=0395.600-0404.920 | 3.100
P=2030 | X=0459.050-0484.100 | Y=0395.600-0404.920 | 2.100
P=2030 | X=0497.230-0522.280 | Y=0395.600-0404.920 | 1.800
P=2030 | X=0107.330-0208.150 | Y=0405.240-0416.480 | nghiệp Bắc Đồng Phú)
P=2030 | X=0342.360-0380.620 | Y=0405.240-0416.480 | đồ số 22
P=2030 | X=0252.340-0276.660 | Y=0407.120-0416.440 | số 21
P=2030 | X=0342.360-0401.590 | Y=0423.240-0434.480 | Hết Thửa đất
P=2030 | X=0107.330-0250.200 | Y=0429.000-0440.240 | Đường đi xã Tân Lợi (Đường từ
P=2030 | X=0252.340-0310.750 | Y=0434.760-0446.000 | Đường Hùng
P=2030 | X=0342.360-0399.190 | Y=0436.640-0445.960 | số 8 và số 9,
P=2030 | X=0092.900-0243.780 | Y=0440.520-0451.760 | 63 Trung tâm (thương mại đến xã
P=2030 | X=0412.460-0437.510 | Y=0442.400-0451.720 | 2.300
P=2030 | X=0459.050-0484.100 | Y=0442.400-0451.720 | 1.600
P=2030 | X=0497.230-0522.270 | Y=0442.400-0451.720 | 1.400
P=2030 | X=0252.340-0283.620 | Y=0446.280-0457.520 | Vương
P=2030 | X=0342.360-0398.380 | Y=0446.280-0457.520 | tờ bản đồ số
P=2030 | X=0107.330-0145.250 | Y=0453.940-0463.260 | Tân Lợi)
P=2030 | X=0342.360-0353.480 | Y=0459.700-0469.020 | 37
P=2030 | X=0342.360-0390.710 | Y=0477.700-0487.020 | Cổng chào
P=2030 | X=0252.340-0326.200 | Y=0483.460-0492.780 | Cổng Chùa Phật
P=2030 | X=0107.330-0244.690 | Y=0487.340-0498.580 | Tuyến Đường giao thông trung
P=2030 | X=0342.360-0379.170 | Y=0489.220-0498.540 | làng Hải
P=2030 | X=0252.340-0325.160 | Y=0493.100-0504.340 | Đà (Thửa đất số
P=2030 | X=0092.900-0224.800 | Y=0498.860-0510.100 | 64 tâm thôn Dên Dên (đường
P=2030 | X=0342.360-0398.140 | Y=0500.740-0510.060 | Phòng (thửa
P=2030 | X=0420.650-0437.290 | Y=0500.740-0510.060 | 850
P=2030 | X=0467.210-0483.850 | Y=0500.740-0510.060 | 600
P=2030 | X=0505.390-0522.030 | Y=0500.740-0510.060 | 510
P=2030 | X=0252.340-0339.810 | Y=0504.620-0515.860 | 146, 183, tờ bản đồ
P=2030 | X=0342.360-0404.200 | Y=0510.380-0521.620 | đất số 259, tờ
P=2030 | X=0107.330-0133.970 | Y=0512.260-0521.580 | nhựa)
P=2030 | X=0252.340-0279.940 | Y=0518.020-0527.340 | số 33)
P=2030 | X=0342.360-0403.340 | Y=0521.900-0533.140 | bản đồ số 27)
P=2030 | X=0107.330-0234.640 | Y=0539.930-0551.170 | Các tuyến đường giao thông
P=2030 | X=0092.900-0228.130 | Y=0553.330-0562.650 | 65 trong thôn Dên Dên (không
P=2030 | X=0252.340-0302.600 | Y=0553.330-0562.650 | Toàn tuyến
P=2030 | X=0420.650-0437.290 | Y=0553.330-0562.650 | 430
P=2030 | X=0467.210-0483.850 | Y=0553.330-0562.650 | 300
P=2030 | X=0505.390-0522.030 | Y=0553.330-0562.650 | 260
P=2030 | X=0107.330-0189.890 | Y=0564.850-0574.170 | phân biệt phạm vi)
P=2030 | X=0252.340-0394.300 | Y=0580.970-0592.210 | Đường Phú Riềng Đường Tôn
P=2030 | X=0092.900-0197.440 | Y=0586.490-0597.730 | 66 Đường Nguyễn Huệ
P=2030 | X=0412.460-0437.510 | Y=0588.370-0597.690 | 2.000
P=2030 | X=0459.050-0484.100 | Y=0588.370-0597.690 | 1.400
P=2030 | X=0497.230-0522.280 | Y=0588.370-0597.690 | 1.200
P=2030 | X=0252.340-0265.140 | Y=0592.250-0603.490 | Đỏ
P=2030 | X=0342.360-0392.620 | Y=0592.250-0603.490 | Đức Thắng
P=2030 | X=0252.340-0394.300 | Y=0610.250-0621.490 | Đường Phú Riềng Đường Tôn
P=2030 | X=0092.900-0197.430 | Y=0616.010-0627.250 | 67 Đường Lê Đại Hành
P=2030 | X=0412.460-0437.510 | Y=0617.890-0627.210 | 2.000
P=2030 | X=0459.050-0484.100 | Y=0617.890-0627.210 | 1.400
P=2030 | X=0497.230-0522.280 | Y=0617.890-0627.210 | 1.200
P=2030 | X=0252.340-0265.140 | Y=0621.790-0633.030 | Đỏ
P=2030 | X=0342.360-0392.620 | Y=0621.790-0633.030 | Đức Thắng
P=2030 | X=0252.340-0394.300 | Y=0639.790-0651.030 | Đường Trần Nhân Đường Tôn
P=2030 | X=0092.900-0196.220 | Y=0645.550-0656.790 | 68 Đường Nguyễn Trãi
P=2030 | X=0412.460-0437.510 | Y=0647.430-0656.750 | 2.000
P=2030 | X=0459.050-0484.100 | Y=0647.430-0656.750 | 1.400
P=2030 | X=0497.230-0522.280 | Y=0647.430-0656.750 | 1.200
P=2030 | X=0342.360-0392.620 | Y=0651.310-0662.550 | Đức Thắng
P=2030 | X=0252.340-0275.220 | Y=0653.190-0662.510 | Tông
P=2030 | X=0252.340-0394.300 | Y=0669.310-0680.550 | Đường Phú Riềng Đường Tôn
P=2030 | X=0092.900-0192.640 | Y=0675.070-0686.310 | 69 Đường Ngô Quyền
P=2030 | X=0412.460-0437.510 | Y=0676.950-0686.270 | 2.000
P=2030 | X=0459.050-0484.100 | Y=0676.950-0686.270 | 1.400
P=2030 | X=0497.230-0522.280 | Y=0676.950-0686.270 | 1.200
P=2030 | X=0252.340-0265.140 | Y=0680.830-0692.070 | Đỏ
P=2030 | X=0342.360-0392.620 | Y=0680.830-0692.070 | Đức Thắng
P=2030 | X=0092.900-0199.830 | Y=0698.830-0710.070 | 70 Đường Đinh Bộ Lĩnh
P=2030 | X=0252.340-0394.300 | Y=0698.830-0710.070 | Đường Phú Riềng Đường Tôn
P=2030 | X=0412.460-0437.510 | Y=0700.710-0710.030 | 2.000
P=2030 | X=0459.050-0484.100 | Y=0700.710-0710.030 | 1.400
P=2030 | X=0497.230-0522.280 | Y=0700.710-0710.030 | 1.200
P=2031 | X=0252.340-0265.140 | Y=0072.740-0083.980 | Đỏ
P=2031 | X=0342.360-0392.620 | Y=0072.740-0083.980 | Đức Thắng
P=2031 | X=0252.340-0313.110 | Y=0090.740-0101.980 | Đường Lý Tự
P=2031 | X=0342.360-0394.300 | Y=0090.740-0101.980 | Đường Tôn
P=2031 | X=0092.900-0189.270 | Y=0096.500-0107.740 | 71 Đường Lý Thái Tổ
P=2031 | X=0412.460-0437.510 | Y=0098.380-0107.700 | 2.000
P=2031 | X=0459.050-0484.100 | Y=0098.380-0107.700 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0098.380-0107.700 | 1.200
P=2031 | X=0342.360-0392.620 | Y=0102.260-0113.500 | Đức Thắng
P=2031 | X=0252.340-0278.580 | Y=0104.140-0113.460 | Trọng
P=2031 | X=0252.340-0322.530 | Y=0120.290-0131.530 | Đường Đinh Bộ
P=2031 | X=0092.900-0196.950 | Y=0126.050-0137.290 | 72 Đường Lý Tự Trọng
P=2031 | X=0342.360-0437.510 | Y=0126.050-0137.290 | Đường Âu Cơ 2.000
P=2031 | X=0459.050-0484.100 | Y=0127.930-0137.250 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0127.930-0137.250 | 1.200
P=2031 | X=0252.340-0271.860 | Y=0131.810-0143.050 | Lĩnh
P=2031 | X=0252.340-0338.130 | Y=0149.810-0161.050 | Đường Cách Mạng
P=2031 | X=0342.360-0394.300 | Y=0155.570-0166.810 | Đường Tôn
P=2031 | X=0092.900-0170.570 | Y=0161.330-0172.570 | 73 Đường Âu Cơ
P=2031 | X=0252.340-0341.490 | Y=0161.330-0172.570 | Tháng Tám (Đường
P=2031 | X=0412.460-0437.510 | Y=0163.210-0172.530 | 2.000
P=2031 | X=0459.050-0484.100 | Y=0163.210-0172.530 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0163.210-0172.530 | 1.200
P=2031 | X=0342.360-0392.620 | Y=0167.090-0178.330 | Đức Thắng
P=2031 | X=0252.340-0288.570 | Y=0172.850-0184.090 | ĐT 741)
P=2031 | X=0342.360-0402.860 | Y=0190.850-0202.090 | Đường Phạm
P=2031 | X=0092.900-0205.840 | Y=0196.610-0207.850 | 74 Đường Điện Biên Phủ
P=2031 | X=0252.340-0315.580 | Y=0196.610-0207.850 | Đường Âu Cơ
P=2031 | X=0412.460-0437.510 | Y=0198.490-0207.810 | 2.000
P=2031 | X=0459.050-0484.100 | Y=0198.490-0207.810 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0198.490-0207.810 | 1.200
P=2031 | X=0342.360-0396.460 | Y=0204.270-0213.590 | Ngọc Thạch
P=2031 | X=0252.340-0374.140 | Y=0220.390-0231.630 | Đường Phạm Ngọc Đường
P=2031 | X=0092.900-0170.070 | Y=0225.910-0237.150 | 75 Đường Lê Lợi
P=2031 | X=0412.460-0437.510 | Y=0227.790-0237.110 | 2.000
P=2031 | X=0459.050-0484.100 | Y=0227.790-0237.110 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0227.790-0237.110 | 1.200
P=2031 | X=0252.340-0280.260 | Y=0233.550-0242.870 | Thạch
P=2031 | X=0342.360-0397.910 | Y=0233.550-0242.870 | Nguyễn Huệ
P=2031 | X=0252.340-0315.800 | Y=0249.670-0260.910 | Đường Lê Đại
P=2031 | X=0342.360-0374.140 | Y=0249.670-0260.910 | Đường
P=2031 | X=0092.900-0237.030 | Y=0255.430-0266.670 | 76 Đường Hải Thượng Lãn Ông
P=2031 | X=0412.460-0437.510 | Y=0257.310-0266.630 | 2.000
P=2031 | X=0459.050-0484.100 | Y=0257.310-0266.630 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0257.310-0266.630 | 1.200
P=2031 | X=0252.340-0276.200 | Y=0263.070-0272.390 | Hành
P=2031 | X=0342.360-0396.930 | Y=0263.070-0272.390 | Nguyễn Trãi
P=2031 | X=0252.340-0374.140 | Y=0279.190-0290.430 | Đường Phạm Ngọc Đường
P=2031 | X=0092.900-0200.760 | Y=0284.980-0296.220 | 77 Đường Trần Văn Trà
P=2031 | X=0412.460-0437.510 | Y=0286.860-0296.180 | 2.000
P=2031 | X=0459.050-0484.100 | Y=0286.860-0296.180 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0286.860-0296.180 | 1.200
P=2031 | X=0252.340-0280.260 | Y=0292.620-0301.940 | Thạch
P=2031 | X=0342.360-0397.910 | Y=0292.620-0301.940 | Nguyễn Huệ
P=2031 | X=0252.340-0315.800 | Y=0308.740-0319.980 | Đường Lê Đại
P=2031 | X=0342.360-0395.270 | Y=0308.740-0319.980 | Đường Ngô
P=2031 | X=0092.900-0214.690 | Y=0314.500-0325.740 | 78 Đường Trần Nhân Tông
P=2031 | X=0412.460-0437.510 | Y=0316.380-0325.700 | 2.000
P=2031 | X=0459.050-0484.100 | Y=0316.380-0325.700 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0316.380-0325.700 | 1.200
P=2031 | X=0252.340-0276.200 | Y=0322.140-0331.460 | Hành
P=2031 | X=0342.360-0371.980 | Y=0322.140-0331.460 | Quyền
P=2031 | X=0252.340-0338.130 | Y=0338.260-0349.500 | Đường Cách Mạng
P=2031 | X=0342.360-0400.790 | Y=0344.020-0355.260 | Đường Hùng
P=2031 | X=0092.900-0216.870 | Y=0349.780-0361.020 | 79 Đường Nguyễn Văn Trỗi
P=2031 | X=0252.340-0341.490 | Y=0349.780-0361.020 | Tháng Tám (Đường
P=2031 | X=0412.460-0437.510 | Y=0351.660-0360.980 | 3.200
P=2031 | X=0459.050-0484.100 | Y=0351.660-0360.980 | 2.300
P=2031 | X=0497.230-0522.280 | Y=0351.660-0360.980 | 1.900
P=2031 | X=0342.360-0373.640 | Y=0355.540-0366.780 | Vương
P=2031 | X=0252.340-0288.570 | Y=0361.300-0372.540 | ĐT 741)
P=2031 | X=0252.340-0338.130 | Y=0379.320-0390.560 | Đường Cách Mạng
P=2031 | X=0342.360-0400.790 | Y=0385.080-0396.320 | Đường Hùng
P=2031 | X=0092.900-0191.910 | Y=0390.840-0402.080 | 80 Đường Nguyễn Du
P=2031 | X=0252.340-0341.490 | Y=0390.840-0402.080 | Tháng Tám (Đường
P=2031 | X=0412.460-0437.510 | Y=0392.720-0402.040 | 3.300
P=2031 | X=0459.050-0484.100 | Y=0392.720-0402.040 | 2.300
P=2031 | X=0497.230-0522.280 | Y=0392.720-0402.040 | 2.000
P=2031 | X=0342.360-0373.640 | Y=0396.600-0407.840 | Vương
P=2031 | X=0252.340-0288.570 | Y=0402.360-0413.600 | ĐT 741)
P=2031 | X=0252.340-0338.130 | Y=0420.360-0431.600 | Đường Cách Mạng
P=2031 | X=0342.360-0400.790 | Y=0426.120-0437.360 | Đường Hùng
P=2031 | X=0092.900-0195.990 | Y=0431.880-0443.120 | 81 Đường Chu Văn An
P=2031 | X=0252.340-0341.490 | Y=0431.880-0443.120 | Tháng Tám (Đường
P=2031 | X=0412.460-0437.510 | Y=0433.760-0443.080 | 3.300
P=2031 | X=0459.050-0484.100 | Y=0433.760-0443.080 | 2.300
P=2031 | X=0497.230-0522.280 | Y=0433.760-0443.080 | 2.000
P=2031 | X=0342.360-0373.640 | Y=0437.640-0448.880 | Vương
P=2031 | X=0252.340-0288.570 | Y=0443.400-0454.640 | ĐT 741)
P=2031 | X=0252.340-0338.130 | Y=0461.420-0472.660 | Đường Cách Mạng
P=2031 | X=0342.360-0400.790 | Y=0467.180-0478.420 | Đường Hùng
P=2031 | X=0092.900-0191.430 | Y=0472.940-0484.180 | 82 Đường Võ Thị Sáu
P=2031 | X=0252.340-0341.490 | Y=0472.940-0484.180 | Tháng Tám (Đường
P=2031 | X=0412.460-0437.510 | Y=0474.820-0484.140 | 3.100
P=2031 | X=0459.050-0484.100 | Y=0474.820-0484.140 | 2.100
P=2031 | X=0497.230-0522.280 | Y=0474.820-0484.140 | 1.800
P=2031 | X=0342.360-0373.640 | Y=0478.700-0489.940 | Vương
P=2031 | X=0252.340-0288.570 | Y=0484.220-0495.460 | ĐT 741)
P=2031 | X=0092.900-0227.410 | Y=0502.220-0513.460 | 83 Đường Huỳnh Thúc Kháng
P=2031 | X=0252.340-0302.600 | Y=0504.100-0513.420 | Toàn tuyến
P=2031 | X=0412.460-0437.510 | Y=0504.100-0513.420 | 2.000
P=2031 | X=0459.050-0484.100 | Y=0504.100-0513.420 | 1.400
P=2031 | X=0497.230-0522.280 | Y=0504.100-0513.420 | 1.200
P=2031 | X=0092.900-0183.000 | Y=0520.220-0531.460 | 84 Đường Trần Phú
P=2031 | X=0252.340-0302.600 | Y=0522.100-0531.420 | Toàn tuyến
P=2031 | X=0412.460-0437.510 | Y=0522.100-0531.420 | 3.100
P=2031 | X=0459.050-0484.100 | Y=0522.100-0531.420 | 2.100
P=2031 | X=0497.230-0522.280 | Y=0522.100-0531.420 | 1.800
P=2031 | X=0252.340-0394.300 | Y=0538.250-0549.490 | Đường Phú Riềng Đường Tôn
P=2031 | X=0092.900-0210.370 | Y=0544.010-0555.250 | 85 Đường Lạc Long Quân
P=2031 | X=0412.460-0437.510 | Y=0545.890-0555.210 | 3.100
P=2031 | X=0459.050-0484.100 | Y=0545.890-0555.210 | 2.100
P=2031 | X=0497.230-0522.280 | Y=0545.890-0555.210 | 1.800
P=2031 | X=0252.340-0265.140 | Y=0549.770-0561.010 | Đỏ
P=2031 | X=0342.360-0392.620 | Y=0549.770-0561.010 | Đức Thắng
P=2031 | X=0252.340-0325.800 | Y=0567.770-0579.010 | Đường Tôn Đức
P=2031 | X=0342.360-0408.230 | Y=0567.770-0579.010 | Hết tuyến (đảo
P=2031 | X=0092.900-0210.370 | Y=0573.530-0584.770 | 86 Đường Lạc Long Quân
P=2031 | X=0412.460-0437.510 | Y=0575.410-0584.730 | 1.900
P=2031 | X=0459.050-0484.100 | Y=0575.410-0584.730 | 1.300
P=2031 | X=0497.230-0522.280 | Y=0575.410-0584.730 | 1.100
P=2031 | X=0342.360-0399.220 | Y=0579.290-0590.530 | yến Sơn Hà)
P=2031 | X=0252.340-0280.740 | Y=0581.170-0590.490 | Thắng
P=2031 | X=0092.900-0200.760 | Y=0597.290-0608.530 | 87 Đường Lê Thái Tông
P=2031 | X=0252.340-0302.600 | Y=0599.170-0608.490 | Toàn tuyến
P=2031 | X=0412.460-0437.510 | Y=0599.170-0608.490 | 1.900
P=2031 | X=0459.050-0484.100 | Y=0599.170-0608.490 | 1.300
P=2031 | X=0497.230-0522.280 | Y=0599.170-0608.490 | 1.100
P=2031 | X=0092.900-0214.710 | Y=0615.290-0626.530 | 88 Đường Trần Quốc Toản
P=2031 | X=0252.340-0302.600 | Y=0617.170-0626.490 | Toàn tuyến
P=2031 | X=0412.460-0437.510 | Y=0617.170-0626.490 | 1.900
P=2031 | X=0459.050-0484.100 | Y=0617.170-0626.490 | 1.300
P=2031 | X=0497.230-0522.280 | Y=0617.170-0626.490 | 1.100
P=2031 | X=0092.900-0201.960 | Y=0633.310-0644.550 | 89 Đường Hai Bà Trưng
P=2031 | X=0252.340-0302.600 | Y=0635.190-0644.510 | Toàn tuyến
P=2031 | X=0412.460-0437.510 | Y=0635.190-0644.510 | 1.900
P=2031 | X=0459.050-0484.100 | Y=0635.190-0644.510 | 1.300
P=2031 | X=0497.230-0522.280 | Y=0635.190-0644.510 | 1.100
P=2031 | X=0092.900-0222.360 | Y=0651.310-0662.550 | 90 Đường An Dương Vương
P=2031 | X=0252.340-0302.600 | Y=0653.190-0662.510 | Toàn tuyến
P=2031 | X=0412.460-0437.510 | Y=0653.190-0662.510 | 1.900
P=2031 | X=0459.050-0484.100 | Y=0653.190-0662.510 | 1.300
P=2031 | X=0497.230-0522.280 | Y=0653.190-0662.510 | 1.100
P=2031 | X=0252.340-0401.960 | Y=0669.310-0680.550 | Đường Phạm Ngọc Giáp khu dân
P=2031 | X=0092.900-0191.390 | Y=0675.070-0686.310 | 91 Đường Bắc Nam 2
P=2031 | X=0412.460-0437.510 | Y=0676.950-0686.270 | 1.500
P=2031 | X=0459.050-0484.100 | Y=0676.950-0686.270 | 1.100
P=2031 | X=0505.390-0522.030 | Y=0676.950-0686.270 | 920
P=2031 | X=0342.360-0397.020 | Y=0680.830-0692.070 | cư Thịnh Trí
P=2031 | X=0252.340-0280.260 | Y=0682.710-0692.030 | Thạch
P=2031 | X=0092.900-0191.390 | Y=0698.830-0710.070 | 92 Đường Bắc Nam 3
P=2031 | X=0252.340-0328.050 | Y=0698.830-0710.070 | Đường Lạc Long
P=2031 | X=0342.360-0374.140 | Y=0698.830-0710.070 | Đường
P=2031 | X=0412.460-0437.510 | Y=0700.710-0710.030 | 1.500
P=2031 | X=0459.050-0484.100 | Y=0700.710-0710.030 | 1.100
P=2031 | X=0505.390-0522.030 | Y=0700.710-0710.030 | 920
P=2032 | X=0252.340-0276.900 | Y=0074.620-0083.940 | Quân
P=2032 | X=0342.360-0399.110 | Y=0074.620-0083.940 | Nguyễn Hữu
P=2032 | X=0342.360-0359.720 | Y=0086.140-0095.460 | Thọ
P=2032 | X=0342.360-0400.790 | Y=0102.260-0113.500 | Đường Đông
P=2032 | X=0252.340-0321.320 | Y=0108.020-0119.260 | Đường Nguyễn
P=2032 | X=0092.900-0191.390 | Y=0113.780-0125.020 | 93 Đường Bắc Nam 4
P=2032 | X=0342.360-0399.340 | Y=0115.660-0124.980 | Tây 9 (Tổ 23
P=2032 | X=0412.460-0437.510 | Y=0115.660-0124.980 | 1.500
P=2032 | X=0459.050-0484.100 | Y=0115.660-0124.980 | 1.100
P=2032 | X=0505.390-0522.030 | Y=0115.660-0124.980 | 920
P=2032 | X=0252.340-0292.030 | Y=0121.450-0130.770 | Hữu Thọ
P=2032 | X=0342.360-0375.450 | Y=0127.210-0136.530 | nối dài)
P=2032 | X=0342.360-0409.900 | Y=0145.210-0154.530 | Giáp ranh thửa
P=2032 | X=0252.340-0328.050 | Y=0149.090-0160.330 | Đường Lạc Long
P=2032 | X=0092.900-0191.390 | Y=0154.850-0166.090 | 94 Đường Bắc Nam 7
P=2032 | X=0342.360-0437.510 | Y=0154.850-0166.090 | đất số 60, tờ 1.500
P=2032 | X=0459.050-0484.100 | Y=0156.730-0166.050 | 1.100
P=2032 | X=0505.390-0522.030 | Y=0156.730-0166.050 | 920
P=2032 | X=0252.340-0276.900 | Y=0162.490-0171.810 | Quân
P=2032 | X=0342.360-0400.060 | Y=0166.370-0177.610 | bản đồ số 18
P=2032 | X=0342.360-0409.900 | Y=0186.250-0195.570 | Giáp ranh thửa
P=2032 | X=0092.900-0199.090 | Y=0195.650-0206.890 | 95 Đường Đông Tây 10
P=2032 | X=0252.340-0437.510 | Y=0195.650-0206.890 | Đường tổ 23 nối dài đất số 88, tờ 1.500
P=2032 | X=0459.050-0484.100 | Y=0197.530-0206.850 | 1.100
P=2032 | X=0505.390-0522.030 | Y=0197.530-0206.850 | 920
P=2032 | X=0342.360-0400.060 | Y=0207.190-0218.430 | bản đồ số 19
P=2032 | X=0252.340-0394.300 | Y=0225.190-0236.430 | Đường Cách Mạng Đường Tôn
P=2032 | X=0107.330-0241.380 | Y=0230.950-0242.190 | Đường Đông Tây 9 (Tổ 23 nối
P=2032 | X=0252.340-0392.620 | Y=0236.710-0247.950 | Tháng Tám (Đường Đức Thắng
P=2032 | X=0092.900-0104.020 | Y=0238.590-0247.910 | 96
P=2032 | X=0412.460-0437.510 | Y=0238.590-0247.910 | 1.900
P=2032 | X=0459.050-0484.100 | Y=0238.590-0247.910 | 1.300
P=2032 | X=0497.230-0522.280 | Y=0238.590-0247.910 | 1.100
P=2032 | X=0107.330-0124.120 | Y=0244.350-0253.670 | dài)
P=2032 | X=0252.340-0288.570 | Y=0248.230-0259.470 | ĐT 741)
P=2032 | X=0342.360-0378.830 | Y=0250.110-0259.430 | (nối dài)
P=2032 | X=0107.330-0241.380 | Y=0266.230-0277.470 | Đường Đông Tây 9 (Tổ 23 nối
P=2032 | X=0252.340-0325.800 | Y=0266.230-0277.470 | Đường Tôn Đức
P=2032 | X=0092.900-0104.020 | Y=0273.870-0283.190 | 97
P=2032 | X=0342.360-0385.430 | Y=0273.870-0283.190 | Hết tuyến
P=2032 | X=0412.460-0437.510 | Y=0273.870-0283.190 | 1.500
P=2032 | X=0459.050-0484.100 | Y=0273.870-0283.190 | 1.100
P=2032 | X=0505.390-0522.030 | Y=0273.870-0283.190 | 920
P=2032 | X=0107.330-0124.120 | Y=0279.630-0288.950 | dài)
P=2032 | X=0252.340-0319.770 | Y=0279.630-0288.950 | Thắng (nối dài)
P=2032 | X=0107.330-0231.780 | Y=0295.780-0307.020 | Các tuyến đường tổ đấu nối
P=2032 | X=0092.900-0302.600 | Y=0307.300-0318.540 | 98 Đường Cách Mạng Tháng Tám: Toàn tuyến
P=2032 | X=0412.460-0437.510 | Y=0309.180-0318.500 | 1.600
P=2032 | X=0459.050-0484.100 | Y=0309.180-0318.500 | 1.100
P=2032 | X=0505.390-0522.030 | Y=0309.180-0318.500 | 970
P=2032 | X=0107.330-0241.460 | Y=0318.820-0330.060 | Đường tổ 7, 9, 1 (Tân Phú cũ)
P=2032 | X=0107.330-0235.140 | Y=0336.820-0348.060 | Các tuyến đường Tổ đấu nối
P=2032 | X=0092.900-0302.600 | Y=0348.340-0359.580 | 99 Đường Cách Mạng Tháng Tám: Toàn tuyến
P=2032 | X=0412.460-0437.510 | Y=0350.220-0359.540 | 1.400
P=2032 | X=0467.210-0483.850 | Y=0350.220-0359.540 | 950
P=2032 | X=0505.390-0522.030 | Y=0350.220-0359.540 | 820
P=2032 | X=0107.330-0184.230 | Y=0361.740-0371.060 | Các tuyến còn lại
P=2032 | X=0107.330-0231.780 | Y=0377.880-0389.120 | Các tuyến đường tổ đấu nối
P=2032 | X=0090.020-0106.660 | Y=0385.520-0394.840 | 100
P=2032 | X=0252.340-0302.600 | Y=0385.520-0394.840 | Toàn tuyến
P=2032 | X=0412.460-0437.510 | Y=0385.520-0394.840 | 1.400
P=2032 | X=0467.210-0483.850 | Y=0385.520-0394.840 | 950
P=2032 | X=0505.390-0522.030 | Y=0385.520-0394.840 | 820
P=2032 | X=0107.330-0204.150 | Y=0389.400-0400.640 | Đường Phú Riềng Đỏ
P=2032 | X=0107.330-0231.780 | Y=0407.400-0418.640 | Các tuyến đường tổ đấu nối
P=2032 | X=0090.020-0106.660 | Y=0415.040-0424.360 | 101
P=2032 | X=0252.340-0302.600 | Y=0415.040-0424.360 | Toàn tuyến
P=2032 | X=0412.460-0437.510 | Y=0415.040-0424.360 | 1.300
P=2032 | X=0467.210-0483.850 | Y=0415.040-0424.360 | 890
P=2032 | X=0505.390-0522.030 | Y=0415.040-0424.360 | 770
P=2032 | X=0107.330-0211.830 | Y=0418.920-0430.160 | Đường Tôn Đức Thắng
P=2032 | X=0107.330-0231.780 | Y=0436.920-0448.160 | Các tuyến đường tổ đấu nối
P=2032 | X=0090.020-0106.660 | Y=0444.560-0453.880 | 102
P=2032 | X=0252.340-0302.600 | Y=0444.560-0453.880 | Toàn tuyến
P=2032 | X=0412.460-0437.510 | Y=0444.560-0453.880 | 1.300
P=2032 | X=0467.210-0483.850 | Y=0444.560-0453.880 | 890
P=2032 | X=0505.390-0522.030 | Y=0444.560-0453.880 | 770
P=2032 | X=0107.330-0218.540 | Y=0448.200-0459.440 | Đường Nguyễn Văn Linh
P=2032 | X=0107.330-0231.780 | Y=0466.220-0477.460 | Các tuyến đường tổ đấu nối
