TABLE=090 | AREA=Xã Đa Kia | RECORDS=57 | GROUPS=56 | REVIEW=57
ID=NQ28-090-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=390,330 | ROAD=Đường vào nhà Đường ĐT thờ An Bình | START=Hết thửa 759 và 427, số 12 | END=đất số 128 tờ bản đồ 550 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=280,240 | ROAD=Đường nhựa Đường ĐT thôn 3 | START=Hết thửa 759 và 73, 19 | END=đất số 65 tờ bản đồ số 400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=350,300 | ROAD=Đường nhựa Đường ĐT thôn 3 | START=Hết thửa 759 và 231, | END=đất số 47 500 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=350,300 | ROAD=Đường nhựa Đường ĐT thôn Bình Thủy | START=số 28 Hết thửa 759 và 215, số 20 | END=đất số 173 tờ bản đồ 500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=420,360 | ROAD=Đường nhựa Đường ĐT thôn Bình Thủy | START=Hết thửa 759 và 367, số 30 | END=đất số 149 tờ bản đồ 600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=560,480 | ROAD=Các tuyến Đường nhựa nội đô thuộc khu Quy Toàn tuyến hoạch 1/500 thôn | START= | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0004-02 | SEC=non-agricultural | TT=4 | REL=main | PRICES= | ROAD=(Trung tâm hành chính xã) | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-090-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=250,220 | ROAD=Đường nhựa Đường ĐT thôn 6 | START=Hết thửa 759 và 114, số 51 | END=đất số 71 tờ bản đồ 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=280,240 | ROAD=Đường nhựa Đường ĐT thôn 6 chào thôn Các tuyến đường | START=Hết thửa 759 (cổng 131, tờ 6) 46 | END=đất số bản đồ số 400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=direct | PRICES=210,180 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
