TABLE=061 | AREA=Phường Bình Long | RECORDS=205 | GROUPS=205 | REVIEW=29
ID=NQ28-061-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=1300,910,780 | ROAD=Cuối Đường ALT 1 279; 111 | START=thửa đất số tờ bản đồ số Cầu | END=cây Sung 1.300 | FLAGS=
ID=NQ28-061-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=1600,1100,970 | ROAD=Đường ALT 2 Đường | START=Đường ĐT 752 ba | END=ALT 1 (Ngã 1.600 Cây Xoài đôi) | FLAGS=
ID=NQ28-061-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=1600,1100,970 | ROAD=Đường ALT 3 Đường | START=ĐT 752 Đường | END=ALT 1 1.600 | FLAGS=
ID=NQ28-061-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=2400,1700,1500 | ROAD=Đường ALT 4 Ngã | START=Giáp Ba Xe Tăng Đức | END=ranh xã Minh 2.400 | FLAGS=
ID=NQ28-061-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=1600,1100,970 | ROAD=Đường Đường ALT 5 Điểm | START=Đoàn Thị Giáp An | END=ranh phường 1.600 Lộc | FLAGS=
ID=NQ28-061-S01-TT0061-01 | SEC=non-agricultural | TT=61 | REL=main | PRICES=1500,1000,870 | ROAD=Đường thửa Đường ALT 5 thửa bản | START=ALT 5 (đầu Cuối đất số 21 và (hết đất số 57, tờ và đồ số 112) tờ | END=đường nhựa thửa đất số 10 1.500 thửa đất số 68, bản đồ số 111) | FLAGS=
ID=NQ28-061-S01-TT0062-01 | SEC=non-agricultural | TT=62 | REL=main | PRICES=1100,790,680 | ROAD=Cuối (hết Đường ALT 5 và tờ | START=đường nhựa Đường thửa đất số 10 thửa thửa đất số 68, bản bản đồ số 111) | END=ALT 1 (đầu đất số 540, tờ 1.100 đồ số 111) | FLAGS=
ID=NQ28-061-S01-TT0063-01 | SEC=non-agricultural | TT=63 | REL=main | PRICES=1100,740,630 | ROAD=Đường ALT 6 Đường | START=ALT 1 Đường | END=ALT 5 1.100 | FLAGS=
ID=NQ28-061-S01-TT0064-01 | SEC=non-agricultural | TT=64 | REL=main | PRICES=1100,920 | ROAD=Đường ALT 7 | START= | END= | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0065-01 | SEC=non-agricultural | TT=65 | REL=main | PRICES=1400,960,830 | ROAD=thửa thửa bản số Đường ALT 7 số | START=đất số 280 và số đất số 281, tờ số đồ số 111) số 174 và thửa đất Đường 182, tờ bản đồ | END=174 và thửa đất 182, tờ bản đồ 109 ALT 3 1.400 | FLAGS=
ID=NQ28-061-S01-TT0066-01 | SEC=non-agricultural | TT=66 | REL=main | PRICES=1100,790,680 | ROAD=số Đường ALT 8 Đường | START=109 ALT 3 Đường | END=ALT 7 1.100 | FLAGS=
ID=NQ28-061-S01-TT0067-01 | SEC=non-agricultural | TT=67 | REL=main | PRICES=1100,790,680 | ROAD=Đường ALT 9 Đường | START=ALT 7 Đường | END=ALT 7 1.100 | FLAGS=
ID=NQ28-061-S01-TT0068-01 | SEC=non-agricultural | TT=68 | REL=main | PRICES=1100,790,680 | ROAD=Đường ALT 10 Đường | START=ALT 11 Đường | END=ALT 3 1.100 | FLAGS=
ID=NQ28-061-S01-TT0069-01 | SEC=non-agricultural | TT=69 | REL=main | PRICES=1200,850,730 | ROAD=Đường ALT 11 Đường | START=ALT 15 Đường | END=ALT 1 1.200 | FLAGS=
ID=NQ28-061-S01-TT0070-01 | SEC=non-agricultural | TT=70 | REL=main | PRICES=1100,790,680 | ROAD=Đường ALT 12 Đường | START=ALT 1 Đường | END=ALT 14 1.100 | FLAGS=
ID=NQ28-061-S01-TT0071-01 | SEC=non-agricultural | TT=71 | REL=main | PRICES=1200,850,730 | ROAD=Đường Đường ALT 12 Điểm | START=Đoàn Thị Đường | END=ALT 13 1.200 | FLAGS=
ID=NQ28-061-S01-TT0072-01 | SEC=non-agricultural | TT=72 | REL=main | PRICES=1200,850,730 | ROAD=Đường ALT 13 Đường | START=Đường ALT 2 Châu | END=Phan Bội 1.200 | FLAGS=
ID=NQ28-061-S01-TT0073-01 | SEC=non-agricultural | TT=73 | REL=main | PRICES=1200,850,730 | ROAD=Đường Đường ALT 14 Điểm | START=Đoàn Thị Đường | END=ALT 1 1.200 | FLAGS=
ID=NQ28-061-S01-TT0074-01 | SEC=non-agricultural | TT=74 | REL=main | PRICES=1600,1100,970 | ROAD=Đường ALT 15 Đường | START=ALT2 Đường | END=ĐT 752 1.600 | FLAGS=
ID=NQ28-061-S01-TT0075-01 | SEC=non-agricultural | TT=75 | REL=main | PRICES=1600,1100,970 | ROAD=Đường ALT 16 Đường | START=ALT 3 Đường | END=ALT 2 1.600 | FLAGS=
ID=NQ28-061-S01-TT0076-01 | SEC=non-agricultural | TT=76 | REL=main | PRICES=1200,850,730 | ROAD=Đường ALT 16 Đường | START=ALT 3 ALT | END=19 1.200 | FLAGS=
ID=NQ28-061-S01-TT0077-01 | SEC=non-agricultural | TT=77 | REL=main | PRICES=1500,1100,920 | ROAD=Đường ALT 17 Đường | START=ĐT 752 Đường | END=ALT 16 1.500 | FLAGS=
ID=NQ28-061-S01-TT0078-01 | SEC=non-agricultural | TT=78 | REL=main | PRICES=1500,1100,920 | ROAD=Đường ALT 18 Đường | START=ĐT 752 Đường Ngã | END=ALT 16 1.500 ba cuối ranh | FLAGS=
ID=NQ28-061-S01-TT0079-01 | SEC=non-agricultural | TT=79 | REL=main | PRICES=1600,1100,970 | ROAD=Ngã Đường ALT 19 ALT | START=thửa ba đường cuối 4 số số | END=đất số 151 và ranh thửa đất 1.600 206, tờ bản đồ 109 | FLAGS=
ID=NQ28-061-S01-TT0080-01 | SEC=non-agricultural | TT=80 | REL=main | PRICES=1200,850,730 | ROAD=Đầu số Đường ALT 19 số số | START=Hết ranh thửa đất số 297 và thửa đất 108 149, tờ bản đồ 12, 109 | END=ranh thửa đất 53, tờ bản đồ và thửa đất số 1.200 tờ bản đồ số | FLAGS=
ID=NQ28-061-S01-TT0081-01 | SEC=non-agricultural | TT=81 | REL=main | PRICES=1200,850,730 | ROAD=Đường ALT 20 Đường | START=108 ALT 4 Đường | END=ALT 19 1.200 | FLAGS=
ID=NQ28-061-S01-TT0082-01 | SEC=non-agricultural | TT=82 | REL=main | PRICES=11000,9400 | ROAD=Đường Trần Quốc Thảo Đường (Khu TTTM & KDC Xương Thanh Bình) | START=Trần Tế Đường Định | END=Lê Quang 15.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
