TABLE=081 | AREA=Xã Bù Đăng | RECORDS=121 | GROUPS=121 | REVIEW=121
ID=NQ28-081-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=4400,3800 | ROAD=Ngã Đường Hùng Vương Quốc | START=Võ Thị ba đường Phía lộ 14 thửa bản đồ | END=Sáu 6.300 Đông: Hết đất số 14, tờ số 49 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=3800,3200 | ROAD=Phía Võ Thị Đường Hùng Vương Phía thửa bản | START=Tây: đường Sáu Ngã Đông: Từ Bà Trưng đất số 15, tờ đồ số 49 | END=tư đường Hai 5.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=3000,2600 | ROAD=Ngã Đường Hùng Vương Bà Trưng | START=Phía Quý tư đường Hai Phía thửa bản đồ | END=Tây: đường Lê Đôn 4.300 Đông: Hết đất số 172, tờ số 13 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=1900,1600 | ROAD=Phía Lê Quý Đường Hùng Vương Phía thửa | START=Tây: đường Đôn Đông: Từ Cầu đất số 171, | END=Vĩnh Thiện 2.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=3500,3000 | ROAD=tờ bản Phía Đường số 1 chính | START=đồ số 13 bên trái chợ | END=5.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=3500,3000 | ROAD=Phía Đường số 2 chính | START=bên phải chợ | END=5.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=3500,3000 | ROAD=Đường số 3 Phía | START=trái chợ phụ | END=5.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=3500,3000 | ROAD=Đường số 4 Phía | START=phải chợ phụ | END=5.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=4100,3500 | ROAD=Đường Lê Lợi Toàn | START=tuyến | END=5.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=3800,3200 | ROAD=Ngã Đường Lê Quý Đôn Quốc | START=tư đường Ngã Bà Trưng lộ 14 | END=ba đường Hai 5.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=3000,2600 | ROAD=Ngã Đường Lê Quý Đôn Bà Trưng | START=ba đường Hai Ngã D1 | END=tư giáp đường 4.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=2400,2100 | ROAD=Ngã Đường Lê Quý Đôn đường | START=tư giáp Ngã D1 Trần | END=ba Đường 3.400 Phú | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=2200,1900 | ROAD=Ngã Đường Lê Quý Đôn Trần | START=ba đường Ngã Hùng Phú | END=ba Đường 3.200 Vương | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=3500,3000 | ROAD=Ngã Đường Lê Quý Đôn Quốc | START=tư đường Ngã Trần lộ 14 Phía | END=ba Đường 5.000 Hưng Đạo Tây: Đường | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=1900,1600 | ROAD=Đường Đoàn Đức Ngã Thái Quốc | START=Trần ba đường Phía lộ 14 thửa bản đồ | END=Hưng Đạo 2.700 Đông: Hết đất số 47, tờ số 8 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=1600,1400 | ROAD=Phía Trần Đường Đoàn Đức Phía Thái thửa bản | START=Tây: Đường Phía Hưng Đạo Nơ Trang Đông: Từ Phía đất số 25, tờ thửa đồ số 36 bản đồ | END=Tây: Đường Long 2.300 Đông: Hết đất số 6, tờ số 36 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=1400,1200 | ROAD=Phía Nơ Đường Đoàn Đức Phía Thái thửa bản | START=Ngã Tây: đường ông Ba Trang Long Tây: số 122, Đông: Từ đất số 5, tờ số 2, Hết thửa đồ số 36 121, | END=ba vào nhà Tuyên (Phía Hết thửa đất tờ bản đồ 2.000 Phía Đông: đất số tờ bản đồ 2) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=950,810 | ROAD=Ngã ông (Phía Đường Đoàn Đức thửa bản Thái Nam: số 123, số 2) | START=ba vào nhà Ngã Ba Tuyên tông Đoàn Bắc: Từ đất số 87, tờ Tây: đồ số 2, Phía số 2, Từ thửa đất 2, Phía tờ bản đồ thửa bản đồ | END=ba đường bê giáp ranh xã Kết cũ (Phía Hết thửa đất 1.400 tờ bản đồ số Đông: hết đất số 3, tờ số 2) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=760,650 | ROAD=Ngã tông Đường Đoàn Đức Đoàn Tây: Thái số 1, | START=ba đường bê giáp ranh xã Giáp Kết cũ (Phía Nguyễn Từ thửa đất Khai tờ bản đồ số | END=Đường Thị Minh 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=760,650 | ROAD=2) Ngã Đường Nguyễn Huệ đường | START=Ngã ba giao Quốc lộ 14 Trần | END=tư giáp Đường 1.100 Hưng Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=1900,1600 | ROAD=Ngã Đường Nguyễn Huệ Đường Đạo | START=tư giáp Trần Hưng Cuối | END=tuyến 2.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=1600,1400 | ROAD=Đường Ngô Gia Tự Toàn | START=tuyến | END=2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=3800,3200 | ROAD=Đường Trần Phú Toàn | START=tuyến | END=5.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=2500,2200 | ROAD=Đường Võ Thị Sáu Toàn | START=tuyến | END=3.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=3800,3200 | ROAD=Đường Hai Bà Trưng Toàn | START=tuyến | END=5.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=2800,2400 | ROAD=Đường Trần Hưng Toàn Đạo | START=tuyến Phía | END=4.100 Đông: Ngã ba | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=1900,1600 | ROAD=Ngã Đường Điểu Ong đường | START=giao Trưng ba giao Quốc lộ 14 Phía đất số đồ số | END=đường Hai Bà 2.700 Tây: Hết thửa 130, tờ bản 8 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=1900,1600 | ROAD=Phía ba giao Bà Trưng Đường Điểu Ong Phía đất số 13 | START=Đông: Ngã Ngã đường Hai (Phía đất số Tây: Từ thửa số 60, số 1, tờ bản đồ hết thửa tờ bản | END=ba Sóc ông Đố Tây: Hết thửa 61, tờ bản đồ 2.700 Phía Đông: đất số 65, đồ số 60) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=1600,1400 | ROAD=Ngã Đố thửa Đường Điểu Ong bản Đông: số 5, 64) | START=ba Sóc ông (Phía Tây: Từ đất số 12, tờ Cuối đồ số 64, Phía thủy Từ thửa đất tờ bản đồ số | END=tuyến (Đập 2.300 lợi Bù Môn) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=1100,970 | ROAD=Ngã Đồ thửa Đường nhựa vào Sóc bản Bù Môn Đông: đất | START=ba Sóc ông (Phía Tây: Từ đất số 60, tờ đồ số 60, Phía Cuối Hết thửa số 12, tờ bản | END=tuyến 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=760,650 | ROAD=đồ số Đường Nguyễn Văn Toàn Trỗi | START=64) tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=1800,1500 | ROAD=Đường Lê Hồng Ngã Phong Quốc | START=tư đường Ngã lộ 14 | END=tư đường D1 2.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=2200,1900 | ROAD=Đường Lê Hồng Ngã Phong | START=Giáp tư đường D1 Thường | END=đường Lý 3.200 Kiệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=2500,2100 | ROAD=Đường Lý Thường Đường Kiệt | START=Ngã Quốc lộ 14 Phong | END=ba Lê Hồng 3.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=1700,1400 | ROAD=Đường Lý Thường Ngã Kiệt Phong | START=ba Lê Hồng ĐT 755 | END=2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
