TABLE=054 | AREA=Xã Tân An | SECTION=agricultural | SEGMENTS=1
P=1810 | X=0505.390-0522.030 | Y=0546.130-0555.450 | 180
P=1810 | X=0119.090-0404.900 | Y=0555.770-0567.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1810 | X=0119.090-0342.730 | Y=0573.290-0584.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1810 | X=0198.070-0299.720 | Y=0591.050-0602.290 | Đường vào bến đò Đại
P=1810 | X=0098.930-0189.270 | Y=0596.810-0608.050 | 15 Đường tỉnh 768
P=1810 | X=0309.960-0378.430 | Y=0598.690-0608.010 | Cầu Chùm Bao
P=1810 | X=0455.690-0472.330 | Y=0598.690-0608.010 | 730
P=1810 | X=0505.390-0522.030 | Y=0598.690-0608.010 | 530
P=1810 | X=0198.070-0210.390 | Y=0604.450-0613.770 | An
P=1810 | X=0119.090-0405.830 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1810 | X=0119.090-0399.110 | Y=0631.870-0643.110 | đoạn từ Đường vào bến đò Đại An đến Cầu Chùm Bao có hiện
P=1810 | X=0119.090-0290.870 | Y=0643.390-0654.630 | trạng là đường nhựa, bê tông xi măng:
P=1810 | X=0098.930-0110.050 | Y=0651.270-0660.590 | 16
P=1810 | X=0455.690-0472.330 | Y=0651.270-0660.590 | 500
P=1810 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 330
P=1810 | X=0119.090-0350.200 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1810 | X=0119.090-0396.280 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1810 | X=0119.090-0405.830 | Y=0696.190-0707.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1810 | X=0098.930-0110.050 | Y=0703.860-0713.180 | 17
P=1810 | X=0455.690-0472.330 | Y=0703.860-0713.180 | 400
P=1810 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 260
P=1810 | X=0119.090-0399.110 | Y=0707.730-0718.970 | đoạn từ Đường vào bến đò Đại An đến Cầu Chùm Bao có hiện
P=1811 | X=0119.090-0290.870 | Y=0072.500-0083.740 | trạng là đường nhựa, bê tông xi măng:
P=1811 | X=0119.090-0350.640 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1811 | X=0119.090-0405.980 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1811 | X=0119.090-0180.210 | Y=0119.090-0130.330 | đến ≤1.000m.
