TABLE=071 | AREA=Xã Lộc Hưng | SECTION=agricultural | SEGMENTS=1
P=2050 | X=0090.500-0346.280 | Y=0241.750-0252.990 | 29 Các tuyến đường giao thông nông thôn từ 3,5m trở lên
P=2050 | X=0393.980-0405.100 | Y=0243.630-0252.950 | 70
P=2050 | X=0435.050-0446.170 | Y=0243.630-0252.950 | 56
P=2050 | X=0475.850-0486.970 | Y=0243.630-0252.950 | 45
P=2050 | X=0511.150-0522.270 | Y=0243.630-0252.950 | 44
P=2050 | X=0090.500-0212.310 | Y=0259.750-0270.990 | 30 Các tuyến đường còn lại
P=2050 | X=0393.980-0405.100 | Y=0261.630-0270.950 | 70
P=2050 | X=0435.050-0446.170 | Y=0261.630-0270.950 | 56
P=2050 | X=0475.850-0486.970 | Y=0261.630-0270.950 | 45
P=2050 | X=0511.150-0522.270 | Y=0261.630-0270.950 | 44
