TABLE=093 | AREA=Xã Phú Trung | SECTION=agricultural | SEGMENTS=1
P=2135 | X=0198.070-0275.620 | Y=0104.140-0113.460 | Toàn tuyến thuộc
P=2135 | X=0102.770-0180.880 | Y=0108.020-0119.260 | Các tuyến đường
P=2135 | X=0198.070-0278.660 | Y=0113.780-0125.020 | các tờ bản đồ: 23,
P=2135 | X=0090.500-0101.620 | Y=0115.660-0124.980 | 32
P=2135 | X=0290.760-0296.360 | Y=0115.660-0124.980 | 0
P=2135 | X=0419.210-0435.850 | Y=0115.660-0124.980 | 112
P=2135 | X=0468.410-0479.530 | Y=0115.660-0124.980 | 90
P=2135 | X=0511.150-0522.270 | Y=0115.660-0124.980 | 72
P=2135 | X=0102.770-0158.760 | Y=0121.450-0130.770 | trung tâm xã
P=2135 | X=0198.070-0242.790 | Y=0127.210-0136.530 | 24, 31, 46
P=2135 | X=0198.070-0271.990 | Y=0143.330-0154.570 | Đường ĐT 753B
P=2135 | X=0290.760-0389.820 | Y=0143.330-0154.570 | Đến lô cao Su NT (hết
P=2135 | X=0090.500-0382.590 | Y=0154.850-0166.090 | 33 Đường thôn Phú An (Ngã ba hội trường ranh thửa đất 245 tờ
P=2135 | X=0419.210-0435.850 | Y=0156.730-0166.050 | 112
P=2135 | X=0468.410-0479.530 | Y=0156.730-0166.050 | 90
P=2135 | X=0511.150-0522.270 | Y=0156.730-0166.050 | 72
P=2135 | X=0198.070-0256.610 | Y=0168.250-0177.570 | thôn Phú An)
P=2135 | X=0290.760-0305.160 | Y=0168.250-0177.570 | 15)
P=2135 | X=0102.770-0183.980 | Y=0184.370-0195.610 | Đường giao thông
P=2135 | X=0090.500-0101.620 | Y=0192.010-0201.330 | 34
P=2135 | X=0198.070-0248.340 | Y=0192.010-0201.330 | Toàn tuyến
P=2135 | X=0419.210-0435.850 | Y=0192.010-0201.330 | 112
P=2135 | X=0468.410-0479.530 | Y=0192.010-0201.330 | 90
P=2135 | X=0511.150-0522.270 | Y=0192.010-0201.330 | 72
P=2135 | X=0102.770-0131.870 | Y=0197.530-0206.850 | liên xã
P=2135 | X=0102.770-0180.880 | Y=0213.670-0224.910 | Các tuyến đường
P=2135 | X=0090.500-0181.340 | Y=0227.070-0236.390 | 35 giao thông còn lại
P=2135 | X=0198.070-0248.340 | Y=0227.070-0236.390 | Toàn tuyến
P=2135 | X=0424.970-0436.090 | Y=0227.070-0236.390 | 77
P=2135 | X=0468.410-0479.530 | Y=0227.070-0236.390 | 62
P=2135 | X=0511.150-0522.270 | Y=0227.070-0236.390 | 49
P=2135 | X=0102.770-0169.340 | Y=0236.710-0247.950 | trên địa bàn xã
